"celltype","dataset","cell_count","celltype_total","percent_within_celltype"
"B cells","GSE152042",533,5764,9.2470506592644
"Cycling cells","GSE152042",82,2206,3.71713508612874
"Endothelial cells","GSE152042",1862,31546,5.90249159956888
"Epithelial cells","GSE152042",1706,8111,21.0331648378745
"Fibroblasts","GSE152042",448,19998,2.24022402240224
"Macrophages","GSE152042",3033,13893,21.831137983157
"Mast cells","GSE152042",98,4645,2.10979547900969
"Neutrophils","GSE152042",1344,3941,34.1030195381883
"Pericytes","GSE152042",2027,7635,26.5487884741323
"Plasma cells","GSE152042",986,18719,5.26737539398472
"Unannotated","GSE152042",2,136,1.47058823529412
"pDCs","GSE152042",93,1456,6.38736263736264
"B cells","GSE164241",4848,5764,84.1082581540597
"Cycling cells","GSE164241",2102,2206,95.2855847688123
"Endothelial cells","GSE164241",14974,31546,47.4671907690357
"Epithelial cells","GSE164241",4446,8111,54.814449513007
"Fibroblasts","GSE164241",17370,19998,86.8586858685869
"Macrophages","GSE164241",7923,13893,57.0287194990283
"Mast cells","GSE164241",4056,4645,87.3196986006459
"Neutrophils","GSE164241",1639,3941,41.5884293326567
"Pericytes","GSE164241",4785,7635,62.671905697446
"Plasma cells","GSE164241",16444,18719,87.8465730006945
"Unannotated","GSE164241",122,136,89.7058823529412
"pDCs","GSE164241",724,1456,49.7252747252747
"B cells","GSE171213",383,5764,6.64469118667592
"Cycling cells","GSE171213",22,2206,0.99728014505893
"Endothelial cells","GSE171213",14710,31546,46.6303176313954
"Epithelial cells","GSE171213",1959,8111,24.1523856491185
"Fibroblasts","GSE171213",2180,19998,10.9010901090109
"Macrophages","GSE171213",2937,13893,21.1401425178147
"Mast cells","GSE171213",491,4645,10.5705059203445
"Neutrophils","GSE171213",958,3941,24.308551129155
"Pericytes","GSE171213",823,7635,10.7793058284217
"Plasma cells","GSE171213",1289,18719,6.8860516053208
"Unannotated","GSE171213",12,136,8.82352941176471
"pDCs","GSE171213",639,1456,43.8873626373626
