"dataset","sample","group","cell_count"
"GSE152042","GSM4600896","NC",571
"GSE152042","GSM4600897","NC",3743
"GSE164241","GSM5005048","NC",1764
"GSE164241","GSM5005049","NC",1538
"GSE164241","GSM5005050","NC",1760
"GSE164241","GSM5005051","NC",1587
"GSE164241","GSM5005052","NC",6445
"GSE164241","GSM5005053","NC",2559
"GSE164241","GSM5005054","NC",1351
"GSE164241","GSM5005055","NC",7563
"GSE164241","GSM5005056","NC",2695
"GSE164241","GSM5005057","NC",4870
"GSE164241","GSM5177039","NC",4411
"GSE164241","GSM5177040","NC",7072
"GSE164241","GSM5177041","NC",3084
"GSE171213","GSM5220920","NC",2154
"GSE171213","GSM5220921","NC",1430
"GSE171213","GSM5220922","NC",3832
"GSE171213","GSM5220923","NC",3616
"GSE152042","GSM4600898","PD",4423
"GSE152042","GSM4600899","PD",3477
"GSE164241","GSM5005058","PD",1527
"GSE164241","GSM5005059","PD",1866
"GSE164241","GSM5005060","PD",868
"GSE164241","GSM5005061","PD",4856
"GSE164241","GSM5005062","PD",5779
"GSE164241","GSM5177042","PD",4321
"GSE164241","GSM5177043","PD",7544
"GSE164241","GSM5177044","PD",5973
"GSE171213","GSM5220924","PD",3197
"GSE171213","GSM5220925","PD",2339
"GSE171213","GSM5220926","PD",2478
"GSE171213","GSM5220927","PD",4324
"GSE171213","GSM5220928","PD",3033
