"reduction","celltype","n_balanced","datasets_present","k","tested_per_repeat","rejection_rate","ci_low","ci_high","median_local_p","composition_limited"
"PCA_before","B cells",1383,3,30,139,0.965035971223022,0.935251798561151,0.985611510791367,9.99990000099999e-06,FALSE
"PCA_before","Cycling cells",604,3,30,61,0.670327868852459,0.590163934426229,0.779098360655738,0.047119528804712,TRUE
"PCA_before","Endothelial cells",1500,3,30,150,0.921466666666667,0.883166666666667,0.96,1.9999800002e-05,FALSE
"PCA_before","Epithelial cells",1500,3,30,150,0.9354,0.8965,0.966666666666667,1.9999800002e-05,FALSE
"PCA_before","Fibroblasts",1448,3,30,145,0.94951724137931,0.917241379310345,0.979310344827586,9.99990000099999e-06,FALSE
"PCA_before","Macrophages",1500,3,30,150,0.963933333333333,0.94,0.990166666666667,9.99990000099999e-06,FALSE
"PCA_before","Mast cells",1089,3,30,109,0.955779816513762,0.917431192660551,0.990825688073395,2.9999700003e-05,TRUE
"PCA_before","Neutrophils",1500,3,30,150,0.970533333333333,0.946666666666667,0.990166666666667,9.99990000099999e-06,FALSE
"PCA_before","Pericytes",1500,3,30,150,0.969066666666667,0.943166666666667,0.993333333333333,9.99990000099999e-06,FALSE
"PCA_before","Plasma cells",1500,3,30,150,0.9838,0.96,1,9.99990000099999e-06,FALSE
"PCA_before","pDCs",1093,3,30,110,0.802090909090909,0.726818181818182,0.863636363636364,0.000909990900090999,TRUE
"Harmony_existing","B cells",1383,3,30,139,0.752302158273381,0.686870503597122,0.81294964028777,0.001989980100199,FALSE
"Harmony_existing","Cycling cells",604,3,30,61,0.342786885245902,0.229508196721311,0.475409836065574,0.0816991830081699,TRUE
"Harmony_existing","Endothelial cells",1500,3,30,150,0.430866666666667,0.363166666666667,0.493333333333333,0.0929790702092979,FALSE
"Harmony_existing","Epithelial cells",1500,3,30,150,0.337666666666667,0.2765,0.406666666666667,0.185058149418506,FALSE
"Harmony_existing","Fibroblasts",1448,3,30,145,0.585862068965517,0.52051724137931,0.662413793103448,0.016559834401656,FALSE
"Harmony_existing","Macrophages",1500,3,30,150,0.742133333333333,0.686333333333333,0.793333333333333,0.00229997700023,FALSE
"Harmony_existing","Mast cells",1089,3,30,109,0.544128440366972,0.458715596330275,0.637844036697248,0.031039689603104,TRUE
"Harmony_existing","Neutrophils",1500,3,30,150,0.424533333333333,0.346333333333333,0.493333333333333,0.0919990800091999,FALSE
"Harmony_existing","Pericytes",1500,3,30,150,0.8754,0.833333333333333,0.913333333333333,0.000139998600014,FALSE
"Harmony_existing","Plasma cells",1500,3,30,150,0.839733333333333,0.78,0.886666666666667,0.000159998400016,FALSE
"Harmony_existing","pDCs",1093,3,30,110,0.467272727272727,0.386136363636364,0.554545454545455,0.0695793042069579,TRUE
"Harmony_explicit","B cells",1383,3,30,139,0.636690647482014,0.575539568345324,0.708812949640288,0.012119878801212,FALSE
"Harmony_explicit","Cycling cells",604,3,30,61,0.432295081967213,0.327868852459016,0.524590163934426,0.0816991830081699,TRUE
"Harmony_explicit","Endothelial cells",1500,3,30,150,0.4782,0.403166666666667,0.56,0.0675093249067509,FALSE
"Harmony_explicit","Epithelial cells",1500,3,30,150,0.521466666666667,0.443166666666667,0.6035,0.047079529204708,FALSE
"Harmony_explicit","Fibroblasts",1448,3,30,145,0.530827586206897,0.468965517241379,0.606896551724138,0.037719622803772,FALSE
"Harmony_explicit","Macrophages",1500,3,30,150,0.754133333333333,0.7,0.813333333333333,0.00189998100019,FALSE
"Harmony_explicit","Mast cells",1089,3,30,109,0.389449541284404,0.311926605504587,0.495412844036697,0.115148848511515,TRUE
"Harmony_explicit","Neutrophils",1500,3,30,150,0.3358,0.263166666666667,0.413666666666667,0.18479815201848,FALSE
"Harmony_explicit","Pericytes",1500,3,30,150,0.827133333333333,0.7565,0.88,0.000139998600014,FALSE
"Harmony_explicit","Plasma cells",1500,3,30,150,0.5956,0.512666666666667,0.673333333333333,0.020539794602054,FALSE
"Harmony_explicit","pDCs",1093,3,30,110,0.546272727272727,0.454090909090909,0.632045454545454,0.036059639403606,TRUE
