"","0","1","10","11","12","13","14","15","16","2","3","4","5","6","7","8","9"
"B cells",1,0,0,0,2,0,6,0,0,19,0,0,0,5720,0,16,0
"Cycling cells",0,12,0,1710,2,0,459,0,0,10,0,4,0,0,0,9,0
"Endothelial cells",24467,2,2030,0,18,14,0,0,49,0,13,30,71,0,4852,0,0
"Epithelial cells",0,6,1286,0,227,15,0,0,0,7,1,0,6555,2,7,5,0
"Fibroblasts",2,19309,0,36,0,0,1,0,0,0,0,31,0,0,0,618,1
"Macrophages",18,0,1,0,1,0,0,0,0,0,13856,0,0,0,3,14,0
"Mast cells",0,1383,0,0,0,0,0,0,0,0,0,0,0,0,0,3262,0
"Neutrophils",1,1,0,0,0,0,0,0,0,1,0,0,2,2,0,0,3934
"Pericytes",4,6,0,0,3,791,0,0,0,14,0,6778,18,1,17,0,3
"Plasma cells",31,0,1,4,1,0,0,140,0,18513,0,1,4,3,1,17,3
"Unannotated",0,54,0,0,0,0,0,0,0,0,1,0,0,0,0,81,0
"pDCs",7,113,0,4,1301,0,0,0,0,0,0,0,0,0,31,0,0
