"reduction","celltype","n_balanced","datasets_present","k","repeats","expected_rejection_rate","observed_rejection_rate","observed_ci_low","observed_ci_high","kbet_signif_fraction","composition_limited"
"PCA_before","B cells",1383,3,30,100,0.0398321342925659,0.967482014388489,0.935251798561151,0.989388489208633,0,FALSE
"PCA_before","Cycling cells",604,3,30,100,0.0392896174863388,0.665901639344262,0.532377049180328,0.80327868852459,0,TRUE
"PCA_before","Endothelial cells",1500,3,30,100,0.0669333333333333,0.929666666666667,0.893333333333333,0.973333333333333,0,FALSE
"PCA_before","Epithelial cells",1500,3,30,100,0.0353333333333333,0.941333333333333,0.906666666666667,0.973333333333333,0,FALSE
"PCA_before","Fibroblasts",1448,3,30,100,0.0377241379310345,0.95848275862069,0.931034482758621,0.986206896551724,0,FALSE
"PCA_before","Macrophages",1500,3,30,100,0.0453111111111111,0.968866666666667,0.943166666666667,0.993333333333333,0,FALSE
"PCA_before","Mast cells",1089,3,30,100,0.0225993883792049,0.96348623853211,0.926605504587156,0.990825688073395,0,TRUE
"PCA_before","Neutrophils",1500,3,30,100,0.0519111111111111,0.973866666666667,0.943166666666667,0.993333333333333,0,FALSE
"PCA_before","Pericytes",1500,3,30,100,0.0571111111111111,0.976266666666667,0.9565,0.993333333333333,0,FALSE
"PCA_before","Plasma cells",1500,3,30,100,0.0417555555555556,0.9854,0.966666666666667,1,0,FALSE
"PCA_before","pDCs",1093,3,30,100,0.0531212121212121,0.829181818181818,0.754545454545455,0.890909090909091,0,TRUE
"Harmony_existing","B cells",1383,3,30,100,0.045083932853717,0.750575539568345,0.683453237410072,0.809532374100719,0,FALSE
"Harmony_existing","Cycling cells",604,3,30,100,0.0252459016393443,0.375081967213115,0.286475409836066,0.475409836065574,0,TRUE
"Harmony_existing","Endothelial cells",1500,3,30,100,0.0417333333333333,0.450933333333333,0.38,0.526666666666667,0,FALSE
"Harmony_existing","Epithelial cells",1500,3,30,100,0.0519333333333333,0.3366,0.273333333333333,0.4035,0,FALSE
"Harmony_existing","Fibroblasts",1448,3,30,100,0.0373793103448276,0.612275862068966,0.534310344827586,0.67948275862069,0,FALSE
"Harmony_existing","Macrophages",1500,3,30,100,0.0411555555555556,0.7444,0.683166666666667,0.8035,0,FALSE
"Harmony_existing","Mast cells",1089,3,30,100,0.0374311926605505,0.54394495412844,0.463073394495413,0.63348623853211,0,TRUE
"Harmony_existing","Neutrophils",1500,3,30,100,0.0423111111111111,0.442,0.366666666666667,0.516833333333333,0,FALSE
"Harmony_existing","Pericytes",1500,3,30,100,0.0516222222222222,0.875066666666667,0.82,0.9235,0,FALSE
"Harmony_existing","Plasma cells",1500,3,30,100,0.0404444444444444,0.8388,0.7765,0.893333333333333,0,FALSE
"Harmony_existing","pDCs",1093,3,30,100,0.0462727272727273,0.490818181818182,0.409090909090909,0.581818181818182,0,TRUE
"Harmony_explicit","B cells",1383,3,30,100,0.0478896882494005,0.64431654676259,0.571762589928058,0.712230215827338,0,FALSE
"Harmony_explicit","Cycling cells",604,3,30,100,0.0289071038251366,0.435081967213115,0.311475409836066,0.524590163934426,0,TRUE
"Harmony_explicit","Endothelial cells",1500,3,30,100,0.0454,0.500133333333333,0.429833333333333,0.5835,0,FALSE
"Harmony_explicit","Epithelial cells",1500,3,30,100,0.0427555555555556,0.547133333333333,0.4565,0.6235,0,FALSE
"Harmony_explicit","Fibroblasts",1448,3,30,100,0.0406206896551724,0.548620689655172,0.458448275862069,0.624310344827586,0,FALSE
"Harmony_explicit","Macrophages",1500,3,30,100,0.0467111111111111,0.752533333333333,0.686666666666667,0.820333333333333,0,FALSE
"Harmony_explicit","Mast cells",1089,3,30,100,0.0356269113149847,0.380183486238532,0.307110091743119,0.467889908256881,0,TRUE
"Harmony_explicit","Neutrophils",1500,3,30,100,0.0438666666666667,0.337866666666667,0.246333333333333,0.410166666666667,0,FALSE
"Harmony_explicit","Pericytes",1500,3,30,100,0.0579333333333333,0.833933333333333,0.7765,0.8835,0,FALSE
"Harmony_explicit","Plasma cells",1500,3,30,100,0.0430444444444444,0.602333333333333,0.5365,0.66,0,FALSE
"Harmony_explicit","pDCs",1093,3,30,100,0.0431515151515151,0.567727272727273,0.481818181818182,0.663636363636364,0,TRUE
