"sample","n_cells","pearson_cluster_profile","total_variation_distance"
"GSM4600896",571,0.949998963025498,0.0788091068301226
"GSM4600897",3743,0.999692783037,0.0122896072668982
"GSM4600898",4423,0.99017394227118,0.0395659054940086
"GSM4600899",3477,0.994268275970624,0.0549324129997124
"GSM5005048",1764,0.999433225716815,0.0147392290249433
"GSM5005049",1538,0.999026745292474,0.0195058517555267
"GSM5005050",1760,0.9995914001714,0.0113636363636364
"GSM5005051",1587,0.998567693013254,0.0157529930686831
"GSM5005052",6445,0.999974173011308,0.0048099301784329
"GSM5005053",2559,0.999791427239094,0.00976944118796404
"GSM5005054",1351,0.999942636323961,0.00518134715025908
"GSM5005055",7563,0.996840727948091,0.0261800872669576
"GSM5005056",2695,0.99908204106176,0.0222634508348794
"GSM5005057",4870,0.998179344189666,0.0301848049281314
"GSM5005058",1527,0.991493459331765,0.0392927308447937
"GSM5005059",1866,0.981187553075052,0.064844587352626
"GSM5005060",868,0.998137245575142,0.021889400921659
"GSM5005061",4856,0.975841580509379,0.0658978583196046
"GSM5005062",5779,0.995512773908303,0.0339159024052604
"GSM5177039",4411,0.997002931160543,0.0244842439356155
"GSM5177040",7072,0.998646061458341,0.0197963800904977
"GSM5177041",3084,0.997096892186058,0.0265888456549935
"GSM5177042",4321,0.997115895895624,0.0291599166859523
"GSM5177043",7544,0.997752427181035,0.0267762460233298
"GSM5177044",5973,0.983296500420288,0.0609409007199062
"GSM5220920",2154,0.99993562080682,0.00882079851439182
"GSM5220921",1430,0.999904685414248,0.0118881118881119
"GSM5220922",3832,0.999991708736462,0.00208768267223382
"GSM5220923",3616,0.999941258835891,0.00636061946902655
"GSM5220924",3197,0.987530674265535,0.0369096027525805
"GSM5220925",2339,0.999353896124678,0.0111158614792646
"GSM5220926",2478,0.999951914530108,0.00484261501210653
"GSM5220927",4324,0.999137133739106,0.015263644773358
"GSM5220928",3033,0.999854434037699,0.00758325090669306
