,logFC,AveExpr,t,P.Value,adj.P.Val,B,type
PECAM1,1.04325652179659,8.04064912113776,12.5978874689588,2.68380615867791e-26,5.41806787313896e-22,49.0259533805739,Up
ICAM2,1.24396091070494,7.19874067075226,12.2350178653427,2.97975323673313e-25,3.00776291715842e-21,46.6709285846295,Up
CXCR4,1.66377903082961,8.08714592251717,11.660648431094,1.33201072802369e-23,7.82948433628323e-20,42.9523938789415,Up
COL15A1,1.14662284039279,9.01419578654048,11.6375559274714,1.55131451085461e-23,7.82948433628323e-20,42.8032326197751,Up
BRD7,-0.387924991,6.67154019303953,-11.5213847,3.33782300524572e-23,1.34767941659801e-19,42.053349741399,NOT
CD93,0.823969747575623,8.35814214812208,11.1467933820939,3.92184527989422e-22,1.2581930924897e-18,39.6419279662957,NOT
ENTPD1,0.902678584288552,7.13483583724212,11.1178262269067,4.74267654848455e-22,1.2581930924897e-18,39.4559265819595,NOT
VWF,0.563516523947755,6.74461667835286,11.1102009100633,4.985904864235e-22,1.2581930924897e-18,39.4069759738671,NOT
IL10RA,1.23077445854577,7.89024300808889,11.0744313060911,6.30378500294152e-22,1.41400901821537e-18,39.1774236998731,Up
MZB1,2.24779308440682,8.48084189468785,11.0426027771957,7.76590851689709e-22,1.56778161139118e-18,38.973262224038,Up
CEBPG,-0.517365932,7.64050733115139,-11.00605126,9.86673962231204e-22,1.78487492424716e-18,38.738922958265,NOT
PBXIP1,0.445243912593725,6.93910807527097,10.994966698066,1.06095200569477e-21,1.78487492424716e-18,38.6678827747554,NOT
FAM46C,1.86754218326466,7.98674084796511,10.922620730295,1.7033382269126e-21,2.64515324037781e-18,38.2045181956931,Up
KIF21A,-0.89740423,6.52209262362008,-10.86263577,2.52115406720904e-21,3.63550416491544e-18,37.8207242394057,NOT
DENND3,0.582592858114318,5.71174307131185,10.7451086777379,5.42966962337828e-21,7.30761135711738e-18,37.0698715243421,NOT
RAC2,1.11793931375789,7.76348251647533,10.7069211821938,6.96442684346851e-21,8.78736556974639e-18,36.8262291129584,Up
KDR,0.732422345013317,7.09355240616974,10.678695991112,8.37039857327048e-21,9.94009449395203e-18,36.6462549784562,NOT
KIAA0040,0.561422664900825,6.20568377578215,10.619233578603,1.23269598259108e-20,1.38253702758604e-17,36.2674059498987,NOT
IGLC1,1.37950917530868,7.74982409485317,10.6034479466239,1.36600863169483e-20,1.45142011877133e-17,36.166902779839,Up
P2RX4,0.765919124394789,6.95657356985059,10.5843337556003,1.54681009706705e-20,1.56135011197948e-17,36.0452479487614,NOT
ABHD5,-0.626060658,6.45920926185003,-10.55207612,1.90764072015472e-20,1.83387861230874e-17,35.8400415628188,NOT
IGK,2.01333578697084,8.33224047255897,10.4754080667737,3.13828403973146e-20,2.42211194504888e-17,35.3528430894914,Up
SPAG4,1.93629847189089,6.4996380564709,10.4736211669796,3.17487909493559e-20,2.42211194504888e-17,35.3414969366341,Up
AKR1B1,0.736709115289813,8.68467188063435,10.4709167619259,3.23107502392003e-20,2.42211194504888e-17,35.324325752368,NOT
MEF2C,0.79964574564374,6.96076255580939,10.4657697704181,3.34078021063023e-20,2.42211194504888e-17,35.291648383777,NOT
C3,1.08256060780259,8.21046517779803,10.4624513087796,3.41347215024171e-20,2.42211194504888e-17,35.270581866733,Up
TCTN3,0.358155461899761,7.77222637838829,10.4614280785675,3.43620278649484e-20,2.42211194504888e-17,35.2640864064615,NOT
IGHM,1.81729416010425,8.31319749236679,10.4603984763306,3.45922727898204e-20,2.42211194504888e-17,35.2575506345056,Up
CTSH,0.947332007425355,9.43667013931003,10.4595039313518,3.47935637043875e-20,2.42211194504888e-17,35.2518722996157,NOT
APLNR,0.907865526106991,6.80141593781084,10.4401196029735,3.94539761335577e-20,2.65498956728088e-17,35.1288514629748,NOT
THEMIS2,1.22035555476804,7.06005782046819,10.4314293973368,4.17405230925788e-20,2.66823508939467e-17,35.0737159428693,Up
IGHD,2.36526258224111,9.19846822158727,10.429396524106,4.22941959880272e-20,2.66823508939467e-17,35.0608197016059,Up
SELP,0.844283570135336,7.802404688,10.4162754515149,4.60482435465113e-20,2.81703618399082e-17,34.9775948046189,NOT
ECSCR,0.540484978337773,6.87260385350149,10.3906973729893,5.43475012995675e-20,3.22696281245785e-17,34.8154232884971,NOT
ELMO1,0.762807236499813,6.06564375595264,10.3670905660911,6.33235816830581e-20,3.65250419147879e-17,34.6658286059365,NOT
TET2,-0.512641429,6.30390392105607,-10.34747769,7.18943160664341e-20,4.01057846893572e-17,34.5416011062519,NOT
ANKRD6,-0.789197209,6.49074742060546,-10.34405409,7.35047569598879e-20,4.01057846893572e-17,34.5199215540664,NOT
CSF2RB,1.05244043180952,8.44061576801584,10.2945137269991,1.01263404919313e-19,5.37975162766078e-17,34.2063955945641,Up
AHNAK2,-0.753992829,8.29344307899525,-10.28351872,1.08720698894979e-19,5.52419262730209e-17,34.1368583989775,NOT
PKIG,0.627346148708651,7.76778767511692,10.282477048572,1.09454975773768e-19,5.52419262730209e-17,34.1302713069677,NOT
ARHGDIB,0.642010201774739,8.61781359374981,10.2699249942344,1.18701279253797e-19,5.7114874947304e-17,34.0509096,NOT
ADCY4,0.526783130050164,7.17925035117134,10.2661695551559,1.21616051852631e-19,5.7114874947304e-17,34.0271698155869,NOT
RARRES2,0.882269623009008,7.4828780190562,10.2661219700823,1.21653438811872e-19,5.7114874947304e-17,34.0268690224111,NOT
CD27,1.66176303171796,7.75543475474278,10.2579917525035,1.28212342839458e-19,5.88261540282494e-17,33.9754813453312,Up
COQ2,-0.434196672,5.8999355742202,-10.23889912,1.45033640541615e-19,6.36777512492009e-17,33.8548424410209,NOT
IGLV1-44,1.61540532785592,7.10655344600599,10.2388336699842,1.45094935479653e-19,6.36777512492009e-17,33.8544289515776,Up
PANK3,-0.495614264,7.75788175933445,-10.22639347,1.57225929532959e-19,6.75335545832209e-17,33.7758528240863,NOT
FKBP11,1.30939585826596,8.56604236818733,10.206054819247,1.79273258210405e-19,7.53993445156593e-17,33.6474364392046,Up
LAMC1,0.504651095498594,8.23113079866041,10.1838221755108,2.06911007633254e-19,8.52473351449008e-17,33.5071315621645,NOT
ADA2,1.41733540550397,8.34375900445735,10.1772732873694,2.15833716841709e-19,8.71450215120086e-17,33.4658171436332,Up
SRGN,0.996601927597608,8.35362939888076,10.1736301873119,2.20962257127589e-19,8.7466393076309e-17,33.44283701,NOT
CD79A,1.78061126208157,7.51190173130467,10.1648337493896,2.3385143032036e-19,9.07883206789889e-17,33.3873585895263,Up
FBXO45,-0.587139487,6.89672741846327,-10.14879444,2.59311799449436e-19,9.87733322129286e-17,33.2862300220479,NOT
ZNF275,0.9621692529608,7.21582104431557,10.1265049141681,2.99340918464455e-19,1.11909156702971e-16,33.1457584668224,NOT
EVI2B,1.35448226766486,7.98804376076592,10.1222928440027,3.07569692893541e-19,1.12089175739085e-16,33.119221977552,Up
SPRYD7,-0.471273769,4.80674491465895,-10.1194214,3.13308198651188e-19,1.12089175739085e-16,33.101133141585,NOT
FAM57A,-0.792274555,7.59744322482256,-10.11785706,3.16479245944513e-19,1.12089175739085e-16,33.09127903,NOT
