id,title
GSM578529,Control
GSM578530,Treat
GSM578531,Control
GSM578532,Treat
GSM578533,Control
GSM578534,Treat
GSM4749834,Treat
GSM4749835,Treat
GSM4749836,Treat
GSM4749837,Treat
GSM4749838,Treat
GSM4749839,Treat
GSM4749840,Control
GSM4749841,Control
GSM4749842,Control
GSM4749843,Control
GSM4749844,Control
GSM4749845,Control
GSM261086,Treat
GSM261088,Control
GSM261089,Treat
GSM261091,Control
GSM261092,Treat
GSM261094,Treat
GSM261096,Control
GSM261097,Treat
GSM261099,Control
GSM261100,Treat
GSM261102,Control
GSM261103,Treat
GSM261105,Treat
GSM261107,Treat
GSM261109,Control
GSM261110,Treat
GSM261113,Control
GSM261114,Treat
GSM261116,Control
GSM261117,Control
GSM261118,Treat
GSM261120,Treat
GSM261122,Control
GSM261123,Treat
GSM261125,Treat
GSM261127,Control
GSM261128,Treat
GSM261130,Treat
GSM261132,Treat
GSM261134,Control
GSM261135,Treat
GSM261137,Control
GSM261138,Control
GSM261139,Treat
GSM261141,Treat
GSM261143,Control
GSM261144,Treat
GSM261146,Control
GSM261147,Treat
GSM261149,Treat
GSM261151,Control
GSM261152,Treat
GSM261154,Control
GSM261155,Treat
GSM261157,Treat
GSM261159,Control
GSM261160,Treat
GSM261162,Control
GSM261163,Treat
GSM261165,Control
GSM261166,Treat
GSM261168,Control
GSM261169,Treat
GSM261171,Control
GSM261172,Treat
GSM261174,Control
GSM261175,Treat
GSM261177,Control
GSM261178,Treat
GSM261180,Treat
GSM261182,Treat
GSM261184,Control
GSM261186,Treat
GSM261188,Control
GSM261189,Treat
GSM261191,Treat
GSM261193,Control
GSM261194,Treat
GSM261196,Control
GSM261197,Treat
GSM261199,Control
GSM261200,Treat
GSM261202,Control
GSM261203,Treat
GSM261205,Control
GSM261206,Control
GSM261207,Treat
GSM261209,Treat
GSM261211,Treat
GSM261213,Treat
GSM261215,Treat
GSM261217,Control
GSM261218,Treat
GSM261220,Control
GSM261221,Treat
GSM261223,Control
GSM261224,Treat
GSM261226,Control
GSM261227,Treat
GSM261229,Control
GSM261230,Treat
GSM261232,Treat
GSM261234,Control
GSM261235,Treat
GSM261237,Control
GSM261238,Treat
GSM261240,Control
GSM261241,Treat
GSM261243,Control
GSM261244,Treat
GSM261246,Control
GSM261247,Treat
GSM261249,Control
GSM261250,Treat
GSM261252,Treat
GSM261254,Control
GSM261255,Treat
GSM261257,Control
GSM261258,Treat
GSM261261,Treat
GSM261263,Treat
GSM261265,Treat
GSM261266,Control
GSM261268,Treat
GSM261270,Treat
GSM261272,Control
GSM261273,Treat
GSM261275,Treat
GSM261277,Control
GSM261278,Treat
GSM261280,Control
GSM261281,Treat
GSM261283,Control
GSM261284,Treat
GSM261286,Control
GSM261287,Treat
GSM261289,Treat
GSM261291,Treat
GSM261293,Control
GSM261294,Treat
GSM261296,Control
GSM261297,Treat
GSM261299,Treat
GSM261301,Treat
GSM261303,Control
GSM261304,Treat
GSM261306,Control
GSM261307,Treat
GSM261309,Control
GSM261310,Treat
GSM261312,Treat
GSM261314,Control
GSM261315,Treat
GSM261317,Control
GSM261318,Treat
GSM261320,Control
GSM261321,Treat
GSM261323,Control
GSM261324,Treat
GSM261326,Control
GSM261327,Treat
GSM261329,Control
GSM261330,Treat
GSM261332,Control
