"pathway_name","prob_PD","n_LR_PD","prob_NC","n_LR_NC","diff","fold_change"
"COLLAGEN",0.985667924373412,21,0.382999498980872,14,0.602668425392539,2.57354881993501
"FN1",0.207239318489384,6,0.0467827654800372,3,0.160456553009347,4.42982115453615
"LAMININ",0.151105892126592,4,0.0171423903041207,4,0.133963501822472,8.81474586089727
"MK",0.109970844113985,5,0.0446650262554954,4,0.0653058178584896,2.46212391914167
"PERIOSTIN",0.0584538008938302,1,0.00717368575591135,1,0.0512801151379189,8.14835377506251
"ANGPTL",0.0124758453145441,1,0,0,0.0124758453145441,1247585.53145441
"ncWNT",0.00877743545373283,1,0,0,0.00877743545373283,877744.545373283
"THBS",0.0604044409141025,6,0.0528947664183177,4,0.00750967449578478,1.14197383946563
"VISFATIN",0.00472806783718081,1,0,0,0.00472806783718081,472807.783718081
"FGF",0.0153009763065432,1,0.0116121592977331,1,0.00368881700881017,1.31766820774223
"PDGF",0.00250414085255062,1,0,0,0.00250414085255062,250415.085255062
"NEGR",0.00101858496825347,1,0,0,0.00101858496825347,101859.496825347
"MPZ",0.00191688614078686,1,0.00161916526626781,1,0.000297720874519048,1.1838719258634
"IGF",0.000201878331798318,2,0,0,0.000201878331798318,20188.8331798318
"PTN",0.0218400065905506,4,0.0237759079197885,3,-0.00193590132923784,0.9185772202037
"GAS",0.00176603963985851,1,0.00704734364105957,1,-0.00528130400120106,0.250597561837834
"CD99",0.0895924006968227,1,0.109069040339048,1,-0.0194766396422254,0.821428355874732
