"sample","condition","dataset","Activated_Fib","ECM_Fib"
"GSM4600897","NC","GSE152042",4,5
"GSM5005048","NC","GSE164241",12,12
"GSM5005049","NC","GSE164241",7,39
"GSM5005050","NC","GSE164241",10,19
"GSM5005051","NC","GSE164241",23,83
"GSM5005052","NC","GSE164241",155,47
"GSM5005053","NC","GSE164241",41,233
"GSM5005055","NC","GSE164241",99,102
"GSM5005056","NC","GSE164241",7,55
"GSM5005057","NC","GSE164241",247,58
"GSM5177039","NC","GSE164241",283,57
"GSM5177040","NC","GSE164241",13,7
"GSM5177041","NC","GSE164241",88,12
"GSM5220920","NC","GSE171213",4,49
"GSM5220921","NC","GSE171213",1,11
"GSM5220922","NC","GSE171213",6,123
"GSM5220923","NC","GSE171213",0,11
"GSM4600898","PD","GSE152042",0,2
"GSM4600899","PD","GSE152042",0,3
"GSM5005058","PD","GSE164241",29,22
"GSM5005059","PD","GSE164241",98,3
"GSM5005060","PD","GSE164241",22,4
"GSM5005061","PD","GSE164241",234,80
"GSM5005062","PD","GSE164241",156,46
"GSM5177042","PD","GSE164241",80,64
"GSM5177043","PD","GSE164241",274,113
"GSM5177044","PD","GSE164241",102,31
"GSM5220924","PD","GSE171213",1,264
"GSM5220925","PD","GSE171213",2,136
"GSM5220926","PD","GSE171213",1,84
"GSM5220927","PD","GSE171213",0,2
"GSM5220928","PD","GSE171213",1,69
