"sample","condition","dataset","n_sender","n_receiver","interaction_name","pathway_name","ligand","receptor","ligand_trimean","receptor_trimean","mass_action","probability_core"
"GSM5005048","NC","GSE164241",12,12,"COL1A1_CD44","COLLAGEN","COL1A1","CD44",3.67538830947632,0,0,0
"GSM5005048","NC","GSE164241",12,12,"COL1A1_SDC1","COLLAGEN","COL1A1","SDC1",3.67538830947632,1.02795004702934,3.77811558557727,0.883126112420702
"GSM5005048","NC","GSE164241",12,12,"COL1A1_SDC4","COLLAGEN","COL1A1","SDC4",3.67538830947632,0,0,0
"GSM5005048","NC","GSE164241",12,12,"COL1A2_CD44","COLLAGEN","COL1A2","CD44",3.92886946656847,0,0,0
"GSM5005048","NC","GSE164241",12,12,"COL1A2_SDC1","COLLAGEN","COL1A2","SDC1",3.92886946656847,1.02795004702934,4.0386815529312,0.889835848986346
"GSM5005048","NC","GSE164241",12,12,"COL1A2_SDC4","COLLAGEN","COL1A2","SDC4",3.92886946656847,0,0,0
"GSM5005048","NC","GSE164241",12,12,"COL4A1_CD44","COLLAGEN","COL4A1","CD44",0.325867252686282,0,0,0
"GSM5005048","NC","GSE164241",12,12,"COL4A1_SDC1","COLLAGEN","COL4A1","SDC1",0.325867252686282,1.02795004702934,0.334975257724185,0.401179860870604
"GSM5005048","NC","GSE164241",12,12,"COL4A1_SDC4","COLLAGEN","COL4A1","SDC4",0.325867252686282,0,0,0
"GSM5005048","NC","GSE164241",12,12,"COL4A2_CD44","COLLAGEN","COL4A2","CD44",0.672045587635966,0,0,0
"GSM5005048","NC","GSE164241",12,12,"COL4A2_SDC1","COLLAGEN","COL4A2","SDC1",0.672045587635966,1.02795004702934,0.690829293416252,0.580124537778543
"GSM5005048","NC","GSE164241",12,12,"COL4A2_SDC4","COLLAGEN","COL4A2","SDC4",0.672045587635966,0,0,0
"GSM5005048","NC","GSE164241",12,12,"COL6A1_CD44","COLLAGEN","COL6A1","CD44",3.27539855544796,0,0,0
"GSM5005048","NC","GSE164241",12,12,"COL6A1_SDC1","COLLAGEN","COL6A1","SDC1",3.27539855544796,1.02795004702934,3.36694609911257,0.870698999369361
"GSM5005048","NC","GSE164241",12,12,"COL6A1_SDC4","COLLAGEN","COL6A1","SDC4",3.27539855544796,0,0,0
"GSM5005048","NC","GSE164241",12,12,"COL6A2_CD44","COLLAGEN","COL6A2","CD44",3.37695020275618,0,0,0
"GSM5005048","NC","GSE164241",12,12,"COL6A2_SDC1","COLLAGEN","COL6A2","SDC1",3.37695020275618,1.02795004702934,3.47133611973895,0.874097788521394
"GSM5005048","NC","GSE164241",12,12,"COL6A2_SDC4","COLLAGEN","COL6A2","SDC4",3.37695020275618,0,0,0
"GSM5005048","NC","GSE164241",12,12,"COL6A3_CD44","COLLAGEN","COL6A3","CD44",2.2384529164112,0,0,0
"GSM5005048","NC","GSE164241",12,12,"COL6A3_SDC1","COLLAGEN","COL6A3","SDC1",2.2384529164112,1.02795004702934,2.30101778069786,0.821493457326277
"GSM5005048","NC","GSE164241",12,12,"COL6A3_SDC4","COLLAGEN","COL6A3","SDC4",2.2384529164112,0,0,0
"GSM5005048","NC","GSE164241",12,12,"FN1_CD44","FN1","FN1","CD44",1.26394172708443,0,0,0
"GSM5005048","NC","GSE164241",12,12,"FN1_ITGA5_ITGB1","FN1","FN1","ITGA5_ITGB1",1.26394172708443,0,0,0
"GSM5005048","NC","GSE164241",12,12,"FN1_ITGA8_ITGB1","FN1","FN1","ITGA8_ITGB1",1.26394172708443,0,0,0
"GSM5005048","NC","GSE164241",12,12,"FN1_ITGAV_ITGB1","FN1","FN1","ITGAV_ITGB1",1.26394172708443,0.462937261754613,0.585125722153863,0.539223898399947
"GSM5005048","NC","GSE164241",12,12,"FN1_SDC1","FN1","FN1","SDC1",1.26394172708443,1.02795004702934,1.29926895779879,0.722109361230966
"GSM5005048","NC","GSE164241",12,12,"FN1_SDC4","FN1","FN1","SDC4",1.26394172708443,0,0,0
"GSM5005048","NC","GSE164241",12,12,"LAMA4_CD44","LAMININ","LAMA4","CD44",0.800332620898136,0,0,0
"GSM5005048","NC","GSE164241",12,12,"LAMB1_CD44","LAMININ","LAMB1","CD44",0.072269189688425,0,0,0
"GSM5005048","NC","GSE164241",12,12,"LAMB2_CD44","LAMININ","LAMB2","CD44",0.671030738645897,0,0,0
"GSM5005048","NC","GSE164241",12,12,"LAMC1_CD44","LAMININ","LAMC1","CD44",0.608186100788277,0,0,0
