"sample","condition","dataset","n_sender","n_receiver","pathway_name","pathway_score","n_LR"
"GSM5005048","NC","GSE164241",12,12,"COLLAGEN",5.32055660527323,21
"GSM5005050","NC","GSE164241",19,10,"COLLAGEN",7.25312761318208,21
"GSM5005051","NC","GSE164241",83,23,"COLLAGEN",3.598083622208,21
"GSM5005052","NC","GSE164241",47,155,"COLLAGEN",4.00809293733318,21
"GSM5005053","NC","GSE164241",233,41,"COLLAGEN",4.3604412659306,21
"GSM5005055","NC","GSE164241",102,99,"COLLAGEN",3.38956215553092,21
"GSM5005057","NC","GSE164241",58,247,"COLLAGEN",5.47470954505019,21
"GSM5177039","NC","GSE164241",57,283,"COLLAGEN",8.71967747149089,21
"GSM5177041","NC","GSE164241",12,88,"COLLAGEN",10.2967890694989,21
"GSM5005058","PD","GSE164241",22,29,"COLLAGEN",9.96988158418103,21
"GSM5005061","PD","GSE164241",80,234,"COLLAGEN",12.1599565416459,21
"GSM5005062","PD","GSE164241",46,156,"COLLAGEN",11.7590627435285,21
"GSM5177042","PD","GSE164241",64,80,"COLLAGEN",4.86398602611784,21
"GSM5177043","PD","GSE164241",113,274,"COLLAGEN",8.69312555596539,21
"GSM5177044","PD","GSE164241",31,102,"COLLAGEN",7.95125131958808,21
"GSM5005048","NC","GSE164241",12,12,"FN1",1.26133325963091,6
"GSM5005050","NC","GSE164241",19,10,"FN1",0.771008193175281,6
"GSM5005051","NC","GSE164241",83,23,"FN1",0.417206326507455,6
"GSM5005052","NC","GSE164241",47,155,"FN1",0.47408501729222,6
"GSM5005053","NC","GSE164241",233,41,"FN1",0.250731047759648,6
"GSM5005055","NC","GSE164241",102,99,"FN1",0.204976132645137,6
"GSM5005057","NC","GSE164241",58,247,"FN1",0.515747760522013,6
"GSM5177039","NC","GSE164241",57,283,"FN1",2.14078269405276,6
"GSM5177041","NC","GSE164241",12,88,"FN1",2.85427246694768,6
"GSM5005058","PD","GSE164241",22,29,"FN1",2.04371214645769,6
"GSM5005061","PD","GSE164241",80,234,"FN1",3.29296286691512,6
"GSM5005062","PD","GSE164241",46,156,"FN1",3.66024862991788,6
"GSM5177042","PD","GSE164241",64,80,"FN1",1.90592463906025,6
"GSM5177043","PD","GSE164241",113,274,"FN1",3.17503414627944,6
"GSM5177044","PD","GSE164241",31,102,"FN1",3.34934199554427,6
"GSM5005048","NC","GSE164241",12,12,"LAMININ",0,4
"GSM5005050","NC","GSE164241",19,10,"LAMININ",0.937311335183589,4
"GSM5005051","NC","GSE164241",83,23,"LAMININ",0.315298051998322,4
"GSM5005052","NC","GSE164241",47,155,"LAMININ",0,4
"GSM5005053","NC","GSE164241",233,41,"LAMININ",0.697233899993539,4
"GSM5005055","NC","GSE164241",102,99,"LAMININ",0.354471070443478,4
"GSM5005057","NC","GSE164241",58,247,"LAMININ",0,4
"GSM5177039","NC","GSE164241",57,283,"LAMININ",2.32280010714068,4
"GSM5177041","NC","GSE164241",12,88,"LAMININ",2.71506949338743,4
"GSM5005058","PD","GSE164241",22,29,"LAMININ",0.966912469978682,4
"GSM5005061","PD","GSE164241",80,234,"LAMININ",2.18191445160481,4
"GSM5005062","PD","GSE164241",46,156,"LAMININ",2.34250659880927,4
"GSM5177042","PD","GSE164241",64,80,"LAMININ",0.875000853026679,4
"GSM5177043","PD","GSE164241",113,274,"LAMININ",2.08845583950219,4
"GSM5177044","PD","GSE164241",31,102,"LAMININ",1.97156112083973,4
"GSM5005048","NC","GSE164241",12,12,"PERIOSTIN",0,1
"GSM5005050","NC","GSE164241",19,10,"PERIOSTIN",0,1
"GSM5005051","NC","GSE164241",83,23,"PERIOSTIN",0,1
"GSM5005052","NC","GSE164241",47,155,"PERIOSTIN",0,1
"GSM5005053","NC","GSE164241",233,41,"PERIOSTIN",0,1
"GSM5005055","NC","GSE164241",102,99,"PERIOSTIN",0,1
"GSM5005057","NC","GSE164241",58,247,"PERIOSTIN",0,1
"GSM5177039","NC","GSE164241",57,283,"PERIOSTIN",0,1
"GSM5177041","NC","GSE164241",12,88,"PERIOSTIN",0,1
"GSM5005058","PD","GSE164241",22,29,"PERIOSTIN",0.535651225408641,1
"GSM5005061","PD","GSE164241",80,234,"PERIOSTIN",0.657418089072236,1
"GSM5005062","PD","GSE164241",46,156,"PERIOSTIN",0.777334005915528,1
"GSM5177042","PD","GSE164241",64,80,"PERIOSTIN",0.611036304576082,1
"GSM5177043","PD","GSE164241",113,274,"PERIOSTIN",0.829811440640043,1
"GSM5177044","PD","GSE164241",31,102,"PERIOSTIN",0.853376937494192,1
