"interaction_name","pathway_name","ligand","receptor","n_NC","n_PD","mean_NC","mean_PD","median_NC","median_PD","delta_mean_PD_minus_NC","bootstrap_95CI_low","bootstrap_95CI_high","exact_p_two_sided","exact_p_one_sided_PD_higher","n_exact_permutations","BH_q_two_sided_all_LR","BH_q_one_sided_all_LR"
"POSTN_ITGAV_ITGB5","PERIOSTIN","POSTN","ITGAV_ITGB5",9,6,0,0.71077133385112,0,0.717376047493882,0.71077133385112,0.613932719546893,0.800309888373013,0.0001998001998002,0.0001998001998002,5005,0.00639360639360639,0.00639360639360639
"COL1A1_SDC4","COLLAGEN","COL1A1","SDC4",9,6,0.0653794248990937,0.569435703345415,0,0.646426242809402,0.504056278446321,0.231994414789959,0.702231623660159,0.001998001998002,0.001998001998002,5005,0.015984015984016,0.0110435019525929
"COL1A2_SDC4","COLLAGEN","COL1A2","SDC4",9,6,0.0657631222085923,0.557113860364956,0,0.633117389343393,0.491350738156363,0.227451923720345,0.684829386385258,0.001998001998002,0.001998001998002,5005,0.015984015984016,0.0110435019525929
"COL4A2_SDC4","COLLAGEN","COL4A2","SDC4",9,6,0,0.111289561987569,0,0.103653850230308,0.111289561987569,0.0518402213185278,0.186016412486228,0.001998001998002,0.001998001998002,5005,0.015984015984016,0.0110435019525929
"COL6A2_SDC4","COLLAGEN","COL6A2","SDC4",9,6,0.0537733988171104,0.449815479240417,0,0.503064719599633,0.396042080423307,0.176642278288387,0.565861203186328,0.0037962037962038,0.0037962037962038,5005,0.0173540744969316,0.0110435019525929
"COL6A1_SDC4","COLLAGEN","COL6A1","SDC4",9,6,0.0511830006231636,0.446629786485053,0,0.484635199385656,0.395446785861889,0.177077233178119,0.569258058218481,0.0037962037962038,0.0037962037962038,5005,0.0173540744969316,0.0110435019525929
"FN1_SDC4","FN1","FN1","SDC4",9,6,0.0350691925805841,0.310882751395256,0,0.338342975892364,0.275813558814672,0.124069245978665,0.405230457843764,0.0037962037962038,0.0037962037962038,5005,0.0173540744969316,0.0110435019525929
"FN1_CD44","FN1","FN1","CD44",9,6,0.323258836796916,0.788134729861741,0.250731047759648,0.801208285217389,0.464875893064824,0.266332178081947,0.651945952459689,0.00599400599400599,0.0023976023976024,5005,0.0213120213120213,0.0110435019525929
"COL6A3_SDC4","COLLAGEN","COL6A3","SDC4",9,6,0.0476045507784476,0.414435228587492,0,0.439933181181139,0.366830677809045,0.162377345840374,0.533801545397226,0.00559440559440559,0.00559440559440559,5005,0.0213120213120213,0.0119347319347319
"FN1_ITGA8_ITGB1","FN1","FN1","ITGA8_ITGB1",9,6,0.0722696909843742,0.535660005669695,0,0.626202324612944,0.463390314685321,0.199692063281418,0.660328746253162,0.00739260739260739,0.00739260739260739,5005,0.0236563436563437,0.0147852147852148
