"CellType","Incoming","Outgoing","Condition"
"Activated_Fib",4.54696304924905,13.8544888723086,"NC"
"Adventitial_Fib",2.6031789594547,10.0490867559475,"NC"
"B cells",4.89537443997351,1.28697173792608,"NC"
"ECM_Fib",3.06994888535715,11.5911972404584,"NC"
"Endothelial cells",4.56013290865397,4.06139482541962,"NC"
"Epithelial cells",8.06230033663227,2.16630601409149,"NC"
"Inflammatory_Fib",5.05712014814396,13.7220380383356,"NC"
"Macrophages",7.77613258518467,2.52166177153651,"NC"
"Mast cells",8.12404343293154,1.24235740552608,"NC"
"Neutrophils",6.86918783689221,3.11962690978957,"NC"
"PI16_Fib",3.40468967267734,9.5555859083377,"NC"
"Pericytes",2.61396133164754,3.59631061250949,"NC"
"Plasma cells",2.82415797050535,0.522959460055801,"NC"
"T cells",9.17237761454038,1.18931448891519,"NC"
"pDCs",7.5352616436438,2.63553077432979,"NC"
"Activated_Fib",9.92431059344374,21.2757036942312,"PD"
"Adventitial_Fib",6.97915296674167,18.0462378582096,"PD"
"B cells",5.25069755784903,1.8172172823534,"PD"
"ECM_Fib",6.14566177374864,21.8788195369737,"PD"
"Endothelial cells",9.44660587341423,8.99616580650501,"PD"
"Epithelial cells",12.3598925826581,3.47580625563764,"PD"
"Inflammatory_Fib",5.42118669421448,18.0499761815452,"PD"
"Macrophages",13.537289867233,4.06527425171688,"PD"
"Mast cells",10.0334715941775,1.32873090166437,"PD"
"Neutrophils",14.0774630291605,2.28709804981553,"PD"
"PI16_Fib",9.67118601601775,19.5373241413383,"PD"
"Pericytes",13.5605915550709,14.9297720380564,"PD"
"Plasma cells",5.15727666670158,0.26725967283496,"PD"
"T cells",10.3252346853809,0.617406365828067,"PD"
"pDCs",8.34461289637426,3.66184231547586,"PD"
