"preliminary_cluster","decision","assigned_identity","evidence"
"0","Keep","Fibroblast candidate","Fibroblast markers retained"
"1","Keep","Fibroblast candidate","Fibroblast markers retained"
"2","Keep","Fibroblast candidate","Fibroblast markers retained"
"3","Keep","Fibroblast candidate","Fibroblast markers retained"
"4","Exclude","Pericyte/smooth muscle","GUCY1A1/GUCY1B1"
"5","Keep","Fibroblast candidate","Fibroblast inflammatory markers"
"6","Keep","Fibroblast candidate","Fibroblast markers; sex-associated split"
"7","Keep","Fibroblast candidate","PI16/MFAP5/DPT"
"8","Exclude","Myeloid/ambiguous sample-dominated","ACP5/CD68; weak fibroblast identity; one-sample dominance"
"9","Exclude","T/NK","CD3D/TRAC/NKG7/GZMK"
"10","Exclude","Epithelial","KRT5/KRT6A/KRT13/DSP"
"11","Exclude","Plasma","MZB1/CD79A/immunoglobulin genes"
