"program","gene","present"
"PI16_fibroblast","PI16",TRUE
"PI16_fibroblast","COL15A1",TRUE
"PI16_fibroblast","MFAP5",TRUE
"PI16_fibroblast","DPT",TRUE
"Activated_fibroblast","POSTN",TRUE
"Activated_fibroblast","TNC",TRUE
"Activated_fibroblast","COL1A1",TRUE
"Activated_fibroblast","COL11A1",TRUE
"Activated_fibroblast","SERPINE1",TRUE
"Activated_fibroblast","FAP",TRUE
"ECM_fibroblast","COL1A1",TRUE
"ECM_fibroblast","COL3A1",TRUE
"ECM_fibroblast","COL5A1",TRUE
"Adventitial_fibroblast","COL14A1",TRUE
"Adventitial_fibroblast","APOD",TRUE
"Adventitial_fibroblast","PTGDS",TRUE
"Adventitial_fibroblast","CFD",TRUE
"Myofibroblast","ACTA2",TRUE
"Myofibroblast","TAGLN",TRUE
"Myofibroblast","MYL9",TRUE
"Stress","FOS",TRUE
"Stress","JUN",TRUE
"Stress","IER3",TRUE
"Stress","NR4A3",TRUE
"Contamination","GUCY1A1",TRUE
"Contamination","GUCY1B1",TRUE
"Contamination","RGS5",TRUE
"Contamination","MCAM",TRUE
"Contamination","CD3D",TRUE
"Contamination","TRAC",TRUE
"Contamination","NKG7",TRUE
"Contamination","GZMK",TRUE
"Contamination","KRT5",TRUE
"Contamination","KRT6A",TRUE
"Contamination","KRT13",TRUE
"Contamination","DSP",TRUE
"Contamination","MZB1",TRUE
"Contamination","CD79A",TRUE
"Contamination","IGHG1",TRUE
"Contamination","IGHG2",TRUE
"Contamination","IGHG3",TRUE
"Contamination","IGHG4",TRUE
"Contamination","IGKC",TRUE
"Contamination","CD68",TRUE
"Contamination","ACP5",TRUE
