"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_gap"
3.83282039696201e-211,2.18728136225317,0.984,0.538,2.08858049071254e-206,"0","JUND",0.446
2.42636248454029e-183,1.25596103440336,0.994,0.937,1.3221734450757e-178,"0","TPT1",0.0569999999999999
3.52409146959599e-172,2.63533478772774,0.86,0.205,1.92034792361225e-167,"0","MTRNR2L12",0.655
3.59039966325326e-171,2.88324268744692,0.898,0.385,1.95648058449997e-166,"0","IER3",0.513
2.89957340117316e-149,1.50506601851084,0.955,0.564,1.58003553776728e-144,"0","CD81",0.391
2.86600926694095e-134,2.65907091613848,0.792,0.28,1.56174576974146e-129,"0","C11orf96",0.512
1.50251898490546e-133,3.2050524706311,0.582,0.052,8.18752645254683e-129,"0","MTRNR2L1",0.53
1.94454448371031e-132,1.1697303161396,0.999,0.993,1.05962118006342e-127,"0","MT-ATP6",0.00600000000000001
3.40204520562632e-123,1.72273310168972,0.977,0.803,1.85384247344989e-118,"0","NEAT1",0.174
7.35503010236181e-123,1.43693841022168,0.969,0.692,4.007903003379e-118,"0","FOSB",0.277
2.73841745745655e-119,1.34969676308387,0.965,0.662,1.49221844091722e-114,"0","SOD2",0.303
2.14157365445138e-117,1.86218351267908,0.781,0.272,1.16698631578364e-112,"0","FAM20C",0.509
2.78692287304554e-102,1.93394330911814,0.677,0.161,1.51865001197998e-97,"0","EVA1B",0.516
8.31714775088939e-97,3.21809059199588,0.465,0.041,4.53218015241465e-92,"0","MTRNR2L10",0.424
6.64986353449102e-94,0.675584574153003,0.992,0.973,3.62364363721484e-89,"0","RPS12",0.019
5.00062922348712e-90,1.14405115576999,0.9,0.543,2.7249428764626e-85,"0","YBX3",0.357
9.64285604287902e-90,1.59617610572973,0.873,0.435,5.25458511488564e-85,"0","TWIST1",0.438
1.78622337193198e-88,1.34147655611647,0.748,0.312,9.73348839833174e-84,"0","EPAS1",0.436
1.07022594779919e-85,1.19899628207304,0.907,0.534,5.83187523474732e-81,"0","MCL1",0.373
1.88709108591865e-82,1.42087342062255,0.729,0.262,1.02831367453879e-77,"0","PRRX2",0.467
5.71903464350918e-79,3.06818760246226,0.412,0.059,3.11641635794102e-74,"0","NR4A3",0.353
9.05351125101925e-79,1.10001826614521,0.962,0.73,4.93343935090541e-74,"0","HSP90AA1",0.232
1.72854950450771e-78,1.65017156839442,0.567,0.18,9.41921195996341e-74,"0","MME",0.387
3.41180548702204e-78,0.642316523842098,0.984,0.913,1.85916104598805e-73,"0","RPL28",0.071
5.65637048290893e-78,0.69717223151311,0.998,0.998,3.08226940354673e-73,"0","MT-CO3",0
8.89399500096784e-78,1.60287833142337,0.663,0.221,4.8465157559274e-73,"0","MIDN",0.442
1.01069004378297e-76,1.34197871606401,0.769,0.333,5.50745218658216e-72,"0","PRSS12",0.436
1.41799899602584e-76,0.730082394120827,0.998,0.989,7.726960129144e-72,"0","VIM",0.00900000000000001
3.47686529072098e-76,0.864168946956109,0.982,0.824,1.89461343421968e-71,"0","LMNA",0.158
