"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_gap"
8.31714775088939e-97,3.21809059199588,0.465,0.041,4.53218015241465e-92,"0","MTRNR2L10",0.424
1.50251898490546e-133,3.2050524706311,0.582,0.052,8.18752645254683e-129,"0","MTRNR2L1",0.53
5.71903464350918e-79,3.06818760246226,0.412,0.059,3.11641635794102e-74,"0","NR4A3",0.353
7.23965068923309e-30,3.01767874156193,0.206,0.046,3.94503045357689e-25,"0","SAA1",0.16
2.56663904256438e-55,2.9740303232701,0.353,0.078,1.39861294707418e-50,"0","RRAD",0.275
3.59039966325326e-171,2.88324268744692,0.898,0.385,1.95648058449997e-166,"0","IER3",0.513
3.31508370660106e-46,2.7631904269686,0.337,0.073,1.80645541340105e-41,"0","CXCL6",0.264
2.86600926694095e-134,2.65907091613848,0.792,0.28,1.56174576974146e-129,"0","C11orf96",0.512
3.52409146959599e-172,2.63533478772774,0.86,0.205,1.92034792361225e-167,"0","MTRNR2L12",0.655
1.93046279102054e-74,2.59959327802584,0.465,0.075,1.05194778408291e-69,"0","IER5L",0.39
2.45576179968127e-48,2.37226040379886,0.277,0.037,1.33819371988232e-43,"0","CDR1-AS",0.24
3.8878543740728e-71,2.34318587645002,0.478,0.088,2.11856960551975e-66,"0","RPS4Y1",0.39
5.42647508147134e-59,2.25513377019632,0.505,0.141,2.95699480139536e-54,"0","PAPPA",0.364
4.59839490474743e-40,2.19871123660493,0.273,0.048,2.50575735149497e-35,"0","DDX3Y",0.225
3.83282039696201e-211,2.18728136225317,0.984,0.538,2.08858049071254e-206,"0","JUND",0.446
5.21856561650257e-74,2.14840511143367,0.611,0.22,2.84370077574458e-69,"0","TNFAIP3",0.391
5.67835718056207e-76,2.12740475698774,0.435,0.075,3.09425039483188e-71,"0","UBE2S",0.36
1.71884616661617e-39,2.11719962453305,0.302,0.066,9.36633653112484e-35,"0","EGR3",0.236
1.03082046536985e-31,2.10151319738807,0.218,0.033,5.6171468798934e-27,"0","TMEM132A",0.185
