"sample","state","n","group","dataset","cohort","total_fibro","fraction"
"GSM5220920","Activated_Fib",6,"NC","GSE171213","GSM522_cohort",127,0.047244094488189
"GSM5220920","Adventitial_Fib",4,"NC","GSE171213","GSM522_cohort",127,0.031496062992126
"GSM5220920","ECM_Fib",117,"NC","GSE171213","GSM522_cohort",127,0.921259842519685
"GSM5220920","Inflammatory_Fib",0,"NC","GSE171213","GSM522_cohort",127,0
"GSM5220920","PI16_Fib",0,"NC","GSE171213","GSM522_cohort",127,0
"GSM5220920","Unassigned_Fib",0,"NC","GSE171213","GSM522_cohort",127,0
"GSM5220921","Activated_Fib",5,"NC","GSE171213","GSM522_cohort",40,0.125
"GSM5220921","Adventitial_Fib",8,"NC","GSE171213","GSM522_cohort",40,0.2
"GSM5220921","ECM_Fib",27,"NC","GSE171213","GSM522_cohort",40,0.675
"GSM5220921","Inflammatory_Fib",0,"NC","GSE171213","GSM522_cohort",40,0
"GSM5220921","PI16_Fib",0,"NC","GSE171213","GSM522_cohort",40,0
"GSM5220921","Unassigned_Fib",0,"NC","GSE171213","GSM522_cohort",40,0
"GSM5220922","Activated_Fib",9,"NC","GSE171213","GSM522_cohort",323,0.0278637770897833
"GSM5220922","Adventitial_Fib",0,"NC","GSE171213","GSM522_cohort",323,0
"GSM5220922","ECM_Fib",314,"NC","GSE171213","GSM522_cohort",323,0.972136222910217
"GSM5220922","Inflammatory_Fib",0,"NC","GSE171213","GSM522_cohort",323,0
"GSM5220922","PI16_Fib",0,"NC","GSE171213","GSM522_cohort",323,0
"GSM5220922","Unassigned_Fib",0,"NC","GSE171213","GSM522_cohort",323,0
"GSM5220923","Activated_Fib",0,"NC","GSE171213","GSM522_cohort",110,0
"GSM5220923","Adventitial_Fib",3,"NC","GSE171213","GSM522_cohort",110,0.0272727272727273
"GSM5220923","ECM_Fib",41,"NC","GSE171213","GSM522_cohort",110,0.372727272727273
"GSM5220923","Inflammatory_Fib",0,"NC","GSE171213","GSM522_cohort",110,0
"GSM5220923","PI16_Fib",66,"NC","GSE171213","GSM522_cohort",110,0.6
"GSM5220923","Unassigned_Fib",0,"NC","GSE171213","GSM522_cohort",110,0
"GSM5220924","Activated_Fib",4,"PD","GSE171213","GSM522_cohort",268,0.0149253731343284
"GSM5220924","Adventitial_Fib",0,"PD","GSE171213","GSM522_cohort",268,0
"GSM5220924","ECM_Fib",264,"PD","GSE171213","GSM522_cohort",268,0.985074626865672
"GSM5220924","Inflammatory_Fib",0,"PD","GSE171213","GSM522_cohort",268,0
"GSM5220924","PI16_Fib",0,"PD","GSE171213","GSM522_cohort",268,0
"GSM5220924","Unassigned_Fib",0,"PD","GSE171213","GSM522_cohort",268,0
"GSM5220925","Activated_Fib",6,"PD","GSE171213","GSM522_cohort",143,0.041958041958042
"GSM5220925","Adventitial_Fib",1,"PD","GSE171213","GSM522_cohort",143,0.00699300699300699
"GSM5220925","ECM_Fib",136,"PD","GSE171213","GSM522_cohort",143,0.951048951048951
"GSM5220925","Inflammatory_Fib",0,"PD","GSE171213","GSM522_cohort",143,0
"GSM5220925","PI16_Fib",0,"PD","GSE171213","GSM522_cohort",143,0
"GSM5220925","Unassigned_Fib",0,"PD","GSE171213","GSM522_cohort",143,0
"GSM5220926","Activated_Fib",6,"PD","GSE171213","GSM522_cohort",172,0.0348837209302326
"GSM5220926","Adventitial_Fib",11,"PD","GSE171213","GSM522_cohort",172,0.063953488372093
"GSM5220926","ECM_Fib",84,"PD","GSE171213","GSM522_cohort",172,0.488372093023256
"GSM5220926","Inflammatory_Fib",0,"PD","GSE171213","GSM522_cohort",172,0
"GSM5220926","PI16_Fib",71,"PD","GSE171213","GSM522_cohort",172,0.412790697674419
"GSM5220926","Unassigned_Fib",0,"PD","GSE171213","GSM522_cohort",172,0
"GSM5220927","Activated_Fib",0,"PD","GSE171213","GSM522_cohort",6,0
"GSM5220927","Adventitial_Fib",0,"PD","GSE171213","GSM522_cohort",6,0
"GSM5220927","ECM_Fib",2,"PD","GSE171213","GSM522_cohort",6,0.333333333333333
"GSM5220927","Inflammatory_Fib",0,"PD","GSE171213","GSM522_cohort",6,0
"GSM5220927","PI16_Fib",4,"PD","GSE171213","GSM522_cohort",6,0.666666666666667
"GSM5220927","Unassigned_Fib",0,"PD","GSE171213","GSM522_cohort",6,0
"GSM5220928","Activated_Fib",3,"PD","GSE171213","GSM522_cohort",78,0.0384615384615385
"GSM5220928","Adventitial_Fib",3,"PD","GSE171213","GSM522_cohort",78,0.0384615384615385
