"state","effect_arcsin_sqrt","t","p_value","FDR","B","mean_fraction_NC","mean_fraction_PD","median_fraction_NC","median_fraction_PD","n_samples_NC","n_samples_PD","subset","minimum_cells","formula","n_samples_total"
"Activated_Fib",0.605347455348345,6.19276958681454,9.30526916464335e-07,5.58316149878601e-06,5.60877639043462,0.163466495683806,0.586466941152382,0.106349117189987,0.803120243531202,16,12,"Integrated eligible samples",50,"~ dataset + group",28
"Adventitial_Fib",-0.15449753960069,-2.47491889673956,0.0194008728391874,0.0582026185175623,-3.96346753699755,0.107475889020355,0.0272833227063627,0.0772530704030445,0.0139706283894763,16,12,"Integrated eligible samples",50,"~ dataset + group",28
"ECM_Fib",-0.135122277707677,-1.37372156347195,0.180030238380252,0.190293030366539,-5.86594419234228,0.336528117931301,0.325743674918347,0.237222426696111,0.0984297939680735,16,12,"Integrated eligible samples",50,"~ dataset + group",28
"Inflammatory_Fib",-0.231916494700907,-2.13273399002291,0.0415177025425185,0.0830354050850371,-4.6426533143245,0.21147375099959,0.0222718735653503,0.022733918128655,0.000745156482861401,16,12,"Integrated eligible samples",50,"~ dataset + group",28
"PI16_Fib",-0.210844891680413,-1.5457159069091,0.132991984958011,0.190293030366539,-5.6271888441214,0.168827683262616,0.0381720912839861,0.000839686011817524,0,16,12,"Integrated eligible samples",50,"~ dataset + group",28
"Unassigned_Fib",-0.0414565967879443,-1.341039496771,0.190293030366539,0.190293030366539,-5.90853896265989,0.0122280631023318,6.20963735717834e-05,0,0,16,12,"Integrated eligible samples",50,"~ dataset + group",28
"Activated_Fib",0.6211922989747,5.73051936820284,4.56183354641621e-06,2.73710012784973e-05,4.13295414310927,0.162045421483016,0.621025286647816,0.105263157894737,0.817766708177667,15,10,"Integrated eligible samples sensitivity",100,"~ dataset + group",25
"Adventitial_Fib",-0.170331100536539,-2.50510373488971,0.0186818993425752,0.0560456980277257,-3.8442011104481,0.101597470027509,0.0211160556237036,0.0658536585365854,0.00947626430607111,15,10,"Integrated eligible samples sensitivity",100,"~ dataset + group",25
"ECM_Fib",-0.123871376898188,-1.13176995954103,0.267835660747206,0.267835660747206,-6.08135233250365,0.336499557677446,0.297986426996033,0.225641025641026,0.0984297939680735,15,10,"Integrated eligible samples sensitivity",100,"~ dataset + group",25
"Inflammatory_Fib",-0.243996284478639,-2.01810618554514,0.0537744641701457,0.107548928340291,-4.78500898213448,0.206731421356084,0.0178373593895314,0.0138888888888889,0.000745156482861401,15,10,"Integrated eligible samples sensitivity",100,"~ dataset + group",25
"PI16_Fib",-0.224808926518374,-1.48514842320884,0.149265267236578,0.223897900854867,-5.63788783570658,0.180082862146791,0.0419603556946294,0.00132362673726009,0,15,10,"Integrated eligible samples sensitivity",100,"~ dataset + group",25
"Unassigned_Fib",-0.0449899556923327,-1.31122186721171,0.200994263166666,0.241193115799999,-5.86928743727645,0.0130432673091539,7.45156482861401e-05,0,0,15,10,"Integrated eligible samples sensitivity",100,"~ dataset + group",25
"Activated_Fib",0.766270542640829,8.79315008263309,2.11466592293928e-08,1.26879955376357e-07,9.42044331036439,0.195412004566379,0.863421827418056,0.114634146341463,0.861252822614368,13,8,"GSE164241 cohort-controlled sensitivity",50,"~ cohort + group",21
"Adventitial_Fib",-0.231388519955577,-3.42437147218105,0.00261068955216105,0.00783206865648314,-2.31857687743771,0.127757341081602,0.0272489798312142,0.120283018867925,0.0139706283894763,13,8,"GSE164241 cohort-controlled sensitivity",50,"~ cohort + group",21
"ECM_Fib",-0.198920215455491,-1.91112596383355,0.0700519493130361,0.0840623391756433,-5.39408827698579,0.239871272980281,0.0749766304333625,0.194444444444444,0.0711781992098492,13,8,"GSE164241 cohort-controlled sensitivity",50,"~ cohort + group",21
