"program","effect","t","p_value","FDR","B","subset","formula","n_samples_total"
"score_PI16_fibroblast",-0.226694775803205,-2.2460091309938,0.0285292809005524,0.0407561155722177,-4.29516643513342,"Integrated eligible samples","~ dataset + group",28
"score_Activated_fibroblast",0.321802078174404,3.55174834968985,0.000993034710402976,0.00331011570134325,-1.18817455760741,"Integrated eligible samples","~ dataset + group",28
"score_ECM_fibroblast",0.398148071147284,2.00559513872093,0.0495742961033188,0.0619678701291484,-4.76993153620258,"Integrated eligible samples","~ dataset + group",28
"score_Adventitial_fibroblast",-0.485249039950427,-3.01100076788998,0.00575016296665893,0.0143754074166473,-2.74964827841466,"Integrated eligible samples","~ dataset + group",28
"score_Myofibroblast",-0.060749149603331,-1.24621915986313,0.21769625627702,0.241884729196689,-5.95049197958922,"Integrated eligible samples","~ dataset + group",28
"score_Inflammatory_fibroblast",0.298398455168559,2.46348226400095,0.016748653094875,0.0334973061897501,-3.82723214426013,"Integrated eligible samples","~ dataset + group",28
"score_Stress",0.568053510415872,5.67519814185108,4.65167662635933e-07,4.65167662635933e-06,6.07626358958776,"Integrated eligible samples","~ dataset + group",28
"score_Contamination",0.0399733368872408,0.633316815916913,0.529017310885229,0.529017310885229,-6.51834125223198,"Integrated eligible samples","~ dataset + group",28
"score_ECM_TGFB_remodeling",0.229145008620081,2.27379951220555,0.0266976872946321,0.0407561155722177,-4.23736472516562,"Integrated eligible samples","~ dataset + group",28
"score_C3_CD44_activation",0.344404928139418,4.76447965057982,1.30982269710231e-05,6.54911348551155e-05,2.85984346929064,"Integrated eligible samples","~ dataset + group",28
"score_PI16_fibroblast",-0.227780709064428,-1.98392964266711,0.0516631384684117,0.0738044835263025,-4.73894682481084,"Integrated eligible samples sensitivity","~ dataset + group",25
"score_Activated_fibroblast",0.322786424351761,3.36203104847899,0.00170490273981586,0.00568300913271953,-1.63540159502263,"Integrated eligible samples sensitivity","~ dataset + group",25
"score_ECM_fibroblast",0.408598613373339,1.86841395542634,0.0663966371814146,0.0829957964767682,-4.94858078630113,"Integrated eligible samples sensitivity","~ dataset + group",25
"score_Adventitial_fibroblast",-0.511766184306343,-2.86229516222462,0.00884406274076506,0.0205188686192648,-3.06150654698398,"Integrated eligible samples sensitivity","~ dataset + group",25
"score_Myofibroblast",-0.072436237384832,-1.39327178967064,0.168476898949177,0.187196554387975,-5.69004779475234,"Integrated eligible samples sensitivity","~ dataset + group",25
"score_Inflammatory_fibroblast",0.346830449333958,2.6472266780955,0.0102594343096324,0.0205188686192648,-3.32974473155663,"Integrated eligible samples sensitivity","~ dataset + group",25
"score_Stress",0.575778853612065,5.26870703902813,1.80739304163983e-06,1.80739304163983e-05,4.78962856116892,"Integrated eligible samples sensitivity","~ dataset + group",25
"score_Contamination",0.0324119655678512,0.476661612745863,0.635266715955978,0.635266715955978,-6.53152943480881,"Integrated eligible samples sensitivity","~ dataset + group",25
"score_ECM_TGFB_remodeling",0.237404981088354,2.17690658904454,0.0332757747946934,0.0554596246578223,-4.36428704039489,"Integrated eligible samples sensitivity","~ dataset + group",25
"score_C3_CD44_activation",0.361931050309498,4.58838854805031,2.20683431303742e-05,0.000110341715651871,2.3951024835616,"Integrated eligible samples sensitivity","~ dataset + group",25
"score_PI16_fibroblast",-0.254732332534931,-2.69997101173289,0.0128705714989607,0.0214509524982678,-3.50397360321607,"GSE164241 cohort-controlled sensitivity","~ cohort + group",21
"score_Activated_fibroblast",0.357493209510718,3.7631949623644,0.00102950539714611,0.00257376349286528,-1.10715226719811,"GSE164241 cohort-controlled sensitivity","~ cohort + group",21
"score_ECM_fibroblast",0.338412148666931,1.69511083286287,0.103738417815166,0.129673022268958,-5.36091123628134,"GSE164241 cohort-controlled sensitivity","~ cohort + group",21
"score_Adventitial_fibroblast",-0.529878369245873,-3.86631042825447,0.000799055684849814,0.00257376349286528,-0.862391875152023,"GSE164241 cohort-controlled sensitivity","~ cohort + group",21
"score_Myofibroblast",-0.0471413300669728,-0.881048146219955,0.387106566485605,0.387106566485605,-6.36068568657161,"GSE164241 cohort-controlled sensitivity","~ cohort + group",21
"score_Inflammatory_fibroblast",0.389905570419292,2.9888494596793,0.0066224455802188,0.0132448911604376,-2.88326706863202,"GSE164241 cohort-controlled sensitivity","~ cohort + group",21
"score_Stress",0.633167405819972,6.00862132625302,4.20552708294595e-06,4.20552708294595e-05,4.27495780072355,"GSE164241 cohort-controlled sensitivity","~ cohort + group",21
"score_Contamination",0.057598497440695,0.980977703314769,0.336475435708383,0.373861595231537,-6.26844987922058,"GSE164241 cohort-controlled sensitivity","~ cohort + group",21
"score_ECM_TGFB_remodeling",0.236802004731216,2.24171160009231,0.0350645407221125,0.0500922010315893,-4.41855219035816,"GSE164241 cohort-controlled sensitivity","~ cohort + group",21
"score_C3_CD44_activation",0.389363764038605,4.88870941099453,5.63770221872917e-05,0.000281885110936458,1.70163674176883,"GSE164241 cohort-controlled sensitivity","~ cohort + group",21
