"sample","group","dataset","cohort","state_final","n_cells","AGT_mean","AGT_positive_fraction","C3_mean","C3_positive_fraction","ECM_TGFB_score","C3_CD44_score"
"GSM4600897","NC","GSE152042","GSM460_cohort","Activated_Fib",4,0,0,1.06445573375283,0.5,0.970508992297092,1.13211329314048
"GSM4600897","NC","GSE152042","GSM460_cohort","Adventitial_Fib",4,0,0,1.19297570308493,0.5,1.16478320571998,0.564692861662005
"GSM4600897","NC","GSE152042","GSM460_cohort","ECM_Fib",7,0,0,0.89299909003211,0.428571428571429,1.50022662201097,1.15836091203841
"GSM4600897","NC","GSE152042","GSM460_cohort","Unassigned_Fib",2,0,0,0,0,1.34232443458756,0.816908425081722
"GSM4600898","PD","GSE152042","GSM460_cohort","Activated_Fib",2,0,0,0,0,1.41798823451743,0.743870176337552
"GSM4600898","PD","GSE152042","GSM460_cohort","ECM_Fib",2,0,0,0,0,1.51287172399111,1.23431003483566
"GSM4600899","PD","GSE152042","GSM460_cohort","ECM_Fib",3,0,0,0.535096948440488,0.333333333333333,1.49936104778269,0.929307477062372
"GSM5005048","NC","GSE164241","GSM500_cohort","Activated_Fib",17,0,0,0.392721346237749,0.235294117647059,1.40805068292157,0.512034764834718
"GSM5005048","NC","GSE164241","GSM500_cohort","Adventitial_Fib",18,0,0,0.685486515035823,0.333333333333333,1.05269858022715,0.290306112055851
"GSM5005048","NC","GSE164241","GSM500_cohort","ECM_Fib",31,0,0,0.493223062671988,0.32258064516129,0.880689944385889,0.307644347614935
"GSM5005048","NC","GSE164241","GSM500_cohort","Inflammatory_Fib",26,0.0330162292766934,0.0384615384615385,0.443699305560422,0.346153846153846,1.02597415772532,0.521676665018365
"GSM5005049","NC","GSE164241","GSM500_cohort","Activated_Fib",19,0,0,0.368324187714487,0.263157894736842,1.42596066823878,0.760724705379338
"GSM5005049","NC","GSE164241","GSM500_cohort","Adventitial_Fib",25,0,0,1.01672127915946,0.56,1.03103021030005,0.489540860322721
"GSM5005049","NC","GSE164241","GSM500_cohort","ECM_Fib",102,0,0,0.213468054333521,0.147058823529412,1.09881541662244,0.556081664880514
"GSM5005049","NC","GSE164241","GSM500_cohort","Inflammatory_Fib",135,0.0293817492433052,0.0296296296296296,0.529223912540077,0.444444444444444,1.28366190714413,0.755963587157163
"GSM5005049","NC","GSE164241","GSM500_cohort","Unassigned_Fib",1,0,0,0,0,1.0263797727537,0.475019712411376
"GSM5005050","NC","GSE164241","GSM500_cohort","Activated_Fib",19,0,0,0,0,1.59384863502999,0.914852828366047
"GSM5005050","NC","GSE164241","GSM500_cohort","Adventitial_Fib",37,0,0,0.818085518579696,0.432432432432432,0.907346281338108,0.39816173136804
"GSM5005050","NC","GSE164241","GSM500_cohort","ECM_Fib",52,0,0,0.0184895900190969,0.0192307692307692,1.24700283357327,0.665020098118934
"GSM5005050","NC","GSE164241","GSM500_cohort","Inflammatory_Fib",101,0,0,0.535419726744501,0.495049504950495,1.58779610406867,0.942041268193129
"GSM5005051","NC","GSE164241","GSM500_cohort","Activated_Fib",47,0,0,0.147003925398587,0.0851063829787234,1.38380628432578,0.720352570404217
"GSM5005051","NC","GSE164241","GSM500_cohort","Adventitial_Fib",27,0.111335702614017,0.0740740740740741,1.04272646395366,0.592592592592593,0.897739762135008,0.308801825184645
"GSM5005051","NC","GSE164241","GSM500_cohort","ECM_Fib",213,0.0094794269676687,0.00469483568075117,0.338664618534838,0.215962441314554,0.895423709230101,0.420031446222006
"GSM5005051","NC","GSE164241","GSM500_cohort","Inflammatory_Fib",123,0,0,0.313258164709005,0.260162601626016,1.31048123744043,0.770947729935315
"GSM5005052","NC","GSE164241","GSM500_cohort","Activated_Fib",302,0,0,0.38296339383357,0.235099337748344,1.46982964140285,0.886996757561775
"GSM5005052","NC","GSE164241","GSM500_cohort","Adventitial_Fib",15,0,0,0.383892316127168,0.133333333333333,1.13563005015092,0.420973614825536
"GSM5005052","NC","GSE164241","GSM500_cohort","ECM_Fib",130,0.011050377872871,0.00769230769230769,0.169018393424029,0.0923076923076923,1.10448012184868,0.564028974703154
"GSM5005052","NC","GSE164241","GSM500_cohort","Inflammatory_Fib",2363,0.00375817116389627,0.00253914515446466,0.436712843061818,0.285653829877275,1.2476973308174,0.760349391578693
"GSM5005052","NC","GSE164241","GSM500_cohort","PI16_Fib",1,0,0,0,0,0.810372158937476,0.434986936448763
"GSM5005053","NC","GSE164241","GSM500_cohort","Activated_Fib",80,0.0204110514791694,0.0125,0.204951613948958,0.1,1.16738544396021,0.625166928559454
"GSM5005053","NC","GSE164241","GSM500_cohort","Adventitial_Fib",43,0,0,0.778082213402135,0.372093023255814,0.694365949616098,0.290431102531049
"GSM5005053","NC","GSE164241","GSM500_cohort","ECM_Fib",608,0,0,0.359149852977303,0.199013157894737,1.03698951728158,0.465466242115282
"GSM5005053","NC","GSE164241","GSM500_cohort","Inflammatory_Fib",24,0,0,0.467845500127774,0.25,1.13997824624595,0.540531161014997
"GSM5005053","NC","GSE164241","GSM500_cohort","PI16_Fib",5,0,0,1.10706048580636,0.6,0.49460933604465,0.222450612577593
"GSM5005054","NC","GSE164241","GSM500_cohort","Adventitial_Fib",1,0,0,0,0,-0.386405820385948,-0.181751748839447
"GSM5005054","NC","GSE164241","GSM500_cohort","ECM_Fib",4,0,0,0,0,0.680009211847696,0.464269690694978
"GSM5005054","NC","GSE164241","GSM500_cohort","PI16_Fib",352,0.00868223913392887,0.00568181818181818,0.962990251783502,0.511363636363636,0.306908463503103,0.170898981073887
"GSM5005055","NC","GSE164241","GSM500_cohort","Activated_Fib",187,0.0343074768627999,0.0213903743315508,0.340020135164509,0.213903743315508,1.14874624656913,0.70385963153629
"GSM5005055","NC","GSE164241","GSM500_cohort","Adventitial_Fib",224,0.00779191759718861,0.00446428571428571,0.754095486537002,0.361607142857143,0.426142071264233,0.166053592326383
"GSM5005055","NC","GSE164241","GSM500_cohort","ECM_Fib",267,0,0,0.428563423345592,0.243445692883895,0.524665657038405,0.198552068434902
"GSM5005055","NC","GSE164241","GSM500_cohort","Inflammatory_Fib",831,0.00894193586985457,0.0072202166064982,0.604145110247735,0.410348977135981,0.803991921321136,0.457623607034814
"GSM5005055","NC","GSE164241","GSM500_cohort","PI16_Fib",2,0,0,0.944537399259269,0.5,0.0986009853353542,0.433195185794499
