"decile","dataset","n","fraction"
1,"GSE164241",809,0.849789915966387
1,"GSE171213",143,0.150210084033613
2,"GSE152042",3,0.00315126050420168
2,"GSE164241",941,0.988445378151261
2,"GSE171213",8,0.00840336134453781
3,"GSE152042",1,0.00105042016806723
3,"GSE164241",949,0.996848739495798
3,"GSE171213",2,0.00210084033613445
4,"GSE152042",1,0.00105042016806723
4,"GSE164241",950,0.997899159663866
4,"GSE171213",1,0.00105042016806723
5,"GSE164241",952,1
6,"GSE164241",952,1
7,"GSE164241",950,0.998948475289169
7,"GSE171213",1,0.0010515247108307
8,"GSE152042",1,0.0010515247108307
8,"GSE164241",941,0.989484752891693
8,"GSE171213",9,0.00946372239747634
9,"GSE152042",5,0.00525762355415352
9,"GSE164241",793,0.833859095688749
9,"GSE171213",153,0.160883280757098
10,"GSE152042",4,0.00420609884332282
10,"GSE164241",32,0.0336487907465825
10,"GSE171213",915,0.962145110410095
