"dataset","state","supported_GSM","eligible_GSM","support_fraction","label"
"GSE152042","Activated_Fib",0,0,NA,"display only"
"GSE152042","ECM_Fib",0,0,NA,"display only"
"GSE152042","PI16_Fib",0,0,NA,"display only"
"GSE152042","Inflammatory_Fib",0,0,NA,"display only"
"GSE152042","Adventitial_Fib",0,0,NA,"display only"
"GSE164241","Activated_Fib",20,21,0.952380952380952,"20/21"
"GSE164241","ECM_Fib",18,21,0.857142857142857,"18/21"
"GSE164241","PI16_Fib",4,21,0.19047619047619,"4/21"
"GSE164241","Inflammatory_Fib",10,21,0.476190476190476,"10/21"
"GSE164241","Adventitial_Fib",14,21,0.666666666666667,"14/21"
"GSE171213","Activated_Fib",0,7,0,"0/7"
"GSE171213","ECM_Fib",7,7,1,"7/7"
"GSE171213","PI16_Fib",2,7,0.285714285714286,"2/7"
"GSE171213","Inflammatory_Fib",0,7,0,"0/7"
"GSE171213","Adventitial_Fib",1,7,0.142857142857143,"1/7"
