"sample","dataset","group","total_fibro","eligible"
"GSM4600897","GSE152042","NC",17,FALSE
"GSM4600898","GSE152042","PD",4,FALSE
"GSM4600899","GSE152042","PD",3,FALSE
"GSM5005048","GSE164241","NC",92,TRUE
"GSM5005049","GSE164241","NC",282,TRUE
"GSM5005050","GSE164241","NC",209,TRUE
"GSM5005051","GSE164241","NC",410,TRUE
"GSM5005052","GSE164241","NC",2811,TRUE
"GSM5005053","GSE164241","NC",760,TRUE
"GSM5005054","GSE164241","NC",357,TRUE
"GSM5005055","GSE164241","NC",1511,TRUE
"GSM5005056","GSE164241","NC",585,TRUE
"GSM5005057","GSE164241","NC",1653,TRUE
"GSM5177039","GSE164241","NC",848,TRUE
"GSM5177040","GSE164241","NC",144,TRUE
"GSM5177041","GSE164241","NC",340,TRUE
"GSM5005058","GSE164241","PD",194,TRUE
"GSM5005059","GSE164241","PD",427,TRUE
"GSM5005060","GSE164241","PD",90,TRUE
"GSM5005061","GSE164241","PD",1087,TRUE
"GSM5005062","GSE164241","PD",669,TRUE
"GSM5177042","GSE164241","PD",438,TRUE
"GSM5177043","GSE164241","PD",1342,TRUE
"GSM5177044","GSE164241","PD",492,TRUE
"GSM5220920","GSE171213","NC",127,TRUE
"GSM5220921","GSE171213","NC",40,FALSE
"GSM5220922","GSE171213","NC",323,TRUE
"GSM5220923","GSE171213","NC",110,TRUE
"GSM5220924","GSE171213","PD",268,TRUE
"GSM5220925","GSE171213","PD",143,TRUE
"GSM5220926","GSE171213","PD",172,TRUE
"GSM5220927","GSE171213","PD",6,FALSE
"GSM5220928","GSE171213","PD",78,TRUE
