"sample","state","n_state","dataset","group","total_fibro","fraction","eligible"
"GSM4600897","Activated_Fib",4,"GSE152042","NC",17,0.235294117647059,FALSE
"GSM4600897","Adventitial_Fib",4,"GSE152042","NC",17,0.235294117647059,FALSE
"GSM4600897","ECM_Fib",9,"GSE152042","NC",17,0.529411764705882,FALSE
"GSM4600898","Activated_Fib",2,"GSE152042","PD",4,0.5,FALSE
"GSM4600898","ECM_Fib",2,"GSE152042","PD",4,0.5,FALSE
"GSM4600899","ECM_Fib",3,"GSE152042","PD",3,1,FALSE
"GSM5005048","Activated_Fib",17,"GSE164241","NC",92,0.184782608695652,TRUE
"GSM5005048","Adventitial_Fib",18,"GSE164241","NC",92,0.195652173913043,TRUE
"GSM5005048","ECM_Fib",31,"GSE164241","NC",92,0.33695652173913,TRUE
"GSM5005048","Inflammatory_Fib",26,"GSE164241","NC",92,0.282608695652174,TRUE
"GSM5005049","Activated_Fib",19,"GSE164241","NC",282,0.0673758865248227,TRUE
"GSM5005049","Adventitial_Fib",25,"GSE164241","NC",282,0.0886524822695035,TRUE
"GSM5005049","ECM_Fib",103,"GSE164241","NC",282,0.365248226950355,TRUE
"GSM5005049","Inflammatory_Fib",135,"GSE164241","NC",282,0.478723404255319,TRUE
"GSM5005050","Activated_Fib",19,"GSE164241","NC",209,0.0909090909090909,TRUE
"GSM5005050","Adventitial_Fib",37,"GSE164241","NC",209,0.177033492822967,TRUE
"GSM5005050","ECM_Fib",52,"GSE164241","NC",209,0.248803827751196,TRUE
"GSM5005050","Inflammatory_Fib",101,"GSE164241","NC",209,0.483253588516746,TRUE
"GSM5005051","Activated_Fib",47,"GSE164241","NC",410,0.114634146341463,TRUE
"GSM5005051","Adventitial_Fib",27,"GSE164241","NC",410,0.0658536585365854,TRUE
"GSM5005051","ECM_Fib",213,"GSE164241","NC",410,0.519512195121951,TRUE
"GSM5005051","Inflammatory_Fib",123,"GSE164241","NC",410,0.3,TRUE
"GSM5005052","Activated_Fib",302,"GSE164241","NC",2811,0.107435076485237,TRUE
"GSM5005052","Adventitial_Fib",15,"GSE164241","NC",2811,0.00533617929562433,TRUE
"GSM5005052","ECM_Fib",130,"GSE164241","NC",2811,0.0462468872287442,TRUE
"GSM5005052","Inflammatory_Fib",2363,"GSE164241","NC",2811,0.84062611170402,TRUE
"GSM5005052","PI16_Fib",1,"GSE164241","NC",2811,0.000355745286374956,TRUE
"GSM5005053","Activated_Fib",80,"GSE164241","NC",760,0.105263157894737,TRUE
"GSM5005053","Adventitial_Fib",43,"GSE164241","NC",760,0.0565789473684211,TRUE
"GSM5005053","ECM_Fib",608,"GSE164241","NC",760,0.8,TRUE
"GSM5005053","Inflammatory_Fib",24,"GSE164241","NC",760,0.0315789473684211,TRUE
"GSM5005053","PI16_Fib",5,"GSE164241","NC",760,0.00657894736842105,TRUE
"GSM5005054","Adventitial_Fib",1,"GSE164241","NC",357,0.00280112044817927,TRUE
"GSM5005054","ECM_Fib",4,"GSE164241","NC",357,0.0112044817927171,TRUE
"GSM5005054","PI16_Fib",352,"GSE164241","NC",357,0.985994397759104,TRUE
"GSM5005055","Activated_Fib",187,"GSE164241","NC",1511,0.123759099933819,TRUE
"GSM5005055","Adventitial_Fib",224,"GSE164241","NC",1511,0.14824619457313,TRUE
"GSM5005055","ECM_Fib",267,"GSE164241","NC",1511,0.176704169424222,TRUE
"GSM5005055","Inflammatory_Fib",831,"GSE164241","NC",1511,0.549966909331568,TRUE
"GSM5005055","PI16_Fib",2,"GSE164241","NC",1511,0.00132362673726009,TRUE
"GSM5005056","Activated_Fib",18,"GSE164241","NC",585,0.0307692307692308,TRUE
"GSM5005056","Adventitial_Fib",37,"GSE164241","NC",585,0.0632478632478632,TRUE
"GSM5005056","ECM_Fib",132,"GSE164241","NC",585,0.225641025641026,TRUE
"GSM5005056","Inflammatory_Fib",4,"GSE164241","NC",585,0.00683760683760684,TRUE
"GSM5005056","PI16_Fib",394,"GSE164241","NC",585,0.673504273504274,TRUE
"GSM5005057","Activated_Fib",525,"GSE164241","NC",1653,0.317604355716878,TRUE
"GSM5005057","Adventitial_Fib",348,"GSE164241","NC",1653,0.210526315789474,TRUE
"GSM5005057","ECM_Fib",135,"GSE164241","NC",1653,0.0816696914700544,TRUE
"GSM5005057","Inflammatory_Fib",645,"GSE164241","NC",1653,0.390199637023593,TRUE
"GSM5005058","Activated_Fib",142,"GSE164241","PD",194,0.731958762886598,TRUE
"GSM5005058","Adventitial_Fib",4,"GSE164241","PD",194,0.0206185567010309,TRUE
"GSM5005058","ECM_Fib",22,"GSE164241","PD",194,0.11340206185567,TRUE
"GSM5005058","Inflammatory_Fib",26,"GSE164241","PD",194,0.134020618556701,TRUE
"GSM5005059","Activated_Fib",423,"GSE164241","PD",427,0.990632318501171,TRUE
"GSM5005059","ECM_Fib",3,"GSE164241","PD",427,0.00702576112412178,TRUE
"GSM5005059","PI16_Fib",1,"GSE164241","PD",427,0.00234192037470726,TRUE
"GSM5005060","Activated_Fib",71,"GSE164241","PD",90,0.788888888888889,TRUE
"GSM5005060","Adventitial_Fib",7,"GSE164241","PD",90,0.0777777777777778,TRUE
"GSM5005060","ECM_Fib",4,"GSE164241","PD",90,0.0444444444444444,TRUE
"GSM5005060","Inflammatory_Fib",8,"GSE164241","PD",90,0.0888888888888889,TRUE
"GSM5005061","Activated_Fib",983,"GSE164241","PD",1087,0.904323827046918,TRUE
"GSM5005061","Adventitial_Fib",13,"GSE164241","PD",1087,0.0119595216191352,TRUE
"GSM5005061","ECM_Fib",80,"GSE164241","PD",1087,0.0735970561177553,TRUE
"GSM5005061","Inflammatory_Fib",11,"GSE164241","PD",1087,0.0101195952161914,TRUE
"GSM5005062","Activated_Fib",623,"GSE164241","PD",669,0.931240657698057,TRUE
"GSM5005062","ECM_Fib",46,"GSE164241","PD",669,0.0687593423019432,TRUE
"GSM5177039","Activated_Fib",570,"GSE164241","NC",848,0.672169811320755,TRUE
"GSM5177039","Adventitial_Fib",102,"GSE164241","NC",848,0.120283018867925,TRUE
"GSM5177039","ECM_Fib",169,"GSE164241","NC",848,0.199292452830189,TRUE
"GSM5177039","Inflammatory_Fib",5,"GSE164241","NC",848,0.00589622641509434,TRUE
"GSM5177039","PI16_Fib",2,"GSE164241","NC",848,0.00235849056603774,TRUE
"GSM5177040","Activated_Fib",38,"GSE164241","NC",144,0.263888888888889,TRUE
"GSM5177040","Adventitial_Fib",50,"GSE164241","NC",144,0.347222222222222,TRUE
