"dataset","cohort","group","sample","n_fibro_candidates"
"GSE152042","GSM460_cohort","NC","GSM4600896",40
"GSE152042","GSM460_cohort","NC","GSM4600897",378
"GSE152042","GSM460_cohort","PD","GSM4600898",464
"GSE152042","GSM460_cohort","PD","GSM4600899",96
"GSE164241","GSM500_cohort","NC","GSM5005048",622
"GSE164241","GSM500_cohort","NC","GSM5005049",295
"GSE164241","GSM500_cohort","NC","GSM5005050",217
"GSE164241","GSM500_cohort","NC","GSM5005051",410
"GSE164241","GSM500_cohort","NC","GSM5005052",2855
"GSE164241","GSM500_cohort","NC","GSM5005053",783
"GSE164241","GSM500_cohort","NC","GSM5005054",361
"GSE164241","GSM500_cohort","NC","GSM5005055",1589
"GSE164241","GSM500_cohort","NC","GSM5005056",618
"GSE164241","GSM500_cohort","NC","GSM5005057",1710
"GSE164241","GSM500_cohort","PD","GSM5005058",200
"GSE164241","GSM500_cohort","PD","GSM5005059",428
"GSE164241","GSM500_cohort","PD","GSM5005060",97
"GSE164241","GSM500_cohort","PD","GSM5005061",1122
"GSE164241","GSM500_cohort","PD","GSM5005062",716
"GSE164241","GSM517_cohort","NC","GSM5177039",860
"GSE164241","GSM517_cohort","NC","GSM5177040",597
"GSE164241","GSM517_cohort","NC","GSM5177041",396
"GSE164241","GSM517_cohort","PD","GSM5177042",466
"GSE164241","GSM517_cohort","PD","GSM5177043",1450
"GSE164241","GSM517_cohort","PD","GSM5177044",541
"GSE171213","GSM522_cohort","NC","GSM5220920",127
"GSE171213","GSM522_cohort","NC","GSM5220921",40
"GSE171213","GSM522_cohort","NC","GSM5220922",323
"GSE171213","GSM522_cohort","NC","GSM5220923",110
"GSE171213","GSM522_cohort","PD","GSM5220924",268
"GSE171213","GSM522_cohort","PD","GSM5220925",144
"GSE171213","GSM522_cohort","PD","GSM5220926",172
"GSE171213","GSM522_cohort","PD","GSM5220927",6
"GSE171213","GSM522_cohort","PD","GSM5220928",79
