"program","gene","present"
"inflammatory","ICAM1",TRUE
"inflammatory","CCL2",TRUE
"inflammatory","CCL7",TRUE
"inflammatory","CCL8",TRUE
"inflammatory","CXCL1",TRUE
"inflammatory","CXCL2",TRUE
"inflammatory","CXCL3",TRUE
"inflammatory","CXCL6",TRUE
"inflammatory","CXCL8",TRUE
"inflammatory","CXCL10",TRUE
"inflammatory","CXCL12",TRUE
"inflammatory","CXCL13",TRUE
"inflammatory","IL6",TRUE
"inflammatory","PTGS2",TRUE
"inflammatory","NFKBIA",TRUE
"matrix_activated","POSTN",TRUE
"matrix_activated","COL11A1",TRUE
"matrix_activated","CTHRC1",TRUE
"matrix_activated","TNC",TRUE
"matrix_activated","SERPINE1",TRUE
"matrix_activated","FAP",TRUE
"matrix_activated","SPARC",TRUE
"matrix_activated","COL1A1",TRUE
"matrix_activated","COL1A2",TRUE
"matrix_activated","COL3A1",TRUE
"matrix_activated","FN1",TRUE
"matrix_activated","THBS2",TRUE
"matrix_activated","ACTA2",TRUE
"matrix_activated","TAGLN",TRUE
"matrix_activated","MYL9",TRUE
"pi16_col15","PI16",TRUE
"pi16_col15","COL15A1",TRUE
"pi16_col15","MFAP5",TRUE
"pi16_col15","DPT",TRUE
"pi16_col15","CFD",TRUE
"pi16_col15","COL14A1",TRUE
"pi16_col15","C7",TRUE
"pi16_col15","C3",TRUE
"adventitial","APOD",TRUE
"adventitial","PTGDS",TRUE
"adventitial","CFD",TRUE
"adventitial","C7",TRUE
"adventitial","ABCA8",TRUE
"adventitial","SFRP1",TRUE
"adventitial","COL14A1",TRUE
"adventitial","MGP",TRUE
"stress","FOS",TRUE
"stress","JUN",TRUE
"stress","JUNB",TRUE
"stress","IER2",TRUE
"stress","IER3",TRUE
"stress","DNAJB1",TRUE
"stress","HSPA1A",TRUE
"stress","HSPA1B",TRUE
"stress","HSP90AA1",TRUE
"stress","ATF3",TRUE
"stress","DDIT3",TRUE
"myeloid_contamination","LST1",TRUE
"myeloid_contamination","TYROBP",TRUE
"myeloid_contamination","FCER1G",TRUE
"myeloid_contamination","PTPRC",TRUE
"myeloid_contamination","S100A8",TRUE
"myeloid_contamination","S100A9",TRUE
"epithelial_contamination","EPCAM",TRUE
"epithelial_contamination","KRT8",TRUE
"epithelial_contamination","KRT14",TRUE
"epithelial_contamination","KRT18",TRUE
"epithelial_contamination","KRT19",TRUE
"epithelial_contamination","SFN",TRUE
"endothelial_contamination","PECAM1",TRUE
"endothelial_contamination","VWF",TRUE
"endothelial_contamination","KDR",TRUE
"endothelial_contamination","EMCN",TRUE
"endothelial_contamination","RAMP2",TRUE
"endothelial_contamination","PLVAP",TRUE
"fibroblast_identity","PDGFRA",TRUE
"fibroblast_identity","DCN",TRUE
"fibroblast_identity","LUM",TRUE
"fibroblast_identity","COL1A1",TRUE
"fibroblast_identity","COL1A2",TRUE
"fibroblast_identity","COL3A1",TRUE
"fibroblast_identity","COL6A1",TRUE
"fibroblast_identity","COL6A2",TRUE
