"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.53679195640181e-185,1.84646555023535,0.981,0.6,5.19678867288248e-180,"0","JUND"
2.70752268866616e-182,2.99160957299871,0.863,0.277,1.47538326350796e-177,"0","MTRNR2L12"
2.97927969363894e-164,4.52656681554493,0.649,0.071,1.62346909065773e-159,"0","MTRNR2L1"
8.98841340688427e-159,2.77700638827399,0.888,0.444,4.89796623367938e-154,"0","IER3"
1.97090807991287e-150,0.991057948857208,0.993,0.948,1.07398723090612e-145,"0","TPT1"
2.84103275881389e-143,1.13221053439249,0.998,0.994,1.54813557093286e-138,"0","MT-ATP6"
1.33057152186996e-126,1.56378894962335,0.958,0.72,7.25055033697378e-122,"0","FOSB"
6.55174670162064e-126,2.3256981148372,0.787,0.339,3.57017781264712e-121,"0","C11orf96"
2.86073631297928e-120,1.6838626092903,0.971,0.833,1.55887243166867e-115,"0","NEAT1"
4.12806078168087e-117,3.81555090398371,0.519,0.06,2.24946288115354e-112,"0","MTRNR2L10"
2.66602035334619e-111,1.19745898358283,0.952,0.628,1.45276781094541e-106,"0","CD81"
1.04047715302715e-108,1.31420155218342,0.956,0.704,5.66976810227555e-104,"0","SOD2"
6.30523832050043e-106,2.30099852725608,0.743,0.33,3.43585046560709e-101,"0","MTRNR2L8"
8.33094259598428e-99,0.828662555178052,0.996,0.978,4.53969723940375e-94,"0","MT-ND1"
2.65550021260164e-88,1.61766041102436,0.746,0.353,1.44703517585089e-83,"0","FAM20C"
2.61869256979121e-84,0.728077450802125,0.999,0.999,1.42697795513063e-79,"0","MT-CO3"
2.04093484576563e-80,0.673440650111321,0.998,0.994,1.11214621615461e-75,"0","MT-CYB"
5.57553203481284e-79,1.33105133644577,0.86,0.508,3.03821891641021e-74,"0","TWIST1"
6.5240442184214e-76,1.14073504290574,0.959,0.767,3.55508217550219e-71,"0","HSP90AA1"
1.80434753401473e-73,1.18896327392867,0.883,0.585,9.83225058235308e-69,"0","MCL1"
2.28297494760293e-73,1.62456706502297,0.646,0.282,1.24403870844779e-68,"0","MIDN"
1.84901483938596e-72,1.0659799839325,0.883,0.604,1.0075651662782e-67,"0","YBX3"
2.4990409944666e-71,0.632167787637087,0.998,0.998,1.36177741870474e-66,"0","MT-CO2"
5.68997260709729e-69,3.04948411790774,0.411,0.076,3.10057987305946e-64,"0","NR4A3"
9.20063837412272e-69,0.835051760194423,0.975,0.854,5.01361186282695e-64,"0","LMNA"
7.29897586491568e-66,1.28678462179878,0.807,0.434,3.97735792830985e-61,"0","NR4A1"
8.72953007675687e-66,1.34349271346127,0.633,0.261,4.75689552942635e-61,"0","EVA1B"
7.84970492814179e-65,2.32411408920542,0.465,0.132,4.27746120944303e-60,"0","IER5L"
1.77163910122861e-64,1.41176978756074,0.665,0.321,9.65401579041494e-60,"0","PXDN"
2.32872117376723e-62,0.517682936061544,0.99,0.977,1.26896674200924e-57,"0","RPS12"
3.95317246581599e-62,1.86454758023136,0.423,0.128,2.15416274007245e-57,"0","UBE2S"
1.58784044402553e-61,0.552145274507327,0.967,0.886,8.6524601475839e-57,"0","RPL7A"
1.99605306325367e-61,1.20325361419655,0.772,0.421,1.08768923522819e-56,"0","KLF9"
1.58098332933915e-59,2.06770129210602,0.607,0.265,8.61509435823488e-55,"0","TNFAIP3"
3.33564721509035e-59,1.22088758657731,0.685,0.365,1.81766088044703e-54,"0","IL1R1"
5.04778461770822e-59,1.54299988832067,0.486,0.195,2.75063879388156e-54,"0","JDP2"
6.22826324803238e-59,1.227833491896,0.719,0.384,3.3939052091178e-54,"0","EPAS1"
8.11499410762711e-59,1.49468491736523,0.668,0.32,4.42202258912817e-54,"0","ATF3"
1.08920739142592e-58,1.73873204951358,0.578,0.215,5.93530891735815e-54,"0","MME"
1.98766662281696e-57,0.843364088148373,0.936,0.734,1.08311929610542e-52,"0","CEBPB"
5.96926438973283e-57,1.74440863090325,0.452,0.157,3.25277155125321e-52,"0","RPS4Y1"
2.6178271298933e-56,1.08143776319125,0.786,0.457,1.42650635962146e-51,"0","NAMPT"
2.76512472422773e-56,1.2687589356602,0.775,0.451,1.50677176472617e-51,"0","NFKBIZ"
4.12239455790796e-55,1.59971575907982,0.477,0.178,2.24637524249521e-50,"0","ADM"
2.59439341459989e-54,1.14607421175643,0.637,0.332,1.41373685948377e-49,"0","FNDC3B"
1.86745146321407e-52,1.96647782219251,0.444,0.144,1.01761165133461e-47,"0","TRIB1"
1.3121824100409e-51,2.76556957133381,0.336,0.095,7.15034438879488e-47,"0","CXCL6"
5.36659993773488e-51,0.521662017200034,0.997,0.991,2.92436763807049e-46,"0","VIM"
8.7341336002207e-51,1.92289741647223,0.417,0.139,4.75940408143226e-46,"0","KDM6B"
1.15291001292576e-50,0.80701027432026,0.709,0.403,6.28243724243508e-46,"0","SRRM2"
1.52150992044831e-50,0.753343691330213,0.971,0.874,8.29101185850694e-46,"0","IGFBP4"
3.15288942499534e-50,1.75943361419341,0.529,0.223,1.71807250546846e-45,"0","SERPINE1"
3.30557463557502e-50,1.50432731044129,0.556,0.225,1.80127373041754e-45,"0","METRNL"
3.8050926755637e-50,0.942605607149211,0.736,0.415,2.07347110076817e-45,"0","MRC2"
6.36804876983262e-50,0.693640273678779,0.942,0.778,3.47007713565719e-45,"0","NNMT"
1.12381807502639e-49,0.994973783883328,0.819,0.504,6.12390945443383e-45,"0","PDGFRB"
3.74143288057865e-49,0.69750546173548,0.88,0.545,2.03878160528492e-44,"0","GNAS"
1.44533130082e-48,1.29143577725783,0.471,0.198,7.87589932442832e-44,"0","CYP7B1"
3.75995215289073e-48,2.13331215849782,0.484,0.175,2.04887312715322e-43,"0","PAPPA"
3.27024165135164e-47,0.592781689464983,0.944,0.796,1.78202008065453e-42,"0","DDX5"
4.52366933997168e-47,1.22239961760644,0.543,0.242,2.46503789673737e-42,"0","SLC39A14"
5.07443552785534e-47,1.25136661199046,0.602,0.319,2.76516140783893e-42,"0","CXCL1"
5.60858098546744e-47,0.931195633423162,0.791,0.508,3.05622795060092e-42,"0","SQSTM1"
1.50971634553843e-46,0.982767448688197,0.723,0.423,8.22674631010801e-42,"0","PRSS12"
5.10920115540091e-46,2.12242439358658,0.455,0.17,2.78410589360106e-41,"0","PTGS2"
2.85807450086063e-45,1.50680292210639,0.46,0.176,1.55742195700897e-40,"0","TSPAN11"
4.71365112191761e-45,0.593542019035414,0.969,0.86,2.56856276935535e-40,"0","UBC"
1.31945877604625e-44,0.734205035964158,0.94,0.716,7.18999476243123e-40,"0","EGR1"
1.76545081005135e-44,0.855369274256569,0.659,0.364,9.62029455413182e-40,"0","GNAI2"
2.89303583856252e-44,1.3286275462394,0.565,0.252,1.57647308914949e-39,"0","TUBB4B"
2.9695183755204e-44,1.01820532965101,0.63,0.357,1.61814995318858e-39,"0","HIF1A"
6.68539387086383e-44,0.663774881796848,0.899,0.668,3.64300482811112e-39,"0","NFKBIA"
1.06234635363058e-43,0.513503544652639,0.999,0.998,5.78893775020377e-39,"0","MT-CO1"
1.8811402858662e-43,1.13045913989734,0.538,0.27,1.02507096457421e-38,"0","PSD3"
2.3683149191047e-43,1.05610773595102,0.696,0.356,1.29054216571853e-38,"0","PRRX2"
6.86663561169655e-43,1.72112722147129,0.41,0.143,3.74176707752569e-38,"0","IER5"
1.00146620065415e-42,0.963586637209004,0.479,0.246,5.45718962060457e-38,"0","AFF4"
1.69230603620681e-42,0.832446257833776,0.881,0.641,9.22171405249815e-38,"0","IGFBP2"
