"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_gap"
1.80718239946213e-36,4.54580019973788,0.175,0.007,9.84769833114904e-32,"0","MTRNR2L6",0.168
2.97927969363894e-164,4.52656681554493,0.649,0.071,1.62346909065773e-159,"0","MTRNR2L1",0.578
4.12806078168087e-117,3.81555090398371,0.519,0.06,2.24946288115354e-112,"0","MTRNR2L10",0.459
5.68997260709729e-69,3.04948411790774,0.411,0.076,3.10057987305946e-64,"0","NR4A3",0.335
2.70752268866616e-182,2.99160957299871,0.863,0.277,1.47538326350796e-177,"0","MTRNR2L12",0.586
4.33568986433897e-31,2.88148618417286,0.223,0.047,2.36260412087559e-26,"0","SAA1",0.176
8.98841340688427e-159,2.77700638827399,0.888,0.444,4.89796623367938e-154,"0","IER3",0.444
1.3121824100409e-51,2.76556957133381,0.336,0.095,7.15034438879488e-47,"0","CXCL6",0.241
1.35492902123681e-39,2.58185501297846,0.334,0.111,7.38327922252364e-35,"0","RRAD",0.223
6.55174670162064e-126,2.3256981148372,0.787,0.339,3.57017781264712e-121,"0","C11orf96",0.448
7.84970492814179e-65,2.32411408920542,0.465,0.132,4.27746120944303e-60,"0","IER5L",0.333
6.30523832050043e-106,2.30099852725608,0.743,0.33,3.43585046560709e-101,"0","MTRNR2L8",0.413
3.75995215289073e-48,2.13331215849782,0.484,0.175,2.04887312715322e-43,"0","PAPPA",0.309
5.10920115540091e-46,2.12242439358658,0.455,0.17,2.78410589360106e-41,"0","PTGS2",0.285
8.47536762511363e-38,2.11685683047281,0.301,0.085,4.61839732627692e-33,"0","EGR3",0.216
1.10179038780538e-22,2.1162443285006,0.244,0.093,6.00387618122906e-18,"0","IL24",0.151
9.83583259958737e-25,2.07308207112718,0.204,0.054,5.35974190016715e-20,"0","EDNRB",0.15
1.58098332933915e-59,2.06770129210602,0.607,0.265,8.61509435823488e-55,"0","TNFAIP3",0.342
1.14191753151502e-24,1.98667564955111,0.217,0.055,6.22253701273164e-20,"0","NFATC1",0.162
4.87367026956866e-24,1.980378136708,0.236,0.085,2.65576040329335e-19,"0","CD14",0.151
1.86745146321407e-52,1.96647782219251,0.444,0.144,1.01761165133461e-47,"0","TRIB1",0.3
8.7341336002207e-51,1.92289741647223,0.417,0.139,4.75940408143226e-46,"0","KDM6B",0.278
3.48339655948533e-30,1.89873354886246,0.303,0.087,1.89817245319474e-25,"0","MAFK",0.216
3.95317246581599e-62,1.86454758023136,0.423,0.128,2.15416274007245e-57,"0","UBE2S",0.295
9.53679195640181e-185,1.84646555023535,0.981,0.6,5.19678867288248e-180,"0","JUND",0.381
3.38507986897221e-25,1.80778947090075,0.272,0.111,1.84459772220034e-20,"0","CXCL8",0.161
1.31041200252791e-30,1.76035905699751,0.23,0.063,7.14069708417509e-26,"0","CDR1-AS",0.167
3.15288942499534e-50,1.75943361419341,0.529,0.223,1.71807250546846e-45,"0","SERPINE1",0.306
5.96926438973283e-57,1.74440863090325,0.452,0.157,3.25277155125321e-52,"0","RPS4Y1",0.295
2.86213654563954e-32,1.74274854415589,0.234,0.06,1.5596354464499e-27,"0","HNRNPU-AS1",0.174
1.72990655763325e-54,2.70484600637492,0.436,0.15,9.42660681385512e-50,"1","CRTAC1",0.286
9.52583060847171e-172,2.33732647234183,0.941,0.447,5.1908156151684e-167,"1","FDCSP",0.494
4.94409613437424e-74,2.06881181524118,0.653,0.288,2.69413686554321e-69,"1","IFITM1",0.365
3.30130407574635e-44,1.64750121571832,0.572,0.304,1.7989466169557e-39,"1","S100A8",0.268
3.13481786526224e-44,1.58109262432679,0.555,0.23,1.7082249511387e-39,"1","AC090498.1",0.325
3.70341298558325e-52,1.48083369765322,0.568,0.273,2.01806380410403e-47,"1","CRIP1",0.295
6.45939426959084e-66,1.41168697852449,0.708,0.444,3.51985312538544e-61,"1","IFI27",0.264
7.69525753063231e-51,1.39715489137114,0.614,0.354,4.19329973359216e-46,"1","MIF",0.26
