"cluster_primary","n_cells","n_samples","n_datasets","n_cohorts","max_dataset_fraction","max_cohort_fraction","max_sample_fraction","NC_fraction","PD_fraction","median_percent_mt","median_nFeature_RNA","median_S_score","median_G2M_score","program_inflammatory1_z","program_inflammatory_z","program_matrix_activated1_z","program_matrix_activated_z","program_pi16_col151_z","program_pi16_col15_z","program_adventitial1_z","program_adventitial_z","program_stress1_z","program_stress_z","program_myeloid_contamination1_z","program_myeloid_contamination_z","program_epithelial_contamination1_z","program_epithelial_contamination_z","program_endothelial_contamination1_z","program_endothelial_contamination_z","program_fibroblast_identity1_z","program_fibroblast_identity_z","dominant_program","program_margin","preliminary_state","annotation_confidence"
"0",4728,20,3,4,0.997673434856176,0.508037225042301,0.236675126903553,0.0941201353637902,0.90587986463621,7.56211572278413,2122,-0.0104792516714266,-0.0207593605143601,0.397424831897048,0.397424831897048,-0.00204122593097196,-0.00204122593097196,-0.0413589828808204,-0.0413589828808204,0.0264247314214657,0.0264247314214657,0.620139403545473,0.620139403545473,-0.445578446982368,-0.445578446982368,-0.377313899350402,-0.377313899350402,-0.202279787650301,-0.202279787650301,-0.10576492324761,-0.10576492324761,"inflammatory",0.371000100475583,"Inflammatory-like","Low: dataset-limited"
"1",4616,23,3,4,0.998266897746967,0.988734835355286,0.56607452339688,0.981152512998267,0.0188474870017331,3.55806083872142,1304,-0.0153748509923275,-0.0261739607616686,0.186404371153822,0.186404371153822,0.432167335682114,0.432167335682114,-0.380155671647062,-0.380155671647062,-0.53625500084503,-0.53625500084503,-0.200915413167083,-0.200915413167083,0.514912667333192,0.514912667333192,0.343386479683716,0.343386479683716,0.198975653345031,0.198975653345031,0.468908783306944,0.468908783306944,"matrix_activated",0.245762964528292,"Matrix-activated-like","Low: sample-dominated"
"2",2928,26,3,4,0.997267759562842,0.967554644808743,0.226092896174863,0.974726775956284,0.0252732240437158,4.64663621565794,1043,-0.0132409657707416,-0.0247564161895978,-0.460844926551961,-0.460844926551961,-0.737874133390842,-0.737874133390842,0.251736617669926,0.251736617669926,0.555866612541841,0.555866612541841,-0.37248656586845,-0.37248656586845,0.261848651723002,0.261848651723002,0.284481922414021,0.284481922414021,0.148573449194883,0.148573449194883,-0.447745907782805,-0.447745907782805,"adventitial",0.304129994871915,"Adventitial-like","Low: dataset-limited"
"3",1297,20,3,4,0.855050115651503,0.855050115651503,0.246723207401696,0.438704703161141,0.561295296838859,11.6578599735799,1886,-0.0155680384607538,-0.016336728015868,-0.450155680918573,-0.450155680918573,1.51978940861204,1.51978940861204,0.134154217967747,0.134154217967747,-0.0622444796292605,-0.0622444796292605,-0.35283243690793,-0.35283243690793,-0.348906349486932,-0.348906349486932,-0.4352806724802,-0.4352806724802,-0.283933779999894,-0.283933779999894,0.990037171287959,0.990037171287959,"matrix_activated",1.3856351906443,"Matrix-activated-like","Moderate"
"4",947,4,1,1,1,1,0.485744456177402,0.421330517423442,0.578669482576558,5.74606116774791,3140,-0.0102925271015977,-0.0112470992587309,-0.188176962778928,-0.188176962778928,-0.107031687372218,-0.107031687372218,0.00453072610948707,0.00453072610948707,0.347930783928522,0.347930783928522,0.12725368981928,0.12725368981928,-0.772665092546112,-0.772665092546112,-0.249172273175853,-0.249172273175853,-0.421168533034994,-0.421168533034994,0.19514802981699,0.19514802981699,"adventitial",0.343400057819034,"Adventitial-like","Low: dataset-limited"
"5",896,15,2,3,0.998883928571429,0.994419642857143,0.8828125,0.988839285714286,0.0111607142857143,3.13696704391772,1488.5,-0.015110773633568,-0.0250689594151079,1.02384408881691,1.02384408881691,-0.589599171052059,-0.589599171052059,-0.368073981332973,-0.368073981332973,-0.157305858420385,-0.157305858420385,0.293558564609217,0.293558564609217,0.330471691898043,0.330471691898043,0.302003624945585,0.302003624945585,-0.0208678224445424,-0.0208678224445424,-0.710081365762663,-0.710081365762663,"inflammatory",1.1811499472373,"Inflammatory-like","Low: sample-dominated"
"6",844,13,2,3,0.994075829383886,0.95260663507109,0.710900473933649,0.825829383886256,0.174170616113744,6.97638471883809,2793.5,-0.0103448447192911,-0.01921945316627,-0.687884684200801,-0.687884684200801,0.172504300128565,0.172504300128565,0.0857410387998706,0.0857410387998706,0.0847094819001095,0.0847094819001095,-0.238481594970164,-0.238481594970164,-0.670767805105433,-0.670767805105433,-0.287936694531565,-0.287936694531565,-0.20467415853007,-0.20467415853007,0.480685982771321,0.480685982771321,"matrix_activated",0.0867632613286943,"Matrix-activated-like","Low: sample-dominated"
"7",723,14,2,3,0.798063623789765,0.641770401106501,0.325034578146611,0.883817427385892,0.116182572614108,8.58024691358025,1306,-0.022910045816271,-0.0176652560977459,-0.891707029291132,-0.891707029291132,-1.15320495822249,-1.15320495822249,2.50070750770395,2.50070750770395,1.32941886883059,1.32941886883059,-0.196059484698429,-0.196059484698429,-0.20894300491672,-0.20894300491672,-0.193280873338477,-0.193280873338477,0.805811471616265,0.805811471616265,-1.36675442360319,-1.36675442360319,"pi16_col15",1.17128863887336,"PI16/COL15A1-like","Moderate"
"8",555,8,1,2,1,0.998198198198198,0.94954954954955,0.998198198198198,0.0018018018018018,3.39668418924383,2167,-0.00843445460682039,-0.0263178899428472,-0.381981677357278,-0.381981677357278,0.271806866600566,0.271806866600566,-0.609873884540439,-0.609873884540439,-0.82579622548131,-0.82579622548131,-0.835466910555216,-0.835466910555216,-0.455796400623301,-0.455796400623301,-0.276703631964856,-0.276703631964856,0.0492705299808701,0.0492705299808701,0.535856873894224,0.535856873894224,"matrix_activated",0.653788543957845,"Matrix-activated-like","Low: sample-dominated"
"9",459,22,3,4,0.991285403050109,0.568627450980392,0.169934640522876,0.655773420479303,0.344226579520697,5.19757920968316,1742,-0.0111811803473729,-0.013294387894449,-0.101892584111787,-0.101892584111787,-0.640764030228407,-0.640764030228407,-0.140516898518559,-0.140516898518559,-0.0340274643156198,-0.0340274643156198,0.0326081244640626,0.0326081244640626,0.941678689599334,0.941678689599334,0.187340328743736,0.187340328743736,-0.109237538575751,-0.109237538575751,-0.945405573104868,-0.945405573104868,"adventitial",0.0678651197961674,"Adventitial-like","Low: dataset-limited"
