"cluster_primary","dataset","n","fraction_within_cluster"
"0","GSE152042",9,0.00190355329949239
"0","GSE164241",4717,0.997673434856176
"0","GSE171213",2,0.000423011844331641
"1","GSE152042",2,0.000433275563258232
"1","GSE164241",4608,0.998266897746967
"1","GSE171213",6,0.0012998266897747
"2","GSE152042",4,0.00136612021857923
"2","GSE164241",2920,0.997267759562842
"2","GSE171213",4,0.00136612021857923
"3","GSE152042",3,0.0023130300693909
"3","GSE164241",185,0.142636854279106
"3","GSE171213",1109,0.855050115651503
"4","GSE152042",947,1
"5","GSE152042",1,0.00111607142857143
"5","GSE164241",895,0.998883928571429
"6","GSE152042",5,0.00592417061611374
"6","GSE164241",839,0.994075829383886
"7","GSE164241",577,0.798063623789765
"7","GSE171213",146,0.201936376210235
"8","GSE164241",555,1
"9","GSE152042",2,0.00435729847494553
"9","GSE164241",455,0.991285403050109
"9","GSE171213",2,0.00435729847494553
"10","GSE164241",426,1
"11","GSE152042",5,0.031055900621118
"11","GSE164241",156,0.968944099378882
