"cluster_primary","dataset","cohort","group","sample","n"
"0","GSE152042","GSM460_cohort","NC","GSM4600897",7
"0","GSE152042","GSM460_cohort","PD","GSM4600899",2
"0","GSE164241","GSM500_cohort","NC","GSM5005051",1
"0","GSE164241","GSM500_cohort","NC","GSM5005052",6
"0","GSE164241","GSM500_cohort","NC","GSM5005055",1
"0","GSE164241","GSM500_cohort","NC","GSM5005056",2
"0","GSE164241","GSM500_cohort","NC","GSM5005057",1
"0","GSE164241","GSM500_cohort","PD","GSM5005058",128
"0","GSE164241","GSM500_cohort","PD","GSM5005059",421
"0","GSE164241","GSM500_cohort","PD","GSM5005060",72
"0","GSE164241","GSM500_cohort","PD","GSM5005061",1022
"0","GSE164241","GSM500_cohort","PD","GSM5005062",661
"0","GSE164241","GSM517_cohort","NC","GSM5177039",183
"0","GSE164241","GSM517_cohort","NC","GSM5177040",70
"0","GSE164241","GSM517_cohort","NC","GSM5177041",173
"0","GSE164241","GSM517_cohort","PD","GSM5177042",417
"0","GSE164241","GSM517_cohort","PD","GSM5177043",1119
"0","GSE164241","GSM517_cohort","PD","GSM5177044",440
"0","GSE171213","GSM522_cohort","NC","GSM5220920",1
"0","GSE171213","GSM522_cohort","PD","GSM5220924",1
"1","GSE152042","GSM460_cohort","PD","GSM4600898",2
"1","GSE164241","GSM500_cohort","NC","GSM5005048",32
"1","GSE164241","GSM500_cohort","NC","GSM5005049",124
"1","GSE164241","GSM500_cohort","NC","GSM5005050",112
"1","GSE164241","GSM500_cohort","NC","GSM5005051",155
"1","GSE164241","GSM500_cohort","NC","GSM5005052",2613
"1","GSE164241","GSM500_cohort","NC","GSM5005053",84
"1","GSE164241","GSM500_cohort","NC","GSM5005055",205
"1","GSE164241","GSM500_cohort","NC","GSM5005056",13
"1","GSE164241","GSM500_cohort","NC","GSM5005057",1167
"1","GSE164241","GSM500_cohort","PD","GSM5005058",43
"1","GSE164241","GSM500_cohort","PD","GSM5005059",2
"1","GSE164241","GSM500_cohort","PD","GSM5005060",4
"1","GSE164241","GSM500_cohort","PD","GSM5005061",10
"1","GSE164241","GSM517_cohort","NC","GSM5177039",14
"1","GSE164241","GSM517_cohort","NC","GSM5177040",5
"1","GSE164241","GSM517_cohort","PD","GSM5177042",2
"1","GSE164241","GSM517_cohort","PD","GSM5177043",8
"1","GSE164241","GSM517_cohort","PD","GSM5177044",15
"1","GSE171213","GSM522_cohort","NC","GSM5220920",1
"1","GSE171213","GSM522_cohort","NC","GSM5220921",1
"1","GSE171213","GSM522_cohort","NC","GSM5220922",3
"1","GSE171213","GSM522_cohort","PD","GSM5220926",1
"2","GSE152042","GSM460_cohort","NC","GSM4600897",2
"2","GSE152042","GSM460_cohort","PD","GSM4600898",1
"2","GSE152042","GSM460_cohort","PD","GSM4600899",1
"2","GSE164241","GSM500_cohort","NC","GSM5005048",53
"2","GSE164241","GSM500_cohort","NC","GSM5005049",135
"2","GSE164241","GSM500_cohort","NC","GSM5005050",89
"2","GSE164241","GSM500_cohort","NC","GSM5005051",242
"2","GSE164241","GSM500_cohort","NC","GSM5005052",161
"2","GSE164241","GSM500_cohort","NC","GSM5005053",662
"2","GSE164241","GSM500_cohort","NC","GSM5005054",133
"2","GSE164241","GSM500_cohort","NC","GSM5005055",512
"2","GSE164241","GSM500_cohort","NC","GSM5005056",335
"2","GSE164241","GSM500_cohort","NC","GSM5005057",478
"2","GSE164241","GSM500_cohort","PD","GSM5005058",17
"2","GSE164241","GSM500_cohort","PD","GSM5005060",3
"2","GSE164241","GSM500_cohort","PD","GSM5005061",11
"2","GSE164241","GSM500_cohort","PD","GSM5005062",2
"2","GSE164241","GSM517_cohort","NC","GSM5177039",33
"2","GSE164241","GSM517_cohort","NC","GSM5177040",6
"2","GSE164241","GSM517_cohort","NC","GSM5177041",10
"2","GSE164241","GSM517_cohort","PD","GSM5177042",8
"2","GSE164241","GSM517_cohort","PD","GSM5177043",26
"2","GSE164241","GSM517_cohort","PD","GSM5177044",4
"2","GSE171213","GSM522_cohort","NC","GSM5220920",1
"2","GSE171213","GSM522_cohort","NC","GSM5220921",2
"2","GSE171213","GSM522_cohort","PD","GSM5220924",1
"3","GSE152042","GSM460_cohort","NC","GSM4600897",3
"3","GSE164241","GSM500_cohort","NC","GSM5005048",1
"3","GSE164241","GSM500_cohort","NC","GSM5005055",1
"3","GSE164241","GSM500_cohort","PD","GSM5005061",31
"3","GSE164241","GSM500_cohort","PD","GSM5005062",2
"3","GSE164241","GSM517_cohort","NC","GSM5177039",16
"3","GSE164241","GSM517_cohort","NC","GSM5177040",15
"3","GSE164241","GSM517_cohort","NC","GSM5177041",7
"3","GSE164241","GSM517_cohort","PD","GSM5177042",9
"3","GSE164241","GSM517_cohort","PD","GSM5177043",89
"3","GSE164241","GSM517_cohort","PD","GSM5177044",14
"3","GSE171213","GSM522_cohort","NC","GSM5220920",124
"3","GSE171213","GSM522_cohort","NC","GSM5220921",37
"3","GSE171213","GSM522_cohort","NC","GSM5220922",320
"3","GSE171213","GSM522_cohort","NC","GSM5220923",45
"3","GSE171213","GSM522_cohort","PD","GSM5220924",266
"3","GSE171213","GSM522_cohort","PD","GSM5220925",143
"3","GSE171213","GSM522_cohort","PD","GSM5220926",97
"3","GSE171213","GSM522_cohort","PD","GSM5220927",2
"3","GSE171213","GSM522_cohort","PD","GSM5220928",75
"4","GSE152042","GSM460_cohort","NC","GSM4600896",40
"4","GSE152042","GSM460_cohort","NC","GSM4600897",359
"4","GSE152042","GSM460_cohort","PD","GSM4600898",460
"4","GSE152042","GSM460_cohort","PD","GSM4600899",88
"5","GSE152042","GSM460_cohort","PD","GSM4600898",1
"5","GSE164241","GSM500_cohort","NC","GSM5005048",6
"5","GSE164241","GSM500_cohort","NC","GSM5005049",22
"5","GSE164241","GSM500_cohort","NC","GSM5005050",4
"5","GSE164241","GSM500_cohort","NC","GSM5005051",12
"5","GSE164241","GSM500_cohort","NC","GSM5005052",30
"5","GSE164241","GSM500_cohort","NC","GSM5005053",12
