"sample","state","n","group","dataset","cohort","total_fibro","proportion"
"GSM5220920","Adventitial-like",1,"NC","GSE171213","GSM522_cohort",127,0.0078740157480315
"GSM5220920","Inflammatory-like",1,"NC","GSE171213","GSM522_cohort",127,0.0078740157480315
"GSM5220920","Matrix-activated-like",125,"NC","GSE171213","GSM522_cohort",127,0.984251968503937
"GSM5220920","PI16/COL15A1-like",0,"NC","GSE171213","GSM522_cohort",127,0
"GSM5220921","Adventitial-like",2,"NC","GSE171213","GSM522_cohort",40,0.05
"GSM5220921","Inflammatory-like",0,"NC","GSE171213","GSM522_cohort",40,0
"GSM5220921","Matrix-activated-like",38,"NC","GSE171213","GSM522_cohort",40,0.95
"GSM5220921","PI16/COL15A1-like",0,"NC","GSE171213","GSM522_cohort",40,0
"GSM5220922","Adventitial-like",0,"NC","GSE171213","GSM522_cohort",323,0
"GSM5220922","Inflammatory-like",0,"NC","GSE171213","GSM522_cohort",323,0
"GSM5220922","Matrix-activated-like",323,"NC","GSE171213","GSM522_cohort",323,1
"GSM5220922","PI16/COL15A1-like",0,"NC","GSE171213","GSM522_cohort",323,0
"GSM5220923","Adventitial-like",0,"NC","GSE171213","GSM522_cohort",110,0
"GSM5220923","Inflammatory-like",0,"NC","GSE171213","GSM522_cohort",110,0
"GSM5220923","Matrix-activated-like",45,"NC","GSE171213","GSM522_cohort",110,0.409090909090909
"GSM5220923","PI16/COL15A1-like",65,"NC","GSE171213","GSM522_cohort",110,0.590909090909091
"GSM5220924","Adventitial-like",1,"PD","GSE171213","GSM522_cohort",268,0.00373134328358209
"GSM5220924","Inflammatory-like",1,"PD","GSE171213","GSM522_cohort",268,0.00373134328358209
"GSM5220924","Matrix-activated-like",266,"PD","GSE171213","GSM522_cohort",268,0.992537313432836
"GSM5220924","PI16/COL15A1-like",0,"PD","GSE171213","GSM522_cohort",268,0
"GSM5220925","Adventitial-like",1,"PD","GSE171213","GSM522_cohort",144,0.00694444444444444
"GSM5220925","Inflammatory-like",0,"PD","GSE171213","GSM522_cohort",144,0
"GSM5220925","Matrix-activated-like",143,"PD","GSE171213","GSM522_cohort",144,0.993055555555556
"GSM5220925","PI16/COL15A1-like",0,"PD","GSE171213","GSM522_cohort",144,0
"GSM5220926","Adventitial-like",0,"PD","GSE171213","GSM522_cohort",172,0
"GSM5220926","Inflammatory-like",0,"PD","GSE171213","GSM522_cohort",172,0
"GSM5220926","Matrix-activated-like",98,"PD","GSE171213","GSM522_cohort",172,0.569767441860465
"GSM5220926","PI16/COL15A1-like",74,"PD","GSE171213","GSM522_cohort",172,0.430232558139535
"GSM5220927","Adventitial-like",0,"PD","GSE171213","GSM522_cohort",6,0
"GSM5220927","Inflammatory-like",0,"PD","GSE171213","GSM522_cohort",6,0
"GSM5220927","Matrix-activated-like",2,"PD","GSE171213","GSM522_cohort",6,0.333333333333333
"GSM5220927","PI16/COL15A1-like",4,"PD","GSE171213","GSM522_cohort",6,0.666666666666667
"GSM5220928","Adventitial-like",1,"PD","GSE171213","GSM522_cohort",79,0.0126582278481013
"GSM5220928","Inflammatory-like",0,"PD","GSE171213","GSM522_cohort",79,0
"GSM5220928","Matrix-activated-like",75,"PD","GSE171213","GSM522_cohort",79,0.949367088607595
"GSM5220928","PI16/COL15A1-like",3,"PD","GSE171213","GSM522_cohort",79,0.0379746835443038
"GSM5005048","Adventitial-like",56,"NC","GSE164241","GSM500_cohort",622,0.090032154340836
"GSM5005048","Inflammatory-like",6,"NC","GSE164241","GSM500_cohort",622,0.00964630225080386
"GSM5005048","Matrix-activated-like",560,"NC","GSE164241","GSM500_cohort",622,0.90032154340836
"GSM5005048","PI16/COL15A1-like",0,"NC","GSE164241","GSM500_cohort",622,0
"GSM5005049","Adventitial-like",138,"NC","GSE164241","GSM500_cohort",295,0.467796610169492
"GSM5005049","Inflammatory-like",22,"NC","GSE164241","GSM500_cohort",295,0.0745762711864407
"GSM5005049","Matrix-activated-like",134,"NC","GSE164241","GSM500_cohort",295,0.454237288135593
"GSM5005049","PI16/COL15A1-like",1,"NC","GSE164241","GSM500_cohort",295,0.00338983050847458
"GSM5005050","Adventitial-like",90,"NC","GSE164241","GSM500_cohort",217,0.414746543778802
"GSM5005050","Inflammatory-like",4,"NC","GSE164241","GSM500_cohort",217,0.0184331797235023
"GSM5005050","Matrix-activated-like",123,"NC","GSE164241","GSM500_cohort",217,0.566820276497696
"GSM5005050","PI16/COL15A1-like",0,"NC","GSE164241","GSM500_cohort",217,0
"GSM5005051","Adventitial-like",242,"NC","GSE164241","GSM500_cohort",410,0.590243902439024
"GSM5005051","Inflammatory-like",13,"NC","GSE164241","GSM500_cohort",410,0.0317073170731707
"GSM5005051","Matrix-activated-like",155,"NC","GSE164241","GSM500_cohort",410,0.378048780487805
"GSM5005051","PI16/COL15A1-like",0,"NC","GSE164241","GSM500_cohort",410,0
"GSM5005052","Adventitial-like",199,"NC","GSE164241","GSM500_cohort",2855,0.0697022767075307
"GSM5005052","Inflammatory-like",38,"NC","GSE164241","GSM500_cohort",2855,0.0133099824868651
"GSM5005052","Matrix-activated-like",2618,"NC","GSE164241","GSM500_cohort",2855,0.916987740805604
"GSM5005052","PI16/COL15A1-like",0,"NC","GSE164241","GSM500_cohort",2855,0
"GSM5005053","Adventitial-like",678,"NC","GSE164241","GSM500_cohort",783,0.865900383141762
"GSM5005053","Inflammatory-like",17,"NC","GSE164241","GSM500_cohort",783,0.0217113665389527
"GSM5005053","Matrix-activated-like",86,"NC","GSE164241","GSM500_cohort",783,0.109833971902937
"GSM5005053","PI16/COL15A1-like",2,"NC","GSE164241","GSM500_cohort",783,0.00255427841634738
"GSM5005054","Adventitial-like",137,"NC","GSE164241","GSM500_cohort",361,0.379501385041551
"GSM5005054","Inflammatory-like",0,"NC","GSE164241","GSM500_cohort",361,0
"GSM5005054","Matrix-activated-like",0,"NC","GSE164241","GSM500_cohort",361,0
"GSM5005054","PI16/COL15A1-like",224,"NC","GSE164241","GSM500_cohort",361,0.620498614958449
"GSM5005055","Adventitial-like",586,"NC","GSE164241","GSM500_cohort",1589,0.368785399622404
"GSM5005055","Inflammatory-like",796,"NC","GSE164241","GSM500_cohort",1589,0.500943989930774
"GSM5005055","Matrix-activated-like",206,"NC","GSE164241","GSM500_cohort",1589,0.129641283826306
"GSM5005055","PI16/COL15A1-like",1,"NC","GSE164241","GSM500_cohort",1589,0.000629326620516048
"GSM5005056","Adventitial-like",364,"NC","GSE164241","GSM500_cohort",618,0.588996763754045
"GSM5005056","Inflammatory-like",6,"NC","GSE164241","GSM500_cohort",618,0.00970873786407767
"GSM5005056","Matrix-activated-like",13,"NC","GSE164241","GSM500_cohort",618,0.0210355987055016
"GSM5005056","PI16/COL15A1-like",235,"NC","GSE164241","GSM500_cohort",618,0.380258899676375
"GSM5005057","Adventitial-like",531,"NC","GSE164241","GSM500_cohort",1710,0.310526315789474
"GSM5005057","Inflammatory-like",9,"NC","GSE164241","GSM500_cohort",1710,0.00526315789473684
"GSM5005057","Matrix-activated-like",1170,"NC","GSE164241","GSM500_cohort",1710,0.684210526315789
"GSM5005057","PI16/COL15A1-like",0,"NC","GSE164241","GSM500_cohort",1710,0
"GSM5005058","Adventitial-like",22,"PD","GSE164241","GSM500_cohort",200,0.11
"GSM5005058","Inflammatory-like",134,"PD","GSE164241","GSM500_cohort",200,0.67
"GSM5005058","Matrix-activated-like",44,"PD","GSE164241","GSM500_cohort",200,0.22
"GSM5005058","PI16/COL15A1-like",0,"PD","GSE164241","GSM500_cohort",200,0
"GSM5005059","Adventitial-like",1,"PD","GSE164241","GSM500_cohort",428,0.00233644859813084
"GSM5005059","Inflammatory-like",421,"PD","GSE164241","GSM500_cohort",428,0.983644859813084
"GSM5005059","Matrix-activated-like",6,"PD","GSE164241","GSM500_cohort",428,0.014018691588785
"GSM5005059","PI16/COL15A1-like",0,"PD","GSE164241","GSM500_cohort",428,0
"GSM5005060","Adventitial-like",10,"PD","GSE164241","GSM500_cohort",97,0.103092783505155
"GSM5005060","Inflammatory-like",73,"PD","GSE164241","GSM500_cohort",97,0.752577319587629
"GSM5005060","Matrix-activated-like",14,"PD","GSE164241","GSM500_cohort",97,0.144329896907216
"GSM5005060","PI16/COL15A1-like",0,"PD","GSE164241","GSM500_cohort",97,0
"GSM5005061","Adventitial-like",33,"PD","GSE164241","GSM500_cohort",1122,0.0294117647058824
"GSM5005061","Inflammatory-like",1035,"PD","GSE164241","GSM500_cohort",1122,0.922459893048128
"GSM5005061","Matrix-activated-like",53,"PD","GSE164241","GSM500_cohort",1122,0.0472370766488414
"GSM5005061","PI16/COL15A1-like",1,"PD","GSE164241","GSM500_cohort",1122,0.00089126559714795
"GSM5005062","Adventitial-like",26,"PD","GSE164241","GSM500_cohort",716,0.0363128491620112
"GSM5005062","Inflammatory-like",684,"PD","GSE164241","GSM500_cohort",716,0.955307262569832
"GSM5005062","Matrix-activated-like",6,"PD","GSE164241","GSM500_cohort",716,0.00837988826815642
"GSM5005062","PI16/COL15A1-like",0,"PD","GSE164241","GSM500_cohort",716,0
"GSM5177039","Adventitial-like",43,"NC","GSE164241","GSM517_cohort",860,0.05
"GSM5177039","Inflammatory-like",185,"NC","GSE164241","GSM517_cohort",860,0.215116279069767
"GSM5177039","Matrix-activated-like",631,"NC","GSE164241","GSM517_cohort",860,0.733720930232558
"GSM5177039","PI16/COL15A1-like",1,"NC","GSE164241","GSM517_cohort",860,0.00116279069767442
"GSM5177040","Adventitial-like",457,"NC","GSE164241","GSM517_cohort",597,0.765494137353434
"GSM5177040","Inflammatory-like",73,"NC","GSE164241","GSM517_cohort",597,0.122278056951424
"GSM5177040","Matrix-activated-like",46,"NC","GSE164241","GSM517_cohort",597,0.0770519262981574
"GSM5177040","PI16/COL15A1-like",21,"NC","GSE164241","GSM517_cohort",597,0.0351758793969849
"GSM5177041","Adventitial-like",43,"NC","GSE164241","GSM517_cohort",396,0.108585858585859
"GSM5177041","Inflammatory-like",196,"NC","GSE164241","GSM517_cohort",396,0.494949494949495
"GSM5177041","Matrix-activated-like",68,"NC","GSE164241","GSM517_cohort",396,0.171717171717172
"GSM5177041","PI16/COL15A1-like",89,"NC","GSE164241","GSM517_cohort",396,0.224747474747475
"GSM5177042","Adventitial-like",21,"PD","GSE164241","GSM517_cohort",466,0.0450643776824034
"GSM5177042","Inflammatory-like",432,"PD","GSE164241","GSM517_cohort",466,0.927038626609442
"GSM5177042","Matrix-activated-like",13,"PD","GSE164241","GSM517_cohort",466,0.0278969957081545
"GSM5177042","PI16/COL15A1-like",0,"PD","GSE164241","GSM517_cohort",466,0
"GSM5177043","Adventitial-like",106,"PD","GSE164241","GSM517_cohort",1450,0.0731034482758621
"GSM5177043","Inflammatory-like",1148,"PD","GSE164241","GSM517_cohort",1450,0.791724137931034
"GSM5177043","Matrix-activated-like",194,"PD","GSE164241","GSM517_cohort",1450,0.133793103448276
"GSM5177043","PI16/COL15A1-like",2,"PD","GSE164241","GSM517_cohort",1450,0.00137931034482759
"GSM5177044","Adventitial-like",18,"PD","GSE164241","GSM517_cohort",541,0.033271719038817
"GSM5177044","Inflammatory-like",476,"PD","GSE164241","GSM517_cohort",541,0.879852125693161
"GSM5177044","Matrix-activated-like",47,"PD","GSE164241","GSM517_cohort",541,0.0868761552680222
"GSM5177044","PI16/COL15A1-like",0,"PD","GSE164241","GSM517_cohort",541,0
