"state","transformed_effect","average_transformed_proportion","t","p_value","FDR","B","mean_proportion_NC","mean_proportion_PD","median_proportion_NC","median_proportion_PD","n_samples_NC","n_samples_PD","subset","formula","n_samples_total"
"Adventitial-like",-0.27408112481037,0.476073732967207,-2.5941568522757,0.0109380501202966,0.0218761002405932,-3.4684070613668,0.35520607098763,0.16975323018831,0.368785399622404,0.0347922841004141,17,14,"All cohorts; minimum 50 fibroblasts/sample","~ cohort + group",31
"Inflammatory-like",0.611953981470048,0.446662368993539,5.58890508285055,2.06228401534629e-07,8.24913606138518e-07,6.75596282154857,0.0908256864815624,0.497243386258311,0.0184331797235023,0.711288659793814,17,14,"All cohorts; minimum 50 fibroblasts/sample","~ cohort + group",31
"Matrix-activated-like",-0.243703511563,0.63181743937198,-2.02222662773098,0.0458822096620879,0.0611762795494505,-4.71267754503459,0.444596113946609,0.299397825151535,0.409090909090909,0.110334629358149,17,14,"All cohorts; minimum 50 fibroblasts/sample","~ cohort + group",31
"PI16/COL15A1-like",-0.138439493505736,0.137984579651312,-1.38935319865527,0.167878691329312,0.167878691329312,-5.75476074828868,0.109372128584199,0.0336055584018439,0.000629326620516048,0,17,14,"All cohorts; minimum 50 fibroblasts/sample","~ cohort + group",31
"Adventitial-like",-0.286173379991662,0.465046308325265,-2.37929427269101,0.0194113347102295,0.038822669420459,-3.89153240142235,0.35520607098763,0.121246443449978,0.368785399622404,0.033271719038817,17,11,"All cohorts; minimum 100 fibroblasts/sample","~ cohort + group",28
"Inflammatory-like",0.628606540379165,0.447247486499814,5.12064421948284,1.66429836584446e-06,6.65719346337783e-06,4.81124650059743,0.0908256864815624,0.557810311032914,0.0184331797235023,0.791724137931034,17,11,"All cohorts; minimum 100 fibroblasts/sample","~ cohort + group",28
"Matrix-activated-like",-0.261419513929851,0.637600314561726,-1.94217062887766,0.0551752611370905,0.073567014849454,-4.78309132045321,0.444596113946609,0.281624778782425,0.409090909090909,0.0868761552680222,17,11,"All cohorts; minimum 100 fibroblasts/sample","~ cohort + group",28
"PI16/COL15A1-like",-0.139438563029826,0.145764146520654,-1.24842536397017,0.215043039008781,0.215043039008781,-5.85084688085948,0.109372128584199,0.0393184667346828,0.000629326620516048,0,17,11,"All cohorts; minimum 100 fibroblasts/sample","~ cohort + group",28
"Adventitial-like",-0.424659799109902,0.488295744486589,-3.60426496465522,0.000976166999391822,0.00195233399878364,-1.47054011304722,0.390023979286478,0.0540741738710327,0.379501385041551,0.0406886134222073,13,8,"GSE164241; minimum 50 fibroblasts/sample","~ cohort + group",21
"Inflammatory-like",0.915262881839816,0.630485058408744,8.33527368974835,8.79901492835598e-10,3.51960597134239e-09,12.2509027369063,0.116741856609232,0.860325528156539,0.0217113665389527,0.901156009370645,13,8,"GSE164241; minimum 50 fibroblasts/sample","~ cohort + group",21
"Matrix-activated-like",-0.36806011644328,0.499714091610557,-2.58910229208462,0.0139890136975336,0.0186520182633782,-3.97002189779972,0.395663618333345,0.0853164759796815,0.378048780487805,0.0670566159584318,13,8,"GSE164241; minimum 50 fibroblasts/sample","~ cohort + group",21
"PI16/COL15A1-like",-0.183798504025471,0.118532288150676,-1.58946264971064,0.121072725351311,0.121072725351311,-5.85310098950711,0.0975705457709459,0.000283821992746942,0.00116279069767442,0,13,8,"GSE164241; minimum 50 fibroblasts/sample","~ cohort + group",21
"Adventitial-like",-0.437699841846596,0.496367015019824,-3.42726119702614,0.00160057229513023,0.00320114459026046,-1.8784542668356,0.390023979286478,0.0470715153518724,0.379501385041551,0.0363128491620112,13,7,"GSE164241; minimum 100 fibroblasts/sample","~ cohort + group",20
"Inflammatory-like",0.930664766996007,0.609500374712853,7.78260005100486,4.40483396817564e-09,1.76193358727026e-08,10.6900305864027,0.116741856609232,0.875718129380669,0.0217113665389527,0.922459893048128,13,7,"GSE164241; minimum 100 fibroblasts/sample","~ cohort + group",20
"Matrix-activated-like",-0.38566301864886,0.505214967938593,-2.52466406016591,0.0163679456432095,0.0218239275242794,-4.04697292350387,0.395663618333345,0.0768859872757479,0.378048780487805,0.0472370766488414,13,7,"GSE164241; minimum 100 fibroblasts/sample","~ cohort + group",20
"PI16/COL15A1-like",-0.184920298738339,0.12445890255821,-1.47938277680776,0.148162362668252,0.148162362668252,-5.94708275321032,0.0975705457709459,0.000324367991710791,0.00116279069767442,0,13,7,"GSE164241; minimum 100 fibroblasts/sample","~ cohort + group",20
