"orig.ident","Fibro_subtype","dataset","group","Freq"
"GSM4600897","PI16_Fib","GSE152042","NC",0
"GSM4600898","PI16_Fib","GSE152042","NC",0
"GSM4600899","PI16_Fib","GSE152042","NC",0
"GSM5005048","PI16_Fib","GSE152042","NC",0
"GSM5005049","PI16_Fib","GSE152042","NC",0
"GSM5005050","PI16_Fib","GSE152042","NC",0
"GSM5005051","PI16_Fib","GSE152042","NC",0
"GSM5005052","PI16_Fib","GSE152042","NC",0
"GSM5005053","PI16_Fib","GSE152042","NC",0
"GSM5005054","PI16_Fib","GSE152042","NC",0
"GSM5005055","PI16_Fib","GSE152042","NC",0
"GSM5005056","PI16_Fib","GSE152042","NC",0
"GSM5005057","PI16_Fib","GSE152042","NC",0
"GSM5005058","PI16_Fib","GSE152042","NC",0
"GSM5005059","PI16_Fib","GSE152042","NC",0
"GSM5005060","PI16_Fib","GSE152042","NC",0
"GSM5005061","PI16_Fib","GSE152042","NC",0
"GSM5005062","PI16_Fib","GSE152042","NC",0
"GSM5177039","PI16_Fib","GSE152042","NC",0
"GSM5177040","PI16_Fib","GSE152042","NC",0
"GSM5177041","PI16_Fib","GSE152042","NC",0
"GSM5177042","PI16_Fib","GSE152042","NC",0
"GSM5177043","PI16_Fib","GSE152042","NC",0
"GSM5177044","PI16_Fib","GSE152042","NC",0
"GSM5220920","PI16_Fib","GSE152042","NC",0
"GSM5220921","PI16_Fib","GSE152042","NC",0
"GSM5220922","PI16_Fib","GSE152042","NC",0
"GSM5220923","PI16_Fib","GSE152042","NC",0
"GSM5220924","PI16_Fib","GSE152042","NC",0
"GSM5220925","PI16_Fib","GSE152042","NC",0
"GSM5220926","PI16_Fib","GSE152042","NC",0
"GSM5220927","PI16_Fib","GSE152042","NC",0
"GSM5220928","PI16_Fib","GSE152042","NC",0
"GSM4600897","Adventitial_Fib","GSE152042","NC",4
"GSM4600898","Adventitial_Fib","GSE152042","NC",0
"GSM4600899","Adventitial_Fib","GSE152042","NC",0
"GSM5005048","Adventitial_Fib","GSE152042","NC",0
"GSM5005049","Adventitial_Fib","GSE152042","NC",0
"GSM5005050","Adventitial_Fib","GSE152042","NC",0
"GSM5005051","Adventitial_Fib","GSE152042","NC",0
"GSM5005052","Adventitial_Fib","GSE152042","NC",0
"GSM5005053","Adventitial_Fib","GSE152042","NC",0
"GSM5005054","Adventitial_Fib","GSE152042","NC",0
"GSM5005055","Adventitial_Fib","GSE152042","NC",0
"GSM5005056","Adventitial_Fib","GSE152042","NC",0
"GSM5005057","Adventitial_Fib","GSE152042","NC",0
"GSM5005058","Adventitial_Fib","GSE152042","NC",0
"GSM5005059","Adventitial_Fib","GSE152042","NC",0
"GSM5005060","Adventitial_Fib","GSE152042","NC",0
"GSM5005061","Adventitial_Fib","GSE152042","NC",0
"GSM5005062","Adventitial_Fib","GSE152042","NC",0
"GSM5177039","Adventitial_Fib","GSE152042","NC",0
"GSM5177040","Adventitial_Fib","GSE152042","NC",0
"GSM5177041","Adventitial_Fib","GSE152042","NC",0
"GSM5177042","Adventitial_Fib","GSE152042","NC",0
"GSM5177043","Adventitial_Fib","GSE152042","NC",0
"GSM5177044","Adventitial_Fib","GSE152042","NC",0
"GSM5220920","Adventitial_Fib","GSE152042","NC",0
"GSM5220921","Adventitial_Fib","GSE152042","NC",0
"GSM5220922","Adventitial_Fib","GSE152042","NC",0
"GSM5220923","Adventitial_Fib","GSE152042","NC",0
"GSM5220924","Adventitial_Fib","GSE152042","NC",0
"GSM5220925","Adventitial_Fib","GSE152042","NC",0
"GSM5220926","Adventitial_Fib","GSE152042","NC",0
"GSM5220927","Adventitial_Fib","GSE152042","NC",0
"GSM5220928","Adventitial_Fib","GSE152042","NC",0
"GSM4600897","ECM_Fib","GSE152042","NC",9
"GSM4600898","ECM_Fib","GSE152042","NC",0
"GSM4600899","ECM_Fib","GSE152042","NC",0
"GSM5005048","ECM_Fib","GSE152042","NC",0
"GSM5005049","ECM_Fib","GSE152042","NC",0
"GSM5005050","ECM_Fib","GSE152042","NC",0
"GSM5005051","ECM_Fib","GSE152042","NC",0
"GSM5005052","ECM_Fib","GSE152042","NC",0
"GSM5005053","ECM_Fib","GSE152042","NC",0
"GSM5005054","ECM_Fib","GSE152042","NC",0
"GSM5005055","ECM_Fib","GSE152042","NC",0
"GSM5005056","ECM_Fib","GSE152042","NC",0
"GSM5005057","ECM_Fib","GSE152042","NC",0
"GSM5005058","ECM_Fib","GSE152042","NC",0
"GSM5005059","ECM_Fib","GSE152042","NC",0
"GSM5005060","ECM_Fib","GSE152042","NC",0
"GSM5005061","ECM_Fib","GSE152042","NC",0
"GSM5005062","ECM_Fib","GSE152042","NC",0
"GSM5177039","ECM_Fib","GSE152042","NC",0
"GSM5177040","ECM_Fib","GSE152042","NC",0
"GSM5177041","ECM_Fib","GSE152042","NC",0
"GSM5177042","ECM_Fib","GSE152042","NC",0
"GSM5177043","ECM_Fib","GSE152042","NC",0
"GSM5177044","ECM_Fib","GSE152042","NC",0
"GSM5220920","ECM_Fib","GSE152042","NC",0
"GSM5220921","ECM_Fib","GSE152042","NC",0
"GSM5220922","ECM_Fib","GSE152042","NC",0
"GSM5220923","ECM_Fib","GSE152042","NC",0
"GSM5220924","ECM_Fib","GSE152042","NC",0
"GSM5220925","ECM_Fib","GSE152042","NC",0
"GSM5220926","ECM_Fib","GSE152042","NC",0
"GSM5220927","ECM_Fib","GSE152042","NC",0
"GSM5220928","ECM_Fib","GSE152042","NC",0
"GSM4600897","Activated_Fib","GSE152042","NC",4
"GSM4600898","Activated_Fib","GSE152042","NC",0
"GSM4600899","Activated_Fib","GSE152042","NC",0
"GSM5005048","Activated_Fib","GSE152042","NC",0
"GSM5005049","Activated_Fib","GSE152042","NC",0
"GSM5005050","Activated_Fib","GSE152042","NC",0
"GSM5005051","Activated_Fib","GSE152042","NC",0
"GSM5005052","Activated_Fib","GSE152042","NC",0
"GSM5005053","Activated_Fib","GSE152042","NC",0
"GSM5005054","Activated_Fib","GSE152042","NC",0
"GSM5005055","Activated_Fib","GSE152042","NC",0
"GSM5005056","Activated_Fib","GSE152042","NC",0
"GSM5005057","Activated_Fib","GSE152042","NC",0
"GSM5005058","Activated_Fib","GSE152042","NC",0
"GSM5005059","Activated_Fib","GSE152042","NC",0
"GSM5005060","Activated_Fib","GSE152042","NC",0
"GSM5005061","Activated_Fib","GSE152042","NC",0
"GSM5005062","Activated_Fib","GSE152042","NC",0
"GSM5177039","Activated_Fib","GSE152042","NC",0
"GSM5177040","Activated_Fib","GSE152042","NC",0
