"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
1,0.331008911285669,18.7696471543411,0.866965041851928,4803.47528656484,4808.19057504463,5097.2306289951
2,0.0160757503305709,-2.21826250757532,0.969902956008473,2470.61021465639,2457.29916728562,2896.96830852533
3,0.250027458143956,-6.32238690755655,0.823380201626395,1285.91825594858,1263.27162698994,1720.58718250842
4,0.499766080468599,-6.38814437339405,0.798565323655676,677.26005693107,654.920204892847,1058.89886396727
5,0.827999057804924,-6.5099009948469,0.93462327432681,361.025364699014,343.518872942544,672.04908575399
6,0.937775417040743,-5.97602071203105,0.982986831133051,194.889922886227,181.609640706456,438.326302138893
7,0.954714414391018,-5.20752592290489,0.991217202318475,106.625755686531,96.8179936996885,292.993329102905
8,0.964359065281086,-4.51485800144664,0.996072972908585,59.1889410009539,51.994961302534,200.484193281259
9,0.958434616716405,-4.02139341927084,0.991746919756599,33.3858383849161,28.1283965778435,141.21471828838
10,0.945034795806017,-3.615117012475,0.984106006630351,19.1710584377997,15.2972208759282,101.499501497582
12,0.965409057716927,-2.58732752007195,0.960239024918484,6.7372404212232,4.6294515390245,55.3277508838032
14,0.847068197216023,-2.25004916688631,0.816804837204389,2.63639950777555,1.43874769288143,45.4224595924236
16,0.279567483190687,-2.34234969046967,0.130199766712984,1.1871829169374,0.458580699515234,42.69716067969
18,0.244899016651836,-1.85367473604686,0.193850548567246,0.632552478244982,0.149522263092604,41.0298616757326
20,0.169118838547522,-1.70740401654795,0.269080527198556,0.400162842692821,0.0498734180458559,39.7726222828028
22,0.126984838483913,-1.52681234249461,0.440230258448658,0.292506531165387,0.017068111907884,38.6941716479618
24,0.129742605398593,-1.41390059727123,0.479663672823616,0.236978195068391,0.00594302504841782,37.7077162010688
26,0.124083893892759,-1.12285746321042,0.531750862140834,0.205021982315649,0.00210860522069511,36.7785625046824
28,0.0766401705042921,-0.958169638072281,0.742867445588911,0.184594988510293,0.000760005476299619,35.8916001396698
30,0.0840790747256174,-0.956957165334177,0.72003490392825,0.170252805341625,0.000276903840756515,35.0394414823608
