"gene_name","module","color","kME_grey","kME_Fibroblasts1","kME_Fibroblasts2","kME_Fibroblasts3","kME_Fibroblasts4","kME_Fibroblasts5","kME_Fibroblasts6","kME_Fibroblasts7","kME_Fibroblasts8","kME_Fibroblasts9"
"AAMDC","Fibroblasts1","blue",0.071707659983601,0.1816303464192,-0.00663509146875694,0.0138875724504211,0.0669011757410767,-0.118180961321916,0.0231092403818419,-0.0132807728418333,0.0258098338314443,0.0716142363012766
"ABCA1","Fibroblasts2","turquoise",0.133817056269803,-0.0319700114037914,0.173016759195002,0.00962291722397315,0.0996802477633521,0.0582796860748705,0.0488686496677025,0.0469316412107876,0.00520144167356239,0.0505666025990548
"ABCA10","Fibroblasts3","green",0.00697045386674322,-0.0323005381328378,-0.00618725736042654,0.218437566678167,-0.0900209880092559,-0.047909194669924,0.0244411382454657,-0.0884525632824182,-0.0618362227446927,-0.0684454544385804
"ABCA6","Fibroblasts3","green",0.0567976730398997,0.0135018055948615,0.0215009902206031,0.1860403212832,-0.0230665722011432,-0.0717170783233535,0.0996265738517069,-0.0915712601344141,-0.0566022755335533,0.00448515352053834
"ABCA8","Fibroblasts3","green",-0.0207080478267761,-0.0530453158799679,-0.0680306820118772,0.525403555849475,-0.191871097463048,-0.0693957442378943,0.0141649798365605,-0.240660717290855,-0.1886098489881,-0.168511591750802
"ABCA9","Fibroblasts3","green",0.0490776082844041,-0.00736743638499024,0.0473118691686477,0.131318366321791,-0.00499353664651148,-0.0418824296031513,0.0303304948266864,-0.0702387356861813,-0.0534555748203169,-0.00871304915768555
"ABCC1","Fibroblasts2","turquoise",0.115182482263253,-0.0244428307230425,0.155937464233156,-0.0293708135919078,0.0670079593096976,0.0682046944243947,0.011707724686764,0.0633291816200303,0.00333741845274455,0.0175864139924675
"ABHD11","Fibroblasts1","blue",0.0159651042193992,0.0610228447830784,-0.0221816789142695,0.00994107882012067,0.0133472660309696,-0.0359395419346314,0.00321641169120724,-0.0242841967967161,-0.0112284762927292,0.0214428547526344
"ABHD14A","Fibroblasts1","blue",0.0297660856336775,0.0693208424754872,-0.029679783195574,0.124848118802305,-0.00948707391645242,-0.032376888574039,0.0129732656898023,-0.00554216519026766,0.00796056857667225,0.0190652537840567
"ABHD17A","Fibroblasts2","turquoise",0.168472578115742,0.0688127447031759,0.222504094018861,0.0079323024581929,0.134083963295676,-0.0577292646021322,0.0171868176348187,0.0513159221829302,0.0280865527677681,0.0696090759464243
"ABHD5","Fibroblasts2","turquoise",0.140226782975219,0.070258546278965,0.185078719187991,-0.0703208734875587,0.214196000455218,-0.0689309226609957,-0.000806727464146142,0.00726447723795569,-0.000501367006395365,0.148415850479285
"ABL1","Fibroblasts2","turquoise",0.224320827434977,-0.0944882198449782,0.326739670586794,0.00564666961802033,0.120096911419942,0.192826806479147,0.0210187549710079,0.107678444033581,0.0190511677826734,0.0448876796265741
"ABL2","Fibroblasts4","red",0.204614376546866,0.102074892841154,0.24044190786191,-0.14880579164361,0.360354893062577,-0.06102090643986,0.0322684945858501,0.09802174435408,0.048720435371107,0.200869140190217
"ABRACL","Fibroblasts1","blue",0.0305568298970344,0.0888719795141201,-0.024299570278292,-0.0349849287830669,0.0268739271933012,-0.0168208492760932,0.00862438509284959,0.0268830962946926,0.0391048101447847,0.0115259256057213
"ABT1","Fibroblasts1","blue",0.040463228962323,0.0842273537896725,-0.0165350554229333,0.0204222034587722,0.00918726757356249,-0.0289020919587584,0.0229066351518847,0.0059407691280928,0.023108350367994,0.0215200945250833
"AC004453.1","Fibroblasts5","yellow",0.0875627865652371,-0.238630336001667,0.152983309138064,-0.00869740651158984,-0.12613935074047,0.603344057662203,0.00695774306128356,0.136217426014536,0.057205679472608,-0.0819788613659809
"AC005912.1","Fibroblasts5","yellow",0.0857752220109931,-0.248082955138358,0.154607481018439,0.0370207977458595,-0.142916329495296,0.627978948851406,0.00898798481413278,0.136445137818816,0.0684733989277302,-0.102156194606433
"AC024293.1","Fibroblasts5","yellow",0.105141235566746,-0.327706737500155,0.201657989881129,0.00182287969823316,-0.177738277855742,0.788025470845695,0.00874805843671019,0.18526943787024,0.0794658878392463,-0.119351224452725
"AC034236.1","Fibroblasts5","yellow",0.074361593861149,-0.278489599507134,0.154271851734492,-0.0184162564933625,-0.143780775839818,0.649433463711256,-0.00970379688151391,0.138298011182972,0.0538019940188239,-0.0999604372347822
"AC058791.1","Fibroblasts2","turquoise",0.105473789689944,-0.010073114430559,0.16988650179585,-0.0473504432040389,0.145661862171609,-0.0216588025046715,0.0233014862079851,0.0212017777155602,-0.0244219486462246,0.080839270810375
"AC090498.1","Fibroblasts1","blue",-0.134771928709369,0.22444668880484,-0.346537320675117,-0.0410666113457865,-0.0352945984410297,-0.166321813703186,0.00284325538320222,-0.0551468770209514,0.0304336013613081,0.0657068272281023
"AC099560.2","Fibroblasts5","yellow",0.115718266209834,-0.267588856488274,0.190321088119656,-0.0116784184720305,-0.134492878139784,0.681641136225121,0.0174448032641833,0.163421718192043,0.0808309687435913,-0.0865873731986759
"AC114491.1","Fibroblasts5","yellow",0.0941928214160415,-0.262077291011848,0.165435409380471,-0.0164360694463584,-0.143870685699075,0.645992028327661,0.00970452169798766,0.169922840288263,0.0772368512568061,-0.10374910857134
"AC116533.1","Fibroblasts5","yellow",0.109602989657159,-0.321796878031925,0.197932281308594,-0.021046544217802,-0.168631465306167,0.753298858692905,0.00435633845687248,0.174619623855661,0.0749336308663751,-0.111756412077744
"AC136632.1","Fibroblasts5","yellow",0.0969368793430363,-0.260841087316687,0.167755096703355,-0.00188487069812287,-0.138684054831977,0.654323010846569,0.00998577871894313,0.147773347534251,0.0625468145192535,-0.0895432398376584
"ACAP2","Fibroblasts2","turquoise",0.210038526375519,0.0155360528406918,0.233720236956561,0.0327047638601213,0.104903736688579,0.0769825495737084,0.0478281529501387,0.0667623103627299,0.02519910253295,0.0718586671762131
"ACAT1","Fibroblasts1","blue",0.0637205038812771,0.0971999646157863,-0.0135694615637285,0.0492566706909079,-0.00416213144864917,-0.0206530921695414,0.0337341204754047,0.00863825816864703,0.0481345620263717,0.0245848101104689
"ACBD3","Fibroblasts2","turquoise",0.22115204538429,0.0182627479680846,0.265577438924532,0.0161803989414558,0.0996199249637667,0.0616459155161414,0.0344278947641356,0.116495863991285,0.0623531828237882,0.0334311904684861
"ACIN1","Fibroblasts2","turquoise",0.153440917873374,-0.0265653531711847,0.18551807470296,0.0167799616889199,0.0609911013403275,0.073506156512419,0.0476471181062229,0.0475984026140171,0.00112532815266361,0.0200996227263922
"ACKR1","Fibroblasts1","blue",-0.0587764141463797,0.0277534725549891,-0.0917866361425936,-0.00405816618441858,-0.0308315417637441,-0.0377016717008729,0.0333895248048884,-0.0300203068669508,-0.0140685456186397,-0.0152946047703231
"ACKR3","Fibroblasts2","turquoise",0.113801546196473,-0.0974727030923261,0.200596647413746,0.0873483501217741,-0.00976416544522154,0.13815769033652,-0.0254327684181033,0.157686044580752,0.112434835333545,-0.0680620027780506
"ACO1","Fibroblasts2","turquoise",0.20147679004131,-0.001980299657684,0.240402614135305,-0.0130037632135696,0.146041870326468,0.0901929609661168,0.041526013095925,0.0681905995073547,0.0119495546499523,0.0846836190370912
"ACP1","Fibroblasts1","blue",0.0786843403695003,0.129165289323455,0.00510904952509796,-0.0309522744414358,0.0479489960454281,-0.0186881221392676,0.0345646541182003,0.0401779792048874,0.0507985863949053,0.0567567202079466
"ACSL1","Fibroblasts2","turquoise",0.139691802185026,-0.0184426728858734,0.192247317631263,-0.0961201135351376,0.13604586028094,0.106256592733858,0.0124165570310246,0.15684394517331,0.065737598204528,0.0745787316944023
"ACSL4","Fibroblasts2","turquoise",0.270070542606877,-0.0199642855210773,0.361751079098471,-0.0881062909963024,0.215574082442037,0.128622240842778,0.0425541895218944,0.0962916351675653,-0.00742473997407398,0.0836679473505076
"ACTB","Fibroblasts1","blue",0.0243756524712005,0.179362595596226,-0.113144605570715,0.0347766867300458,-0.0254439934294409,0.0394379836526766,0.0402518622605838,0.0711614311854174,0.112226754703011,-0.000370488004337184
"ACTG1","Fibroblasts2","turquoise",0.326104353695987,0.115294599146471,0.350165601994559,-0.000920701078052414,0.219613860656904,0.152791358669645,0.00513704750766662,0.128850196941985,0.070250837410957,0.120360285626174
"ACTL6A","Fibroblasts1","blue",0.0687569390170206,0.0968413358330749,0.0100363514912749,0.0351363674014582,0.0377824215619889,-0.0429571982608478,0.0235429956730475,0.0124448998887517,0.0173713969868615,0.037621039792905
"ACTN1","Fibroblasts2","turquoise",0.236578716378172,0.0830053219909593,0.27204047467159,-0.170948873752586,0.169309230863047,0.0703404395161193,0.0384270595236696,0.176163468129587,0.108328768149636,0.0614587404155983
"ACTN4","Fibroblasts2","turquoise",0.203944256572817,0.046503705588656,0.233038456674345,0.0099936833731599,0.0970852151381718,0.0323096130660762,0.0463465408424174,0.0780305007907907,0.0559551052217174,0.0446976819315879
"ACTR10","Fibroblasts1","blue",0.0744367267739503,0.116405170680742,-0.00620334374202259,0.0450173623376597,0.0351885286930203,-0.0363719606077578,0.0265015831260149,0.0152402481701608,0.0327212498456801,0.0455896337109688
"ACTR2","Fibroblasts5","yellow",0.26960255420961,-0.0450088438377719,0.289300482388422,0.00468429217802856,0.0490239886681505,0.312086324727176,0.0770849848629645,0.176140850226865,0.0986327267082108,0.0264902659262066
"ACVR1B","Fibroblasts2","turquoise",0.0818843685787244,-0.0587837148296217,0.119502490874446,0.0443340566778298,0.0314550715071737,0.0834632317450112,0.002521892321045,0.0149829141403893,-0.00589187721381304,0.0117167857924629
"ACVR2A","Fibroblasts3","green",0.0425202897664239,-0.0209533840653921,0.0322110316621989,0.124085455966416,-0.0293483464292077,0.0370322263301906,0.0399637942441436,0.0185989959502359,0.00816190961135162,-0.0159410691200028
"ACVRL1","Fibroblasts3","green",0.0912083118308375,0.0400164294037475,0.0699373787702994,0.138908538776161,0.0487269884863635,-0.0304471228759308,0.041769550633037,-0.0164838563071445,-0.0222523289792091,0.040583948510602
"ACYP1","Fibroblasts3","green",0.0044644885406655,0.0189831501383223,-0.0153790829334925,0.0955348445032046,-0.0275700350234715,-0.0378060169134839,0.0124045619261701,4.13573659232936e-05,0.0115387188133199,-0.021030432644543
"ADAM12","Fibroblasts5","yellow",0.178127940918763,-0.106954789040118,0.226860118440173,-0.188201517789556,-0.0191971343858541,0.391255373181556,0.057616178001198,0.331447117028375,0.22511746522585,-0.0425195858252996
"ADAM17","Fibroblasts6","brown",0.0210501711456491,0.0193306951326441,0.0129364852248823,-0.00790070019783993,0.039436335721095,-0.0720331853917068,0.192029430547959,0.0149899664514271,0.00958435390281466,0.0217857070177191
"ADAMTS1","Fibroblasts4","red",0.158141482969112,1.49609149659143e-05,0.20084221310558,0.0271372488390134,0.257478615330507,0.0330200125026863,0.012415789754299,0.00501713627724466,-0.043482976814243,0.197704410721358
"ADAMTS12","Fibroblasts7","pink",0.0899519670339776,-0.0330045176508998,0.0746553048469761,-0.00803761336237359,-0.0678140147072641,0.165158217648947,0.0539161042449936,0.147243116835134,0.0924354879822659,-0.0838225038314528
"ADAMTS2","Fibroblasts5","yellow",0.246780865834895,-0.0391984186308989,0.293754363792334,-0.174799466850271,0.105296205938027,0.274692702746097,0.0306532759168505,0.323341189001127,0.223530860695922,0.0895795917171794
"ADAMTSL4","Fibroblasts3","green",0.0287167419830754,0.00212012722944074,0.00731942436795117,0.142330699430448,-0.0110643251946427,-0.0297055271299472,0.00952604755097785,0.00584150457839655,-0.00050650160752184,-0.0177909393931742
"ADAR","Fibroblasts2","turquoise",0.206886870938004,-0.026150685377284,0.2372956774025,-0.0278737454118589,0.081109879869071,0.139576044274797,0.0464778459948435,0.120534376213068,0.0646802794549312,0.0295682227594062
"ADCY3","Fibroblasts2","turquoise",0.181484274429565,0.0133762910086305,0.22458964363715,0.0620375569596757,0.143727547742714,-0.0113209625701268,0.0221037320270524,0.00440523324964152,-0.0386216947804507,0.0955084297988759
"ADCY9","Fibroblasts2","turquoise",0.104492050595602,-0.0141297498226075,0.132678952133823,0.0189683050763886,0.0366476681283847,0.0288053263061029,0.0140885483907463,0.0483907979225917,0.00795275789340006,0.00288394482990682
"ADD1","Fibroblasts5","yellow",0.210601508904747,-0.0992461714685074,0.267326132741418,0.0864951926709463,0.00424161429436001,0.27347818249119,0.0429547359142214,0.123033774606695,0.0618620623612987,-0.0141390077370302
"ADD3","Fibroblasts5","yellow",0.216893951473149,-0.0765850590030149,0.238205662842786,0.156037336766201,0.0461782487060905,0.224545969927473,0.0609210691607328,0.140855497564035,0.0704193917125973,0.0410650929395609
"ADI1","Fibroblasts1","blue",0.130896582171095,0.142463835124045,0.0520230969658141,0.0216480803877689,0.066002969899798,0.0279641393263164,0.0403916847132152,0.0954641917796964,0.0978278503932916,0.0840556252228371
"ADK","Fibroblasts1","blue",0.0708665335532257,0.0726659295217648,0.016818615303262,0.0196294499215781,0.0220989512983246,0.00532563422393757,0.0251998784941559,0.0525926468001628,0.0686369289199825,0.0401480177941833
"ADM","Fibroblasts2","turquoise",0.149483347050348,0.0631620096326053,0.231911047655651,-0.145592926241888,0.298569869325324,-0.0488995692055611,-0.0195498616595768,-0.0510458196120016,-0.106702760753921,0.17292191839478
"ADNP","Fibroblasts6","brown",0.0951733166330033,-0.00992551083405038,0.0833208058978567,0.0378221993885303,-0.0126242132983162,0.0649076706546795,0.14739917362915,0.0614359125765944,0.0492908650129137,-0.0053778969360401
"ADRM1","Fibroblasts1","blue",0.0983128905964321,0.196099178285112,0.0177683933077437,-0.0161735331288407,0.140852848966619,-0.122482534089473,0.0158237300935269,0.00426120955708529,0.0204625746606195,0.111737340085537
"ADSS","Fibroblasts8","magenta",0.0983465187300482,0.0850560315618935,0.0503707984468302,-0.025155866513523,0.0304210229196637,-0.0076969452441699,0.0413412145781414,0.0793443986446248,0.121729645449614,0.0169800467039984
"AEBP1","Fibroblasts2","turquoise",0.221234135564495,0.0719236758445451,0.263045736712313,-0.0889995095003877,0.108407460817619,-0.00742311459970104,0.0305413114623575,0.26720256599875,0.215527850404062,0.0477624973355626
"AES","Fibroblasts2","turquoise",0.208618486216293,0.117416274363786,0.248813291829512,0.0382130582249501,0.132738543391172,-0.06989013155722,0.0255529705243072,0.055430975908286,0.0396530139300204,0.0511185077774282
"AFAP1","Fibroblasts5","yellow",0.16312239141823,-0.0740113262248923,0.203925097047086,0.00646116921804479,0.0422099350176108,0.187933582524958,0.0437580821214731,0.124580709955984,0.0667368111436806,0.0341849869497895
"AFF4","Fibroblasts2","turquoise",0.271782591792692,-0.0233128453774701,0.34921948590471,-0.0146915995553633,0.15870838213854,0.113744293827819,0.0513154338504798,0.128951660513339,0.0584022597852116,0.087756257552505
"AFMID","Fibroblasts6","brown",-0.0142068956710062,0.0480560909507695,-0.0482668457694893,-0.0272927856928231,-0.0103584167700671,-0.0318357416072986,0.180064121640118,0.000423779262332122,0.0167319796390776,0.00400310301636755
"AGAP1","Fibroblasts2","turquoise",0.15549579423416,-0.0263599234267535,0.194471940854255,-0.00171391813207416,0.0660656018077172,0.105791436318464,0.0323932900081273,0.0797241738979707,0.0266898928828077,0.0316607895227873
"AGFG1","Fibroblasts2","turquoise",0.178204554474441,0.00312563358453419,0.221278194162694,0.0168507773516799,0.086483685605523,0.0750526242243652,0.0499534593815792,0.0753535566602014,0.0259535648304093,0.0324758696781041
"AGO2","Fibroblasts2","turquoise",0.143916728899447,-0.0301983691159183,0.177471455250072,0.0416584920363323,0.0545714314344123,0.0627233559865103,0.044548421319619,0.0677568717521866,0.019511490334127,0.0178704558687627
"AGPAT2","Fibroblasts1","blue",0.0917923855310885,0.151795784873426,0.0252304935966172,0.0214157256171102,0.0780177433423373,-0.0972286587093208,0.020376018054364,-0.000752927710544413,0.0201013652117576,0.0835041215562893
"AGPAT3","Fibroblasts2","turquoise",0.153248112426007,-0.0221941263812607,0.197349227616044,-0.00937177832910043,0.078989535453949,0.0897793509762795,0.0217956869660328,0.0546397213867345,0.00986750255491716,0.0412869067897893
"AHCTF1","Fibroblasts2","turquoise",0.187662843459046,-0.00709364421880233,0.20886741891187,0.0235685218199179,0.0785222597177927,0.0691184123074008,0.050999836564119,0.0791587454895144,0.0425712890520953,0.0449674197193435
"AHCYL1","Fibroblasts2","turquoise",0.286223361553955,0.0366961021468758,0.330263721072762,-0.0147515098521112,0.179133352090498,0.101464669848353,0.0453307215258135,0.108694241664553,0.0377306381443601,0.104914925789127
"AHI1","Fibroblasts2","turquoise",0.133525240659254,-0.0211099177807803,0.183314762483275,0.018327062755477,0.0929747807850663,-0.00950592630305565,0.0226373201418439,0.0301012203184441,-0.0103949757795927,0.0313589429024298
"AHNAK","Fibroblasts2","turquoise",0.335949320123349,-0.182666497038851,0.44770433375816,0.171030798962539,0.011956371070057,0.358576236858107,0.030397152423276,0.188380333958331,0.0984473769455111,-0.0289362988430421
"AHNAK2","Fibroblasts3","green",0.076017049696788,0.0222278287319148,0.0355233921949537,0.173961308439153,-0.0845251385060637,-0.0136040709203388,0.0429733739679964,0.0295856766635485,0.0525589584872206,-0.0772340510559661
"AHR","Fibroblasts2","turquoise",0.346659848793019,0.0449394354049641,0.379885351745043,-0.024159203679958,0.238091804393019,0.0947316873183014,0.0563219930941967,0.0503252620721401,-0.011507060372727,0.173620005953291
"AK1","Fibroblasts1","blue",0.0207518903810395,0.103850265984305,-0.0500831354835696,0.0669682626592843,-0.0371010802700333,-0.0653144277532876,0.0270660441689681,0.0292834726420152,0.0573890499048723,-0.0303622009690311
"AK2","Fibroblasts1","blue",0.0639166577761281,0.0704003287891543,0.0155549247501134,-0.0108207201535374,0.0120604954979326,0.0339741450064422,0.0267928107693974,0.051434427653722,0.044155580529544,0.0206392117284662
"AK6","Fibroblasts1","blue",0.0532339592223538,0.110051640180986,-0.00639238807741524,0.0148932385418977,0.0411274491986554,-0.0385050803169414,-0.000646049663236247,0.00534711239515975,0.025468762348408,0.0394197553764397
"AKAP12","Fibroblasts2","turquoise",0.239993507168929,-0.0635802931624336,0.296975626515974,0.175574574215032,0.153131112151704,0.142215018967396,0.0505132709203312,0.0385207189568774,-0.0225601168998171,0.121513758317032
"AKAP13","Fibroblasts2","turquoise",0.273200967499432,-0.0193052102475468,0.334089076895404,0.0140354239720621,0.135032679770889,0.0810022444633251,0.0667542146453008,0.143173305611606,0.0861685567347213,0.0697194242773662
"AKAP9","Fibroblasts2","turquoise",0.186989823806383,-0.0345175661379067,0.214222397903118,0.0445966082625372,0.0425811627442158,0.077349545908858,0.0593030835394746,0.0958139785124814,0.0669921493330001,0.0124199853992454
"AKIP1","Fibroblasts1","blue",0.0272144910892822,0.088058234344993,-0.0255978509517181,-0.0045030709836786,0.0192872176220252,-0.0399392588273263,0.0218875874278609,-0.00356803738474902,0.00524572459540319,0.0249226443078724
"AKR1C3","Fibroblasts1","blue",0.0526182502494461,0.103284605834083,-0.0444222334969884,0.0995966279071641,0.0120085505498062,-0.0512231273610824,0.0259330519798929,-0.0257083794034007,-0.00558118826876174,0.0413970959003639
"AKT1","Fibroblasts2","turquoise",0.18836465825721,0.0304737278192053,0.246641010327574,-0.0143804696321034,0.119623985182946,0.0472714969631834,0.0290347017180567,0.089087668325308,0.0365699830460985,0.0590152156170683
"AKT3","Fibroblasts2","turquoise",0.201017364258972,0.00939334706556477,0.232507076519346,-0.0172760092910676,0.0772154339243626,0.0713487958840164,0.0441555582001393,0.0898083094202111,0.0570101116562718,0.03132654644836
"AL590867.2","Fibroblasts5","yellow",0.111375065564485,-0.33045479978212,0.20336326902196,-0.0227930148618286,-0.173725315096784,0.787634752384149,0.00191054844536209,0.184039657457504,0.0858392719535391,-0.110691808695521
"ALDH1A3","Fibroblasts2","turquoise",0.11496290212274,0.0108171319449104,0.143210987791972,0.0207304100634493,0.0723266399073071,0.0195448201676721,0.0186057568712289,-0.0181807706569117,-0.0321296729506581,0.0320687609677563
"ALDH1L2","Fibroblasts5","yellow",0.173515955811869,-0.0556036224781636,0.198965103553783,0.014586145676222,0.000552117444783645,0.215191806965855,0.0463708381792935,0.170981631400889,0.114487345426129,-0.0205303347125294
"ALDH2","Fibroblasts1","blue",0.0439222130659188,0.0479885377078436,-0.00531904625238205,0.107250877058049,0.021746792276925,0.00472969720251777,-0.00232742465698079,0.0708606743862639,0.0789879935358031,0.0508118201536729
"ALDOA","Fibroblasts1","blue",0.169441970058228,0.344001481615745,0.0550141064672208,-0.0583086451998603,0.228291395025631,-0.150778086414276,0.0280569627157783,0.0038674897538646,0.0392552796149103,0.195741208526247
"ALG5","Fibroblasts1","blue",0.0655734554049552,0.124989828677272,-0.0105440688893065,-0.00610137070193672,0.077835049900353,-0.0423555559456271,0.00235753391241056,0.0444037900150393,0.0529555469718075,0.0995848431837282
"ALPL","Fibroblasts7","pink",0.115661958154673,-0.0585327714195196,0.17416882914467,-0.111143152601434,0.0974657765618769,0.196408112066839,0.00652920715336021,0.321604454542428,0.173752798499762,0.121977365475266
"ALYREF","Fibroblasts2","turquoise",0.16608906267402,-0.00295391098865677,0.233685056930452,-0.00205712656125128,0.0899087160969485,0.113900521164172,0.00852547831444021,0.079612801942582,0.0193585794580753,0.0435067527980309
