"gene_name","module","kME"
"RPS2","Fibroblasts1",0.633663230142629
"RPL18A","Fibroblasts1",0.633581418471759
"RPL10","Fibroblasts1",0.628297978402429
"RPL3","Fibroblasts1",0.619204571522507
"RPL13","Fibroblasts1",0.617671112081236
"RPS18","Fibroblasts1",0.612772448762438
"RPS14","Fibroblasts1",0.594938571116966
"RPS4X","Fibroblasts1",0.591655089228761
"LGALS1","Fibroblasts1",0.590958693157079
"RPLP1","Fibroblasts1",0.58875103709438
"RPS3A","Fibroblasts1",0.58714450765867
"RPL15","Fibroblasts1",0.584771475499536
"RPS19","Fibroblasts1",0.582917156322179
"RPS28","Fibroblasts1",0.580929323807155
"RPL13A","Fibroblasts1",0.580618107841033
"RPL23A","Fibroblasts1",0.578807928714258
"RPS15","Fibroblasts1",0.577180303095646
"RPS9","Fibroblasts1",0.570359459121701
"FTH1","Fibroblasts1",0.568214517288346
"RPS27","Fibroblasts1",0.566742262263271
"EEF1A1","Fibroblasts1",0.562627023743065
"RPL12","Fibroblasts1",0.561439596310272
"FTL","Fibroblasts1",0.557214830645718
"SERF2","Fibroblasts1",0.5560447395935
"RPL32","Fibroblasts1",0.553741136191047
"RPL19","Fibroblasts1",0.552363820704025
"RPL7","Fibroblasts1",0.545522657830234
"RPL35","Fibroblasts1",0.545440598730839
"RPL10A","Fibroblasts1",0.544217358761436
"RPL21","Fibroblasts1",0.543720455133408
"GAPDH","Fibroblasts1",0.531376680926288
"RPS3","Fibroblasts1",0.530432965561219
"RPS27A","Fibroblasts1",0.530413031397301
"RPL6","Fibroblasts1",0.528970118202367
"RPL41","Fibroblasts1",0.526026534516208
"RPS26","Fibroblasts1",0.520850872768132
"RPL8","Fibroblasts1",0.520071039722104
"RPL28","Fibroblasts1",0.518252360789308
"RPL39","Fibroblasts1",0.518242128586156
"RPS15A","Fibroblasts1",0.517532444092113
"GNB2L1","Fibroblasts1",0.516616669975961
"RPL9","Fibroblasts1",0.512542371219055
"RPS23","Fibroblasts1",0.51076810871512
"RPS25","Fibroblasts1",0.508798369787027
"RPL35A","Fibroblasts1",0.502058579997161
"RPL18","Fibroblasts1",0.50090177604144
"RPL26","Fibroblasts1",0.500801247679324
"RPLP0","Fibroblasts1",0.499157101137302
"SELM","Fibroblasts1",0.497628709263521
"S100A6","Fibroblasts1",0.496493894972011
"RPLP2","Fibroblasts1",0.493075693680532
"RPL11","Fibroblasts1",0.490204866782755
"RPL36","Fibroblasts1",0.485747983425871
"RPS5","Fibroblasts1",0.484598869657939
"RPS6","Fibroblasts1",0.482232132746975
"S100A4","Fibroblasts1",0.480688093531278
"RPS7","Fibroblasts1",0.479366540740373
"RPL29","Fibroblasts1",0.476985281978393
"EEF1D","Fibroblasts1",0.476837188455806
"RPS13","Fibroblasts1",0.46758198469402
"RPS8","Fibroblasts1",0.462994464435093
"RPL30","Fibroblasts1",0.460269659513249
"POLR2L","Fibroblasts1",0.454494192304203
"RPL34","Fibroblasts1",0.453093893907741
"TMSB10","Fibroblasts1",0.452536068746372
"TCEB2","Fibroblasts1",0.449298747397744
"FAU","Fibroblasts1",0.449254076575599
"UBB","Fibroblasts1",0.443027584401165
"RPL27A","Fibroblasts1",0.440642286107054
"RPSA","Fibroblasts1",0.440260361286026
"RPL24","Fibroblasts1",0.436528647338821
"H3F3A","Fibroblasts1",0.435615177855509
"UBA52","Fibroblasts1",0.42812743978525
"MYL6","Fibroblasts1",0.424922528012618
"RPL27","Fibroblasts1",0.424898314113448
"RPS16","Fibroblasts1",0.42457183671645
"RPL22","Fibroblasts1",0.422909790929645
"PTMA","Fibroblasts1",0.420966548907108
"PFDN5","Fibroblasts1",0.420733712914398
"EIF1","Fibroblasts1",0.409296416134683
"SLC25A6","Fibroblasts1",0.405917610333769
"TMSB4X","Fibroblasts1",0.400059316678547
"B2M","Fibroblasts1",0.39972457359211
"GPX4","Fibroblasts1",0.398025520456062
"LY6E","Fibroblasts1",0.396605410042005
"RPL14","Fibroblasts1",0.396407096763841
"SUMO2","Fibroblasts1",0.394075395646328
"YBX1","Fibroblasts1",0.392694038551093
"TMA7","Fibroblasts1",0.381321044584355
"EDF1","Fibroblasts1",0.381271292887855
"ADIRF","Fibroblasts1",0.379977175430761
"H3F3B","Fibroblasts1",0.379155636158882
"IFITM3","Fibroblasts1",0.377222611933328
"S100A11","Fibroblasts1",0.376700588972663
"ATP5L","Fibroblasts1",0.376135577456488
"OST4","Fibroblasts1",0.374040646482021
"NDUFA4","Fibroblasts1",0.372320388796032
"GUK1","Fibroblasts1",0.369433871746279
"RPL36AL","Fibroblasts1",0.368328560571037
"ATP5E","Fibroblasts1",0.367589252285132
"JUND","Fibroblasts2",0.686187667793883
"TPT1","Fibroblasts2",0.572846642371931
"GNAS","Fibroblasts2",0.563904788297314
"CD81","Fibroblasts2",0.560766911459585
"MT-ATP6","Fibroblasts2",0.532989728483464
"FOSB","Fibroblasts2",0.481079860994107
"MT-ND1","Fibroblasts2",0.476769968422254
"MTRNR2L12","Fibroblasts2",0.474730382136838
"RPS4Y1","Fibroblasts2",0.465789261520471
"FNDC3B","Fibroblasts2",0.463807316594967
"IL1R1","Fibroblasts2",0.458205744916194
"GNAI2","Fibroblasts2",0.44971157515032
"AHNAK","Fibroblasts2",0.44770433375816
"HSP90AA1","Fibroblasts2",0.444354729908265
"FAM20C","Fibroblasts2",0.443313698214223
"VIM","Fibroblasts2",0.443146799412951
"PXDN","Fibroblasts2",0.441628127669563
"LAMB1","Fibroblasts2",0.437002117428808
"COL14A1","Fibroblasts2",0.436050333263453
"C11orf96","Fibroblasts2",0.434116981023281
"KLF9","Fibroblasts2",0.431514696668859
"MCL1","Fibroblasts2",0.426835406817754
"PRRC2C","Fibroblasts2",0.426424616000126
"IGFBP4","Fibroblasts2",0.42600633566949
"EGR1","Fibroblasts2",0.424969642775419
"MME","Fibroblasts2",0.424241953793599
"DDR2","Fibroblasts2",0.422425607728506
"IER3","Fibroblasts2",0.422344182999272
"MYH9","Fibroblasts2",0.419729162454888
"FBN1","Fibroblasts2",0.417410437876583
"HSP90B1","Fibroblasts2",0.416530759390642
"MT-CYB","Fibroblasts2",0.414252029575818
"TWIST1","Fibroblasts2",0.413213955159097
"GOLGB1","Fibroblasts2",0.411021377295875
"EVA1B","Fibroblasts2",0.408620640222086
"METRNL","Fibroblasts2",0.404312053621019
"ITGB5","Fibroblasts2",0.403809763963513
"BOD1L1","Fibroblasts2",0.398944602676275
"JDP2","Fibroblasts2",0.398335687351278
"SRRM2","Fibroblasts2",0.397313200573166
"PRRX2","Fibroblasts2",0.395687080004544
"MACF1","Fibroblasts2",0.394950439936638
"EPAS1","Fibroblasts2",0.394673163801291
"IL6ST","Fibroblasts2",0.393676609734954
"RRBP1","Fibroblasts2",0.39239866142204
"PMEPA1","Fibroblasts2",0.386221480425076
"GNB1","Fibroblasts2",0.384352543547467
"MBD2","Fibroblasts2",0.384208359236116
"HDLBP","Fibroblasts2",0.38279576341573
"MT-ND5","Fibroblasts2",0.382537598100344
"DDX3Y","Fibroblasts2",0.381727444658616
"MTRNR2L1","Fibroblasts2",0.38148683200945
"AHR","Fibroblasts2",0.379885351745043
"HDGF","Fibroblasts2",0.379830231113199
"CYP7B1","Fibroblasts2",0.379258046713892
"PSD3","Fibroblasts2",0.377696850785525
"BASP1","Fibroblasts2",0.377498270741047
"LMAN1","Fibroblasts2",0.377141484050176
"FGFR1","Fibroblasts2",0.37669406407807
"SH3PXD2A","Fibroblasts2",0.376576561337555
"MAP4K4","Fibroblasts2",0.372901207290786
"LTBP2","Fibroblasts2",0.372180267159219
"CDH11","Fibroblasts2",0.37171307454271
"MRC2","Fibroblasts2",0.370684815930759
"WNT5A","Fibroblasts2",0.369716007645482
"SLFN5","Fibroblasts2",0.369568543387607
"GOLGA4","Fibroblasts2",0.36914144406452
"HSP90AB1","Fibroblasts2",0.368191794257139
"PDGFRB","Fibroblasts2",0.367605727395587
"ATP2A2","Fibroblasts2",0.366946960814331
"DDX17","Fibroblasts2",0.366771414706694
"MXRA7","Fibroblasts2",0.365733425222617
"NR4A3","Fibroblasts2",0.365603765755409
"DST","Fibroblasts2",0.363215860012355
"ACSL4","Fibroblasts2",0.361751079098471
"YWHAB","Fibroblasts2",0.361438580581789
"TLN1","Fibroblasts2",0.360798648463581
"PHC2","Fibroblasts2",0.36017052035263
"UBE2H","Fibroblasts2",0.359666489453766
"NFIC","Fibroblasts2",0.359389365502113
"NDRG1","Fibroblasts2",0.35817099879754
"TPM4","Fibroblasts2",0.357498263886412
"PDGFRA","Fibroblasts2",0.356544694486703
"COL4A1","Fibroblasts2",0.356424562096396
"EIF3A","Fibroblasts2",0.356338843796893
"CDV3","Fibroblasts2",0.355967731345267
"SYNE1","Fibroblasts2",0.355660939856631
"PRSS12","Fibroblasts2",0.35542037810202
"MARCKS","Fibroblasts2",0.354365941910851
"MIDN","Fibroblasts2",0.352536870802508
"YBX3","Fibroblasts2",0.352059421741735
"SLC39A14","Fibroblasts2",0.351618145227698
"RHOQ","Fibroblasts2",0.351050286914695
"MTRNR2L10","Fibroblasts2",0.350857250293968
"ACTG1","Fibroblasts2",0.350165601994559
"NFKBIZ","Fibroblasts2",0.349918302697871
"AFF4","Fibroblasts2",0.34921948590471
"SERPINE1","Fibroblasts2",0.349125739941964
"HNRNPU","Fibroblasts2",0.34719705433711
"TEAD1","Fibroblasts2",0.34705496083114
"GSN","Fibroblasts3",0.651994250341016
"CFD","Fibroblasts3",0.641630760270087
"APOD","Fibroblasts3",0.550016779569511
"ABCA8","Fibroblasts3",0.525403555849475
"PLAC9","Fibroblasts3",0.503591571566871
"NTRK2","Fibroblasts3",0.499540111302365
"CST3","Fibroblasts3",0.489933072376641
"TSPAN8","Fibroblasts3",0.446339197053001
"CFH","Fibroblasts3",0.445812331439346
"NFIB","Fibroblasts3",0.440779885154707
"SOD3","Fibroblasts3",0.436673669562313
"MGP","Fibroblasts3",0.430547575742771
"ANGPTL1","Fibroblasts3",0.414990221921521
