"sample","dataset","group","n_fibro","AGT_mean","AGT_positive_fraction","PI16_mean","PI16_positive_fraction","Fibroblasts3","Fibroblasts1","Fibroblasts2","Fibroblasts4","Fibroblasts9","Fibroblasts6","Fibroblasts5","Fibroblasts7","Fibroblasts8"
"GSM4600897","GSE152042","NC",17,0,0,0,0,0.660933539949433,-6.65660231395067,5.23552321124599,-1.88373557906699,-1.89348829227433,-0.692045680606405,4.11158016154394,-0.386523582740604,-0.639228030447779
"GSM4600898","GSE152042","PD",4,0,0,0,0,-2.33388442548987,-5.9042995578958,-6.72707847748579,-2.03593810839489,-3.16109382986001,-1.42667510889605,1.81122956422008,-0.679792108903677,-0.266023801540165
"GSM4600899","GSE152042","PD",3,0,0,0,0,-2.00884549388823,-6.8290936750193,-1.29516255475437,-3.17235150327188,-2.84186682300255,-1.05995114605334,5.26775868749577,-0.912645709360687,0.075000254852832
"GSM5005048","GSE164241","NC",92,0.00933067349123945,0.0108695652173913,0,0,0.616998006501366,3.56464573190744,-5.80445340928186,-1.30448827457449,-0.129146660204969,0.201804644343562,-1.87512181622267,-0.0958249830960606,0.28217664014774
"GSM5005049","GSE164241","NC",282,0.0140657310207312,0.0141843971631206,0,0,0.172404872395581,4.45708496824736,-4.37639961137458,-0.221728727972907,0.0201714066448787,0.378102977003585,-1.69608300893438,-0.215484145497149,0.245570262066918
"GSM5005050","GSE164241","NC",209,0,0,0,0,0.392639038700706,3.54394329015863,-5.04297677703259,-0.382049731094612,0.292031043460074,0.47265917359602,-1.48729078898109,0.243015550995353,0.540128863295487
"GSM5005051","GSE164241","NC",410,0.0122565412553461,0.00731707317073171,0,0,0.301049921970105,3.30257058833682,-5.63336277974779,-0.531023984877597,0.263279564553434,0.343892749386922,-1.89028195018519,-0.415133501758869,0.017521616175289
"GSM5005052","GSE164241","NC",2811,0.00367026239194597,0.00249021700462469,0,0,-0.808355193383332,3.39367148346215,-5.92095688887557,0.174376896400278,0.772705846616499,-0.203312702410255,-1.83172471288474,0.0262533382058904,0.314194876469014
"GSM5005053","GSE164241","NC",760,0.00214853173464941,0.00131578947368421,0,0,-0.199608297172988,2.60302714037323,-5.86826647986744,-1.3121260648404,-0.396133969997414,0.257880755905522,-2.0150346332537,-0.939154364974915,-0.351392437537186
"GSM5005054","GSE164241","NC",357,0.00856063914605872,0.00560224089635854,0.444895141220094,0.252100840336134,3.11980481046568,2.31083168626494,-5.96405601777842,-1.76584182676034,-0.916538664097772,0.0860620841153148,-2.18004752606945,-1.06773993336683,-0.173712944689214
"GSM5005055","GSE164241","NC",1511,0.0103187534235361,0.00727994705493051,0.00224239270450808,0.00132362673726009,-0.0959971714335359,3.10304022633805,-6.02727925534833,0.35689366036073,0.495128821883328,-0.752136235103059,-2.23528759766738,-1.01894986354746,-0.572099189151715
