"module","state1","state2","W","p","p_adjust"
"Fibroblasts3","Activated_Fib","Adventitial_Fib",1,7.42134815926665e-07,3.71067407963333e-06
"Fibroblasts3","Activated_Fib","ECM_Fib",197,0.166081462997223,0.173080152143793
"Fibroblasts3","Activated_Fib","Inflammatory_Fib",52,0.0366428344855158,0.0458035431068948
"Fibroblasts3","Activated_Fib","PI16_Fib",0,0.000293404482942763,0.000586808965885526
"Fibroblasts3","Adventitial_Fib","ECM_Fib",4,2.52029293685709e-07,2.52029293685709e-06
"Fibroblasts3","Adventitial_Fib","Inflammatory_Fib",0,3.58813059402088e-05,0.000119604353134029
"Fibroblasts3","Adventitial_Fib","PI16_Fib",27,0.173080152143793,0.173080152143793
"Fibroblasts3","ECM_Fib","Inflammatory_Fib",49,0.00446707808635649,0.00638154012336642
"Fibroblasts3","ECM_Fib","PI16_Fib",0,0.000182753983022526,0.000456884957556315
"Fibroblasts3","Inflammatory_Fib","PI16_Fib",0,0.00137559126724659,0.00229265211207764
"Fibroblasts1","Activated_Fib","Adventitial_Fib",227,0.0107722919081334,0.0359076396937779
"Fibroblasts1","Activated_Fib","ECM_Fib",343,0.0675383208059693,0.0964833154370991
"Fibroblasts1","Activated_Fib","Inflammatory_Fib",150,0.0294276594191073,0.0490460990318455
"Fibroblasts1","Activated_Fib","PI16_Fib",98,0.0224788733661253,0.0490460990318455
"Fibroblasts1","Adventitial_Fib","ECM_Fib",188,0.860346667715422,0.860346667715422
"Fibroblasts1","Adventitial_Fib","Inflammatory_Fib",124,0.00713886774710911,0.0356943387355456
"Fibroblasts1","Adventitial_Fib","PI16_Fib",57,0.370640749888919,0.463300937361149
"Fibroblasts1","ECM_Fib","Inflammatory_Fib",214,0.00318700391024657,0.0318700391024657
"Fibroblasts1","ECM_Fib","PI16_Fib",86,0.717274753874257,0.796971948749175
"Fibroblasts1","Inflammatory_Fib","PI16_Fib",51,0.0261795983540811,0.0490460990318455
"Fibroblasts2","Activated_Fib","Adventitial_Fib",217,0.0266458782221335,0.266458782221335
"Fibroblasts2","Activated_Fib","ECM_Fib",302,0.357793829890137,0.511134042700195
"Fibroblasts2","Activated_Fib","Inflammatory_Fib",77,0.322238629387343,0.511134042700195
"Fibroblasts2","Activated_Fib","PI16_Fib",69,0.604951272297926,0.646475238457612
"Fibroblasts2","Adventitial_Fib","ECM_Fib",264,0.0637302947448712,0.318651473724356
"Fibroblasts2","Adventitial_Fib","Inflammatory_Fib",90,0.421214912629086,0.526518640786357
"Fibroblasts2","Adventitial_Fib","PI16_Fib",28,0.198958931092402,0.497397327731006
"Fibroblasts2","ECM_Fib","Inflammatory_Fib",91,0.173904342898714,0.497397327731006
"Fibroblasts2","ECM_Fib","PI16_Fib",68,0.646475238457612,0.646475238457612
"Fibroblasts2","Inflammatory_Fib","PI16_Fib",20,0.302813041327817,0.511134042700195
"Fibroblasts4","Activated_Fib","Adventitial_Fib",198,0.113345509219526,0.201151334212409
"Fibroblasts4","Activated_Fib","ECM_Fib",335,0.0987779956045946,0.201151334212409
"Fibroblasts4","Activated_Fib","Inflammatory_Fib",105,0.843065714927702,0.843065714927702
"Fibroblasts4","Activated_Fib","PI16_Fib",86,0.120690800527446,0.201151334212409
"Fibroblasts4","Adventitial_Fib","ECM_Fib",182,0.735112652735993,0.816791836373326
"Fibroblasts4","Adventitial_Fib","Inflammatory_Fib",139,0.000427745080563449,0.00213872540281724
"Fibroblasts4","Adventitial_Fib","PI16_Fib",59,0.293270726697762,0.366588408372203
"Fibroblasts4","ECM_Fib","Inflammatory_Fib",259,5.6672992636666e-06,5.6672992636666e-05
"Fibroblasts4","ECM_Fib","PI16_Fib",105,0.200744951363936,0.286778501948481
"Fibroblasts4","Inflammatory_Fib","PI16_Fib",60,0.00137559126724659,0.00458530422415529
"Fibroblasts9","Activated_Fib","Adventitial_Fib",193,0.156580407089635,0.223686295842335
"Fibroblasts9","Activated_Fib","ECM_Fib",350,0.0473468561636392,0.0946937123272784
"Fibroblasts9","Activated_Fib","Inflammatory_Fib",165,0.00454510196108324,0.0113627549027081
"Fibroblasts9","Activated_Fib","PI16_Fib",85,0.135955583104733,0.223686295842335
"Fibroblasts9","Adventitial_Fib","ECM_Fib",177,0.635738482837621,0.635738482837621
"Fibroblasts9","Adventitial_Fib","Inflammatory_Fib",142,0.000225352936968332,0.00112676468484166
"Fibroblasts9","Adventitial_Fib","PI16_Fib",62,0.198958931092402,0.248698663865503
"Fibroblasts9","ECM_Fib","Inflammatory_Fib",245,5.25522924236416e-05,0.000525522924236416
"Fibroblasts9","ECM_Fib","PI16_Fib",98,0.346464634017448,0.384960704463831
"Fibroblasts9","Inflammatory_Fib","PI16_Fib",58,0.00285630362811444,0.0095210120937148
"Fibroblasts6","Activated_Fib","Adventitial_Fib",155,0.880764615259515,0.880764615259515
"Fibroblasts6","Activated_Fib","ECM_Fib",342,0.0709314061190593,0.31997809083257
"Fibroblasts6","Activated_Fib","Inflammatory_Fib",121,0.367120745567879,0.537788803264637
"Fibroblasts6","Activated_Fib","PI16_Fib",72,0.484009922938173,0.537788803264637
"Fibroblasts6","Adventitial_Fib","ECM_Fib",133,0.095993427249771,0.31997809083257
"Fibroblasts6","Adventitial_Fib","Inflammatory_Fib",92,0.360057607082248,0.537788803264637
"Fibroblasts6","Adventitial_Fib","PI16_Fib",55,0.459558524587795,0.537788803264637
"Fibroblasts6","ECM_Fib","Inflammatory_Fib",190,0.0356010620028762,0.31997809083257
"Fibroblasts6","ECM_Fib","PI16_Fib",62,0.454250850757749,0.537788803264637
"Fibroblasts6","Inflammatory_Fib","PI16_Fib",41,0.254751162990438,0.537788803264637
"Fibroblasts5","Activated_Fib","Adventitial_Fib",268,8.97817529863383e-05,0.000897817529863383
"Fibroblasts5","Activated_Fib","ECM_Fib",255,0.920572042173479,0.956749836333737
"Fibroblasts5","Activated_Fib","Inflammatory_Fib",25,0.00104707353922387,0.00523536769611935
"Fibroblasts5","Activated_Fib","PI16_Fib",80,0.235333266509586,0.435427866619716
"Fibroblasts5","Adventitial_Fib","ECM_Fib",291,0.00974185115497137,0.0324728371832379
"Fibroblasts5","Adventitial_Fib","Inflammatory_Fib",94,0.304799506633801,0.435427866619716
"Fibroblasts5","Adventitial_Fib","PI16_Fib",31,0.293270726697762,0.435427866619716
"Fibroblasts5","ECM_Fib","Inflammatory_Fib",85,0.116025646580435,0.290064116451087
"Fibroblasts5","ECM_Fib","PI16_Fib",87,0.681524378848547,0.851905473560684
"Fibroblasts5","Inflammatory_Fib","PI16_Fib",31,0.956749836333737,0.956749836333737
"Fibroblasts7","Activated_Fib","Adventitial_Fib",291,2.82246961300268e-06,2.82246961300268e-05
"Fibroblasts7","Activated_Fib","ECM_Fib",269,0.850604562044859,0.850604562044859
"Fibroblasts7","Activated_Fib","Inflammatory_Fib",44,0.0146193225819962,0.0292386451639923
"Fibroblasts7","Activated_Fib","PI16_Fib",115,0.000910663825547307,0.00455331912773653
"Fibroblasts7","Adventitial_Fib","ECM_Fib",303,0.00361822948909286,0.0107015529248036
"Fibroblasts7","Adventitial_Fib","Inflammatory_Fib",127,0.00428062116992145,0.0107015529248036
"Fibroblasts7","Adventitial_Fib","PI16_Fib",27,0.173080152143793,0.216350190179742
"Fibroblasts7","ECM_Fib","Inflammatory_Fib",103,0.349303023899735,0.388114470999705
"Fibroblasts7","ECM_Fib","PI16_Fib",107,0.168823810894705,0.216350190179742
"Fibroblasts7","Inflammatory_Fib","PI16_Fib",45,0.115777685758932,0.19296280959822
"Fibroblasts8","Activated_Fib","Adventitial_Fib",291,2.82246961300268e-06,2.82246961300268e-05
"Fibroblasts8","Activated_Fib","ECM_Fib",287,0.557069529244319,0.557069529244319
"Fibroblasts8","Activated_Fib","Inflammatory_Fib",66,0.140534504085958,0.200763577265654
"Fibroblasts8","Activated_Fib","PI16_Fib",103,0.0096965276952433,0.0193930553904866
"Fibroblasts8","Adventitial_Fib","ECM_Fib",360,8.48938824337826e-06,4.24469412168913e-05
"Fibroblasts8","Adventitial_Fib","Inflammatory_Fib",130,0.00250186264494707,0.00833954214982356
"Fibroblasts8","Adventitial_Fib","PI16_Fib",9,0.00571550914969711,0.0142887728742428
"Fibroblasts8","ECM_Fib","Inflammatory_Fib",98,0.265908236276287,0.295453595862541
"Fibroblasts8","ECM_Fib","PI16_Fib",123,0.0316756240408166,0.0527927067346943
"Fibroblasts8","Inflammatory_Fib","PI16_Fib",42,0.212269142891972,0.265336428614965
