"gene_name","module","kME"
"JUND","Fibroblasts2",0.686187667793883
"TPT1","Fibroblasts2",0.572846642371931
"GNAS","Fibroblasts2",0.563904788297314
"CD81","Fibroblasts2",0.560766911459585
"MT-ATP6","Fibroblasts2",0.532989728483464
"FOSB","Fibroblasts2",0.481079860994107
"MT-ND1","Fibroblasts2",0.476769968422254
"MTRNR2L12","Fibroblasts2",0.474730382136838
"RPS4Y1","Fibroblasts2",0.465789261520471
"FNDC3B","Fibroblasts2",0.463807316594967
"IL1R1","Fibroblasts2",0.458205744916194
"GNAI2","Fibroblasts2",0.44971157515032
"AHNAK","Fibroblasts2",0.44770433375816
"HSP90AA1","Fibroblasts2",0.444354729908265
"FAM20C","Fibroblasts2",0.443313698214223
"VIM","Fibroblasts2",0.443146799412951
"PXDN","Fibroblasts2",0.441628127669563
"LAMB1","Fibroblasts2",0.437002117428808
"COL14A1","Fibroblasts2",0.436050333263453
"C11orf96","Fibroblasts2",0.434116981023281
"KLF9","Fibroblasts2",0.431514696668859
"MCL1","Fibroblasts2",0.426835406817754
"PRRC2C","Fibroblasts2",0.426424616000126
"IGFBP4","Fibroblasts2",0.42600633566949
"EGR1","Fibroblasts2",0.424969642775419
"MME","Fibroblasts2",0.424241953793599
"DDR2","Fibroblasts2",0.422425607728506
"IER3","Fibroblasts2",0.422344182999272
"MYH9","Fibroblasts2",0.419729162454888
"FBN1","Fibroblasts2",0.417410437876583
"HSP90B1","Fibroblasts2",0.416530759390642
"MT-CYB","Fibroblasts2",0.414252029575818
"TWIST1","Fibroblasts2",0.413213955159097
"GOLGB1","Fibroblasts2",0.411021377295875
"EVA1B","Fibroblasts2",0.408620640222086
"METRNL","Fibroblasts2",0.404312053621019
"ITGB5","Fibroblasts2",0.403809763963513
"BOD1L1","Fibroblasts2",0.398944602676275
"JDP2","Fibroblasts2",0.398335687351278
"SRRM2","Fibroblasts2",0.397313200573166
"PRRX2","Fibroblasts2",0.395687080004544
"MACF1","Fibroblasts2",0.394950439936638
"EPAS1","Fibroblasts2",0.394673163801291
"IL6ST","Fibroblasts2",0.393676609734954
"RRBP1","Fibroblasts2",0.39239866142204
"PMEPA1","Fibroblasts2",0.386221480425076
"GNB1","Fibroblasts2",0.384352543547467
"MBD2","Fibroblasts2",0.384208359236116
"HDLBP","Fibroblasts2",0.38279576341573
"MT-ND5","Fibroblasts2",0.382537598100344
"DDX3Y","Fibroblasts2",0.381727444658616
"MTRNR2L1","Fibroblasts2",0.38148683200945
"AHR","Fibroblasts2",0.379885351745043
"HDGF","Fibroblasts2",0.379830231113199
"CYP7B1","Fibroblasts2",0.379258046713892
"PSD3","Fibroblasts2",0.377696850785525
"BASP1","Fibroblasts2",0.377498270741047
"LMAN1","Fibroblasts2",0.377141484050176
"FGFR1","Fibroblasts2",0.37669406407807
"SH3PXD2A","Fibroblasts2",0.376576561337555
"MAP4K4","Fibroblasts2",0.372901207290786
"LTBP2","Fibroblasts2",0.372180267159219
"CDH11","Fibroblasts2",0.37171307454271
"MRC2","Fibroblasts2",0.370684815930759
"WNT5A","Fibroblasts2",0.369716007645482
"SLFN5","Fibroblasts2",0.369568543387607
"GOLGA4","Fibroblasts2",0.36914144406452
"HSP90AB1","Fibroblasts2",0.368191794257139
"PDGFRB","Fibroblasts2",0.367605727395587
"ATP2A2","Fibroblasts2",0.366946960814331
"DDX17","Fibroblasts2",0.366771414706694
"MXRA7","Fibroblasts2",0.365733425222617
"NR4A3","Fibroblasts2",0.365603765755409
"DST","Fibroblasts2",0.363215860012355
"ACSL4","Fibroblasts2",0.361751079098471
"YWHAB","Fibroblasts2",0.361438580581789
"TLN1","Fibroblasts2",0.360798648463581
"PHC2","Fibroblasts2",0.36017052035263
"UBE2H","Fibroblasts2",0.359666489453766
"NFIC","Fibroblasts2",0.359389365502113
"NDRG1","Fibroblasts2",0.35817099879754
"TPM4","Fibroblasts2",0.357498263886412
"PDGFRA","Fibroblasts2",0.356544694486703
"COL4A1","Fibroblasts2",0.356424562096396
"EIF3A","Fibroblasts2",0.356338843796893
"CDV3","Fibroblasts2",0.355967731345267
"SYNE1","Fibroblasts2",0.355660939856631
"PRSS12","Fibroblasts2",0.35542037810202
"MARCKS","Fibroblasts2",0.354365941910851
"MIDN","Fibroblasts2",0.352536870802508
"YBX3","Fibroblasts2",0.352059421741735
"SLC39A14","Fibroblasts2",0.351618145227698
"RHOQ","Fibroblasts2",0.351050286914695
"MTRNR2L10","Fibroblasts2",0.350857250293968
"ACTG1","Fibroblasts2",0.350165601994559
"NFKBIZ","Fibroblasts2",0.349918302697871
"AFF4","Fibroblasts2",0.34921948590471
"SERPINE1","Fibroblasts2",0.349125739941964
"HNRNPU","Fibroblasts2",0.34719705433711
"TEAD1","Fibroblasts2",0.34705496083114
