"module","rank","gene"
"Fibroblasts2",1,"TPT1"
"Fibroblasts2",2,"GNAS"
"Fibroblasts2",3,"CD81"
"Fibroblasts2",4,"MTRNR2L12"
"Fibroblasts2",5,"FNDC3B"
"Fibroblasts2",6,"IL1R1"
"Fibroblasts2",7,"GNAI2"
"Fibroblasts2",8,"AHNAK"
"Fibroblasts2",9,"FAM20C"
"Fibroblasts2",10,"VIM"
"Fibroblasts2",11,"PXDN"
"Fibroblasts2",12,"LAMB1"
"Fibroblasts2",13,"COL14A1"
"Fibroblasts2",14,"C11orf96"
"Fibroblasts2",15,"KLF9"
"Fibroblasts2",16,"MCL1"
"Fibroblasts2",17,"PRRC2C"
"Fibroblasts2",18,"IGFBP4"
"Fibroblasts2",19,"EGR1"
"Fibroblasts2",20,"MME"
"Fibroblasts2",21,"DDR2"
"Fibroblasts2",22,"IER3"
"Fibroblasts2",23,"MYH9"
"Fibroblasts2",24,"FBN1"
"Fibroblasts2",25,"TWIST1"
