"sample","dataset","group","state_final","n_cells","independent_module_score"
"GSM5005048","GSE164241","NC","Activated_Fib",17,0.0640860588813716
"GSM5005048","GSE164241","NC","Adventitial_Fib",18,0.163112504588375
"GSM5005048","GSE164241","NC","ECM_Fib",31,0.0901805031494138
"GSM5005048","GSE164241","NC","Inflammatory_Fib",26,0.121346623316489
"GSM5005049","GSE164241","NC","Activated_Fib",19,0.0975255433504991
"GSM5005049","GSE164241","NC","Adventitial_Fib",25,0.16164393855527
"GSM5005049","GSE164241","NC","ECM_Fib",103,0.0597475944476247
"GSM5005049","GSE164241","NC","Inflammatory_Fib",135,0.250270420164589
"GSM5005050","GSE164241","NC","Activated_Fib",19,0.0941020999682932
"GSM5005050","GSE164241","NC","Adventitial_Fib",37,0.0434452961625756
"GSM5005050","GSE164241","NC","ECM_Fib",52,0.0515167736349939
"GSM5005050","GSE164241","NC","Inflammatory_Fib",101,0.191133059433886
"GSM5005051","GSE164241","NC","Activated_Fib",47,0.148111558266938
"GSM5005051","GSE164241","NC","Adventitial_Fib",27,0.188905598046664
"GSM5005051","GSE164241","NC","ECM_Fib",213,0.168749041497733
"GSM5005051","GSE164241","NC","Inflammatory_Fib",123,0.226126082965875
"GSM5005052","GSE164241","NC","Activated_Fib",302,0.0558944792489404
"GSM5005052","GSE164241","NC","Adventitial_Fib",15,0.170360414863565
"GSM5005052","GSE164241","NC","ECM_Fib",130,0.049251070145768
"GSM5005052","GSE164241","NC","Inflammatory_Fib",2363,0.166323987129459
"GSM5005053","GSE164241","NC","Activated_Fib",80,0.0912318051627599
"GSM5005053","GSE164241","NC","Adventitial_Fib",43,0.096759766403251
"GSM5005053","GSE164241","NC","ECM_Fib",608,0.177687530072025
"GSM5005053","GSE164241","NC","Inflammatory_Fib",24,0.206515806628624
"GSM5005054","GSE164241","NC","PI16_Fib",352,0.108347301651176
"GSM5005055","GSE164241","NC","Activated_Fib",187,0.137717178159329
"GSM5005055","GSE164241","NC","Adventitial_Fib",224,0.0673574893716901
"GSM5005055","GSE164241","NC","ECM_Fib",267,0.0470198801827953
"GSM5005055","GSE164241","NC","Inflammatory_Fib",831,0.199659361157558
"GSM5005056","GSE164241","NC","Activated_Fib",18,0.237538416810759
"GSM5005056","GSE164241","NC","Adventitial_Fib",37,0.18575969743923
"GSM5005056","GSE164241","NC","ECM_Fib",132,0.254053361479637
"GSM5005056","GSE164241","NC","PI16_Fib",394,0.142573333918529
"GSM5005057","GSE164241","NC","Activated_Fib",525,-0.0121428689476637
"GSM5005057","GSE164241","NC","Adventitial_Fib",348,-0.0280944098925752
"GSM5005057","GSE164241","NC","ECM_Fib",135,0.0361155925949679
"GSM5005057","GSE164241","NC","Inflammatory_Fib",645,0.0940607212223414
"GSM5005058","GSE164241","PD","Activated_Fib",142,0.536150523740005
"GSM5005058","GSE164241","PD","ECM_Fib",22,0.499705063423731
"GSM5005058","GSE164241","PD","Inflammatory_Fib",26,0.452619897695297
"GSM5005059","GSE164241","PD","Activated_Fib",423,1.02042512431218
"GSM5005060","GSE164241","PD","Activated_Fib",71,0.995773345619707
"GSM5005061","GSE164241","PD","Activated_Fib",983,0.948011822360747
"GSM5005061","GSE164241","PD","Adventitial_Fib",13,0.812995962763875
"GSM5005061","GSE164241","PD","ECM_Fib",80,0.775170009180396
"GSM5005061","GSE164241","PD","Inflammatory_Fib",11,0.667265793741935
"GSM5005062","GSE164241","PD","Activated_Fib",623,1.02976894877076
"GSM5005062","GSE164241","PD","ECM_Fib",46,0.829657638391431
"GSM5177039","GSE164241","NC","Activated_Fib",570,0.7674708907862
"GSM5177039","GSE164241","NC","Adventitial_Fib",102,0.716842052694464
"GSM5177039","GSE164241","NC","ECM_Fib",169,0.558839242937753
"GSM5177040","GSE164241","NC","Activated_Fib",38,0.784712017460581
"GSM5177040","GSE164241","NC","Adventitial_Fib",50,0.625516590606201
"GSM5177040","GSE164241","NC","ECM_Fib",33,0.724444108528875
"GSM5177040","GSE164241","NC","PI16_Fib",21,0.530934171154937
"GSM5177041","GSE164241","NC","Activated_Fib",157,0.970348842970856
"GSM5177041","GSE164241","NC","Adventitial_Fib",61,0.904180065143564
"GSM5177041","GSE164241","NC","ECM_Fib",25,0.807432978110461
"GSM5177041","GSE164241","NC","PI16_Fib",97,0.751613163360871
"GSM5177042","GSE164241","PD","Activated_Fib",358,0.938108368646578
"GSM5177042","GSE164241","PD","ECM_Fib",64,0.751755792976794
"GSM5177043","GSE164241","PD","Activated_Fib",1098,1.00570028965995
"GSM5177043","GSE164241","PD","Adventitial_Fib",123,0.974334039465205
"GSM5177043","GSE164241","PD","ECM_Fib",113,0.677383767048982
"GSM5177044","GSE164241","PD","Activated_Fib",455,0.959338147592285
"GSM5177044","GSE164241","PD","ECM_Fib",31,0.757691244870637
"GSM5220920","GSE171213","NC","ECM_Fib",117,0.73264273106767
"GSM5220921","GSE171213","NC","ECM_Fib",27,0.659178728263949
"GSM5220922","GSE171213","NC","ECM_Fib",314,0.815351339183408
"GSM5220923","GSE171213","NC","ECM_Fib",41,0.63562707856692
"GSM5220923","GSE171213","NC","PI16_Fib",66,0.756794634692969
"GSM5220924","GSE171213","PD","ECM_Fib",264,0.862420508691199
"GSM5220925","GSE171213","PD","ECM_Fib",136,0.866987206579667
"GSM5220926","GSE171213","PD","Adventitial_Fib",11,0.763987532173749
"GSM5220926","GSE171213","PD","ECM_Fib",84,0.754003519642925
"GSM5220926","GSE171213","PD","PI16_Fib",71,0.738902234445497
"GSM5220928","GSE171213","PD","ECM_Fib",69,0.702541309645055
