"state1","state2","W","p","p_adjust"
"Activated_Fib","Adventitial_Fib",181,0.309312028034449,0.688425822648412
"Activated_Fib","ECM_Fib",306,0.313353192234789,0.688425822648412
"Activated_Fib","Inflammatory_Fib",122,0.344212911324206,0.688425822648412
"Activated_Fib","PI16_Fib",68,0.648076868139146,0.907618952290662
"Adventitial_Fib","ECM_Fib",167,0.456675980497582,0.761126634162637
"Adventitial_Fib","Inflammatory_Fib",73,0.933688513699506,0.933688513699506
"Adventitial_Fib","PI16_Fib",40,0.72609516183253,0.907618952290662
"ECM_Fib","Inflammatory_Fib",180,0.0804174382204966,0.688425822648412
"ECM_Fib","PI16_Fib",81,0.903927758072083,0.933688513699506
"Inflammatory_Fib","PI16_Fib",18,0.212269142891972,0.688425822648412
