"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0042060","wound healing","14/95","453/18860",0.0309050772626932,6.1354711281515,7.87199365392577,6.03646039227124e-08,0.000150126769955786,0.000118060456935158,"GNAS/AHNAK/DDR2/MYH9/ITGB5/MACF1/IL6ST/LMAN1/WNT5A/DST/TLN1/PDGFRA/ACTG1/SERPINE1",14
"BP","GO:0070482","response to oxygen levels","11/95","357/18860",0.030812324929972,6.11705734925549,6.94512659647583,1.80977877819261e-06,0.00205180934537311,0.00161355332516591,"JUND/MT-ATP6/MT-ND1/EGR1/DDR2/HSP90B1/MT-CYB/TWIST1/EPAS1/MT-ND5/NDRG1",11
"BP","GO:0070527","platelet aggregation","6/95","77/18860",0.0779220779220779,15.4695830485304,9.05244195258527,2.47504142988313e-06,0.00205180934537311,0.00161355332516591,"GNAS/MYH9/IL6ST/TLN1/PDGFRA/ACTG1",6
"BP","GO:0001666","response to hypoxia","10/95","317/18860",0.0315457413249211,6.26265980408434,6.72344377082702,4.46485724235456e-06,0.00277602499043395,0.00218308019902494,"JUND/MT-ND1/EGR1/DDR2/HSP90B1/MT-CYB/TWIST1/EPAS1/MT-ND5/NDRG1",10
"BP","GO:0036293","response to decreased oxygen levels","10/95","330/18860",0.0303030303030303,6.01594896331738,6.54062451410906,6.36159800124777e-06,0.00316425884582064,0.00248838928133018,"JUND/MT-ND1/EGR1/DDR2/HSP90B1/MT-CYB/TWIST1/EPAS1/MT-ND5/NDRG1",10
"BP","GO:0001649","osteoblast differentiation","9/95","265/18860",0.0339622641509434,6.74240317775571,6.69831204370611,7.63691026016017e-06,0.00316549930283639,0.0024893647830487,"JUND/FAM20C/DDR2/TWIST1/IL6ST/RRBP1/MRC2/TPM4/HNRNPU",9
"BP","GO:0007044","cell-substrate junction assembly","6/95","99/18860",0.0606060606060606,12.0318979266348,7.83044942578824,1.07023714368064e-05,0.00380239968047678,0.00299022648565207,"MACF1/MAP4K4/CDH11/DST/TLN1/ACTG1",6
"BP","GO:0034109","homotypic cell-cell adhesion","6/95","103/18860",0.058252427184466,11.5646397547266,7.64959538318211,1.3437836518701e-05,0.00417748742775119,0.0032851974015456,"GNAS/MYH9/IL6ST/TLN1/PDGFRA/ACTG1",6
"BP","GO:0001503","ossification","11/95","455/18860",0.0241758241758242,4.79953730480046,5.83734482537574,1.80193228462106e-05,0.00461984678430179,0.00363307105378822,"JUND/FAM20C/DDR2/TWIST1/IL6ST/RRBP1/CDH11/MRC2/WNT5A/TPM4/HNRNPU",11
"BP","GO:0150115","cell-substrate junction organization","6/95","109/18860",0.055045871559633,10.9280540801545,7.39625736552858,1.85759822448806e-05,0.00461984678430179,0.00363307105378822,"MACF1/MAP4K4/CDH11/DST/TLN1/ACTG1",6
"BP","GO:0007229","integrin-mediated signaling pathway","6/95","117/18860",0.0512820512820513,10.1808367071525,7.08765369755123,2.77785869450151e-05,0.00628048597565933,0.00493900617644384,"LAMB1/MYH9/ITGB5/DST/TLN1/SERPINE1",6
"BP","GO:0007596","blood coagulation","8/95","243/18860",0.0329218106995885,6.53584578730778,6.17986686986596,3.1346696337802e-05,0.00649660281600947,0.00510896156102071,"GNAS/MYH9/IL6ST/LMAN1/TLN1/PDGFRA/ACTG1/SERPINE1",8
"BP","GO:0050817","coagulation","8/95","248/18860",0.032258064516129,6.40407470288625,6.09533403690853,3.62308512617718e-05,0.00681350923229734,0.00535817838173595,"GNAS/MYH9/IL6ST/LMAN1/TLN1/PDGFRA/ACTG1/SERPINE1",8
"BP","GO:0007599","hemostasis","8/95","250/18860",0.032,6.35284210526316,6.0621698367692,3.83550982115652e-05,0.00681350923229734,0.00535817838173595,"GNAS/MYH9/IL6ST/LMAN1/TLN1/PDGFRA/ACTG1/SERPINE1",8
"BP","GO:0072001","renal system development","9/95","334/18860",0.0269461077844311,5.34951150330917,5.70649887323219,4.74795745422058e-05,0.00787211345909772,0.00619067014031006,"EGR1/MME/FBN1/BASP1/FGFR1/WNT5A/PDGFRB/PDGFRA/COL4A1",9
