"variable","permutation","dropout_loss","label"
"_full_model_",0,0.180623973727422,"GBM"
"GSR",0,0.169786535303777,"GBM"
"CYP3A4",0,0.174055829228243,"GBM"
"NOS1",0,0.174548440065681,"GBM"
"ESR2",0,0.175697865353038,"GBM"
"C3",0,0.176026272577997,"GBM"
"ESR1",0,0.176847290640394,"GBM"
"PTGS1",0,0.177011494252874,"GBM"
"INS",0,0.177339901477833,"GBM"
"ARRB2",0,0.177339901477833,"GBM"
"GHRL",0,0.17799671592775,"GBM"
"IGF1",0,0.17799671592775,"GBM"
"FURIN",0,0.17799671592775,"GBM"
"NRP1",0,0.17799671592775,"GBM"
"AGT",0,0.178489326765189,"GBM"
"NR3C1",0,0.178489326765189,"GBM"
"IL6",0,0.178653530377668,"GBM"
"EPHX2",0,0.178817733990148,"GBM"
"BRCA1",0,0.180131362889984,"GBM"
"BCHE",0,0.180623973727422,"GBM"
"SLC6A4",0,0.180623973727422,"GBM"
"ADRB2",0,0.180623973727422,"GBM"
"AKT1",0,0.180623973727422,"GBM"
"CCR7",0,0.180623973727422,"GBM"
"TGFB1",0,0.180623973727422,"GBM"
"APOE",0,0.180623973727422,"GBM"
"NOTCH2",0,0.180623973727422,"GBM"
"CSF2",0,0.180623973727422,"GBM"
"Type",0,0.180623973727422,"GBM"
"NQO1",0,0.18128078817734,"GBM"
"PTGS2",0,0.181444991789819,"GBM"
"CD36",0,0.182101806239737,"GBM"
"CHUK",0,0.182594417077176,"GBM"
"DNMT3A",0,0.183087027914614,"GBM"
"CD40",0,0.184729064039409,"GBM"
"FOS",0,0.185057471264368,"GBM"
"HMGCR",0,0.185221674876847,"GBM"
"SOX9",0,0.185550082101806,"GBM"
"XDH",0,0.186371100164204,"GBM"
"DNMT3B",0,0.189162561576355,"GBM"
"CYP27A1",0,0.191461412151067,"GBM"
"CXCR4",0,0.191789819376026,"GBM"
"IL1B",0,0.194417077175698,"GBM"
"_baseline_",0,0.412972085385878,"GBM"
"_full_model_",1,0.180623973727422,"GBM"
"IL1B",1,0.198686371100164,"GBM"
"BCHE",1,0.180623973727422,"GBM"
"PTGS2",1,0.180623973727422,"GBM"
"IL6",1,0.180623973727422,"GBM"
"INS",1,0.177339901477833,"GBM"
"XDH",1,0.178981937602627,"GBM"
"EPHX2",1,0.172413793103448,"GBM"
"SLC6A4",1,0.180623973727422,"GBM"
"GSR",1,0.170771756978654,"GBM"
"NQO1",1,0.178981937602627,"GBM"
"ADRB2",1,0.180623973727422,"GBM"
"AKT1",1,0.180623973727422,"GBM"
"AGT",1,0.19047619047619,"GBM"
"NR3C1",1,0.180623973727422,"GBM"
"CCR7",1,0.182266009852217,"GBM"
"HMGCR",1,0.188834154351396,"GBM"
"GHRL",1,0.188834154351396,"GBM"
"CXCR4",1,0.19047619047619,"GBM"
"ARRB2",1,0.165845648604269,"GBM"
"TGFB1",1,0.180623973727422,"GBM"
"C3",1,0.16256157635468,"GBM"
"APOE",1,0.180623973727422,"GBM"
"FOS",1,0.216748768472906,"GBM"
"ESR2",1,0.178981937602627,"GBM"
"CD36",1,0.198686371100164,"GBM"
"ESR1",1,0.174055829228243,"GBM"
"NOS1",1,0.175697865353038,"GBM"
"IGF1",1,0.175697865353038,"GBM"
"FURIN",1,0.180623973727422,"GBM"
"SOX9",1,0.182266009852217,"GBM"
"NOTCH2",1,0.180623973727422,"GBM"
"DNMT3A",1,0.178981937602627,"GBM"
"NRP1",1,0.172413793103448,"GBM"
"CSF2",1,0.180623973727422,"GBM"
"DNMT3B",1,0.19376026272578,"GBM"
"PTGS1",1,0.177339901477833,"GBM"
"CHUK",1,0.175697865353038,"GBM"
"CD40",1,0.211822660098522,"GBM"
"BRCA1",1,0.178981937602627,"GBM"
"CYP3A4",1,0.170771756978654,"GBM"
"CYP27A1",1,0.185550082101806,"GBM"
"Type",1,0.180623973727422,"GBM"
"_baseline_",1,0.412151067323481,"GBM"
"_full_model_",2,0.180623973727422,"GBM"
"IL1B",2,0.19047619047619,"GBM"
"BCHE",2,0.180623973727422,"GBM"
"PTGS2",2,0.182266009852217,"GBM"
"IL6",2,0.183908045977011,"GBM"
"INS",2,0.165845648604269,"GBM"
"XDH",2,0.203612479474548,"GBM"
"EPHX2",2,0.182266009852217,"GBM"
"SLC6A4",2,0.180623973727422,"GBM"
"GSR",2,0.160919540229885,"GBM"
"NQO1",2,0.183908045977011,"GBM"
"ADRB2",2,0.180623973727422,"GBM"
"AKT1",2,0.180623973727422,"GBM"
"AGT",2,0.164203612479475,"GBM"
"NR3C1",2,0.182266009852217,"GBM"
"CCR7",2,0.180623973727422,"GBM"
"HMGCR",2,0.198686371100164,"GBM"
"GHRL",2,0.167487684729064,"GBM"
"CXCR4",2,0.185550082101806,"GBM"
"ARRB2",2,0.185550082101806,"GBM"
"TGFB1",2,0.180623973727422,"GBM"
"C3",2,0.170771756978654,"GBM"
"APOE",2,0.180623973727422,"GBM"
"FOS",2,0.192118226600985,"GBM"
"ESR2",2,0.174055829228243,"GBM"
"CD36",2,0.195402298850575,"GBM"
"ESR1",2,0.185550082101806,"GBM"
"NOS1",2,0.170771756978654,"GBM"
"IGF1",2,0.177339901477833,"GBM"
"FURIN",2,0.178981937602627,"GBM"
"SOX9",2,0.19047619047619,"GBM"
"NOTCH2",2,0.180623973727422,"GBM"
"DNMT3A",2,0.188834154351396,"GBM"
"NRP1",2,0.180623973727422,"GBM"
"CSF2",2,0.180623973727422,"GBM"
"DNMT3B",2,0.183908045977011,"GBM"
"PTGS1",2,0.167487684729064,"GBM"
"CHUK",2,0.185550082101806,"GBM"
"CD40",2,0.185550082101806,"GBM"
"BRCA1",2,0.177339901477833,"GBM"
"CYP3A4",2,0.178981937602627,"GBM"
"CYP27A1",2,0.200328407224959,"GBM"
"Type",2,0.180623973727422,"GBM"
"_baseline_",2,0.379310344827586,"GBM"
"_full_model_",3,0.180623973727422,"GBM"
"IL1B",3,0.19376026272578,"GBM"
"BCHE",3,0.180623973727422,"GBM"
"PTGS2",3,0.178981937602627,"GBM"
"IL6",3,0.180623973727422,"GBM"
