"variable","permutation","dropout_loss","label"
"_full_model_",0,0.288998357963875,"GLM"
"DNMT3A",0,0.263793103448276,"GLM"
"IGF1",0,0.26871921182266,"GLM"
"NRP1",0,0.269540229885057,"GLM"
"BRCA1",0,0.271346469622332,"GLM"
"ADRB2",0,0.273070607553366,"GLM"
"APOE",0,0.273234811165846,"GLM"
"ARRB2",0,0.276272577996716,"GLM"
"NQO1",0,0.276683087027915,"GLM"
"IL1B",0,0.278653530377668,"GLM"
"CYP27A1",0,0.279885057471264,"GLM"
"CD36",0,0.280131362889984,"GLM"
"PTGS2",0,0.280870279146141,"GLM"
"NOS1",0,0.2811986863711,"GLM"
"NOTCH2",0,0.283004926108374,"GLM"
"TGFB1",0,0.283087027914614,"GLM"
"BCHE",0,0.284564860426929,"GLM"
"PTGS1",0,0.288423645320197,"GLM"
"CHUK",0,0.288998357963875,"GLM"
"Type",0,0.288998357963875,"GLM"
"NR3C1",0,0.289326765188834,"GLM"
"DNMT3B",0,0.290229885057471,"GLM"
"IL6",0,0.297290640394089,"GLM"
"GSR",0,0.298932676518883,"GLM"
"AKT1",0,0.299178981937603,"GLM"
"GHRL",0,0.299507389162562,"GLM"
"CSF2",0,0.299671592775041,"GLM"
"ESR2",0,0.301806239737274,"GLM"
"FURIN",0,0.30632183908046,"GLM"
"SOX9",0,0.306650246305419,"GLM"
"XDH",0,0.308210180623974,"GLM"
"AGT",0,0.309031198686371,"GLM"
"ESR1",0,0.313218390804598,"GLM"
"INS",0,0.318390804597701,"GLM"
"CYP3A4",0,0.323399014778325,"GLM"
"SLC6A4",0,0.324384236453202,"GLM"
"EPHX2",0,0.335550082101806,"GLM"
"CCR7",0,0.349096880131363,"GLM"
"C3",0,0.383743842364532,"GLM"
"CD40",0,0.396141215106732,"GLM"
"CXCR4",0,0.396387520525452,"GLM"
"FOS",0,0.413546798029557,"GLM"
"HMGCR",0,0.465845648604269,"GLM"
"_baseline_",0,0.51871921182266,"GLM"
"_full_model_",1,0.288998357963875,"GLM"
"IL1B",1,0.287356321839081,"GLM"
"BCHE",1,0.295566502463054,"GLM"
"PTGS2",1,0.25944170771757,"GLM"
"IL6",1,0.298850574712644,"GLM"
"INS",1,0.298029556650246,"GLM"
"XDH",1,0.274220032840723,"GLM"
"EPHX2",1,0.390804597701149,"GLM"
"SLC6A4",1,0.32512315270936,"GLM"
"GSR",1,0.34072249589491,"GLM"
"NQO1",1,0.293924466338259,"GLM"
"ADRB2",1,0.270114942528736,"GLM"
"AKT1",1,0.293924466338259,"GLM"
"AGT",1,0.270114942528736,"GLM"
"NR3C1",1,0.289819376026273,"GLM"
"CCR7",1,0.328407224958949,"GLM"
"HMGCR",1,0.435139573070608,"GLM"
"GHRL",1,0.288998357963875,"GLM"
"CXCR4",1,0.399014778325123,"GLM"
"ARRB2",1,0.293924466338259,"GLM"
"TGFB1",1,0.277504105090312,"GLM"
"C3",1,0.366995073891626,"GLM"
"APOE",1,0.410509031198686,"GLM"
"FOS",1,0.447454844006568,"GLM"
"ESR2",1,0.270935960591133,"GLM"
"CD36",1,0.298850574712644,"GLM"
"ESR1",1,0.262725779967159,"GLM"
"NOS1",1,0.267651888341544,"GLM"
"IGF1",1,0.293924466338259,"GLM"
"FURIN",1,0.293103448275862,"GLM"
"SOX9",1,0.313628899835796,"GLM"
"NOTCH2",1,0.276683087027915,"GLM"
"DNMT3A",1,0.252873563218391,"GLM"
"NRP1",1,0.262725779967159,"GLM"
"CSF2",1,0.297208538587849,"GLM"
"DNMT3B",1,0.293103448275862,"GLM"
"PTGS1",1,0.288998357963875,"GLM"
"CHUK",1,0.288998357963875,"GLM"
"CD40",1,0.508210180623974,"GLM"
"BRCA1",1,0.253694581280788,"GLM"
"CYP3A4",1,0.300492610837439,"GLM"
"CYP27A1",1,0.268472906403941,"GLM"
"Type",1,0.288998357963875,"GLM"
"_baseline_",1,0.458128078817734,"GLM"
"_full_model_",2,0.288998357963875,"GLM"
"IL1B",2,0.268472906403941,"GLM"
"BCHE",2,0.29392446633826,"GLM"
"PTGS2",2,0.270935960591133,"GLM"
"IL6",2,0.302134646962233,"GLM"
"INS",2,0.358784893267652,"GLM"
"XDH",2,0.297208538587849,"GLM"
"EPHX2",2,0.34072249589491,"GLM"
"SLC6A4",2,0.311165845648604,"GLM"
"GSR",2,0.298850574712644,"GLM"
"NQO1",2,0.283251231527094,"GLM"
"ADRB2",2,0.279967159277504,"GLM"
"AKT1",2,0.357963875205255,"GLM"
"AGT",2,0.311986863711002,"GLM"
"NR3C1",2,0.289819376026273,"GLM"
"CCR7",2,0.386699507389163,"GLM"
"HMGCR",2,0.488505747126437,"GLM"
"GHRL",2,0.285714285714286,"GLM"
"CXCR4",2,0.357963875205255,"GLM"
"ARRB2",2,0.239737274220033,"GLM"
"TGFB1",2,0.297208538587849,"GLM"
"C3",2,0.400656814449918,"GLM"
"APOE",2,0.196223316912972,"GLM"
"FOS",2,0.373563218390805,"GLM"
"ESR2",2,0.288998357963875,"GLM"
