"variable","permutation","dropout_loss","label"
"_full_model_",0,0.129720853858785,"LASSO"
"ESR1",0,0.125779967159277,"LASSO"
"INS",0,0.128407224958949,"LASSO"
"HMGCR",0,0.128735632183908,"LASSO"
"SOX9",0,0.128735632183908,"LASSO"
"ADRB2",0,0.129556650246305,"LASSO"
"BCHE",0,0.129720853858785,"LASSO"
"PTGS2",0,0.129720853858785,"LASSO"
"IL6",0,0.129720853858785,"LASSO"
"SLC6A4",0,0.129720853858785,"LASSO"
"GSR",0,0.129720853858785,"LASSO"
"NQO1",0,0.129720853858785,"LASSO"
"AKT1",0,0.129720853858785,"LASSO"
"NR3C1",0,0.129720853858785,"LASSO"
"CCR7",0,0.129720853858785,"LASSO"
"GHRL",0,0.129720853858785,"LASSO"
"ARRB2",0,0.129720853858785,"LASSO"
"TGFB1",0,0.129720853858785,"LASSO"
"APOE",0,0.129720853858785,"LASSO"
"ESR2",0,0.129720853858785,"LASSO"
"NOS1",0,0.129720853858785,"LASSO"
"IGF1",0,0.129720853858785,"LASSO"
"FURIN",0,0.129720853858785,"LASSO"
"NOTCH2",0,0.129720853858785,"LASSO"
"DNMT3A",0,0.129720853858785,"LASSO"
"NRP1",0,0.129720853858785,"LASSO"
"CSF2",0,0.129720853858785,"LASSO"
"DNMT3B",0,0.129720853858785,"LASSO"
"PTGS1",0,0.129720853858785,"LASSO"
"CHUK",0,0.129720853858785,"LASSO"
"BRCA1",0,0.129720853858785,"LASSO"
"CYP3A4",0,0.129720853858785,"LASSO"
"CYP27A1",0,0.129720853858785,"LASSO"
"Type",0,0.129720853858785,"LASSO"
"XDH",0,0.130541871921182,"LASSO"
"CD36",0,0.130870279146141,"LASSO"
"IL1B",0,0.132019704433497,"LASSO"
"EPHX2",0,0.132019704433497,"LASSO"
"AGT",0,0.136617405582923,"LASSO"
"FOS",0,0.139737274220033,"LASSO"
"CD40",0,0.141871921182266,"LASSO"
"C3",0,0.143185550082102,"LASSO"
"CXCR4",0,0.163054187192118,"LASSO"
"_baseline_",0,0.523152709359606,"LASSO"
"_full_model_",1,0.129720853858785,"LASSO"
"IL1B",1,0.136288998357964,"LASSO"
"BCHE",1,0.129720853858785,"LASSO"
"PTGS2",1,0.129720853858785,"LASSO"
"IL6",1,0.129720853858785,"LASSO"
"INS",1,0.129720853858785,"LASSO"
"XDH",1,0.129720853858785,"LASSO"
"EPHX2",1,0.12807881773399,"LASSO"
"SLC6A4",1,0.129720853858785,"LASSO"
"GSR",1,0.129720853858785,"LASSO"
"NQO1",1,0.129720853858785,"LASSO"
"ADRB2",1,0.124794745484401,"LASSO"
"AKT1",1,0.129720853858785,"LASSO"
"AGT",1,0.149425287356322,"LASSO"
"NR3C1",1,0.129720853858785,"LASSO"
"CCR7",1,0.129720853858785,"LASSO"
"HMGCR",1,0.129720853858785,"LASSO"
"GHRL",1,0.129720853858785,"LASSO"
"CXCR4",1,0.165845648604269,"LASSO"
"ARRB2",1,0.129720853858785,"LASSO"
"TGFB1",1,0.129720853858785,"LASSO"
"C3",1,0.137931034482759,"LASSO"
"APOE",1,0.129720853858785,"LASSO"
"FOS",1,0.133004926108374,"LASSO"
"ESR2",1,0.129720853858785,"LASSO"
"CD36",1,0.129720853858785,"LASSO"
"ESR1",1,0.114942528735632,"LASSO"
"NOS1",1,0.129720853858785,"LASSO"
"IGF1",1,0.129720853858785,"LASSO"
"FURIN",1,0.129720853858785,"LASSO"
"SOX9",1,0.12807881773399,"LASSO"
"NOTCH2",1,0.129720853858785,"LASSO"
"DNMT3A",1,0.129720853858785,"LASSO"
"NRP1",1,0.129720853858785,"LASSO"
"CSF2",1,0.129720853858785,"LASSO"
"DNMT3B",1,0.129720853858785,"LASSO"
"PTGS1",1,0.129720853858785,"LASSO"
"CHUK",1,0.129720853858785,"LASSO"
"CD40",1,0.139573070607553,"LASSO"
"BRCA1",1,0.129720853858785,"LASSO"
"CYP3A4",1,0.129720853858785,"LASSO"
"CYP27A1",1,0.129720853858785,"LASSO"
"Type",1,0.129720853858785,"LASSO"
"_baseline_",1,0.596059113300493,"LASSO"
"_full_model_",2,0.129720853858785,"LASSO"
"IL1B",2,0.136288998357964,"LASSO"
"BCHE",2,0.129720853858785,"LASSO"
"PTGS2",2,0.129720853858785,"LASSO"
"IL6",2,0.129720853858785,"LASSO"
"INS",2,0.12807881773399,"LASSO"
"XDH",2,0.129720853858785,"LASSO"
"EPHX2",2,0.137931034482759,"LASSO"
"SLC6A4",2,0.129720853858785,"LASSO"
"GSR",2,0.129720853858785,"LASSO"
"NQO1",2,0.129720853858785,"LASSO"
"ADRB2",2,0.13136288998358,"LASSO"
"AKT1",2,0.129720853858785,"LASSO"
"AGT",2,0.144499178981938,"LASSO"
"NR3C1",2,0.129720853858785,"LASSO"
"CCR7",2,0.129720853858785,"LASSO"
"HMGCR",2,0.12807881773399,"LASSO"
"GHRL",2,0.129720853858785,"LASSO"
"CXCR4",2,0.146141215106732,"LASSO"
"ARRB2",2,0.129720853858785,"LASSO"
"TGFB1",2,0.129720853858785,"LASSO"
"C3",2,0.154351395730706,"LASSO"
"APOE",2,0.129720853858785,"LASSO"
"FOS",2,0.149425287356322,"LASSO"
"ESR2",2,0.129720853858785,"LASSO"
"CD36",2,0.136288998357964,"LASSO"
"ESR1",2,0.13136288998358,"LASSO"
"NOS1",2,0.129720853858785,"LASSO"
"IGF1",2,0.129720853858785,"LASSO"
"FURIN",2,0.129720853858785,"LASSO"
"SOX9",2,0.124794745484401,"LASSO"
"NOTCH2",2,0.129720853858785,"LASSO"
"DNMT3A",2,0.129720853858785,"LASSO"
"NRP1",2,0.129720853858785,"LASSO"
