"variable","permutation","dropout_loss","label"
"_full_model_",0,0.146141215106732,"NNET"
"NR3C1",0,0.131034482758621,"NNET"
"C3",0,0.136288998357964,"NNET"
"BRCA1",0,0.141050903119869,"NNET"
"AKT1",0,0.141215106732348,"NNET"
"IL6",0,0.141543513957307,"NNET"
"CD40",0,0.142857142857143,"NNET"
"CHUK",0,0.143021346469622,"NNET"
"GHRL",0,0.143349753694581,"NNET"
"ADRB2",0,0.14384236453202,"NNET"
"EPHX2",0,0.144170771756979,"NNET"
"FURIN",0,0.144334975369458,"NNET"
"CD36",0,0.144663382594417,"NNET"
"DNMT3A",0,0.144991789819376,"NNET"
"GSR",0,0.145155993431855,"NNET"
"APOE",0,0.145320197044335,"NNET"
"CYP27A1",0,0.145320197044335,"NNET"
"NOTCH2",0,0.145648604269294,"NNET"
"XDH",0,0.145812807881773,"NNET"
"ESR1",0,0.146141215106732,"NNET"
"Type",0,0.146141215106732,"NNET"
"ARRB2",0,0.146305418719212,"NNET"
"IGF1",0,0.146305418719212,"NNET"
"TGFB1",0,0.14696223316913,"NNET"
"AGT",0,0.147126436781609,"NNET"
"ESR2",0,0.147126436781609,"NNET"
"NRP1",0,0.147126436781609,"NNET"
"SOX9",0,0.147947454844007,"NNET"
"DNMT3B",0,0.148111658456486,"NNET"
"NOS1",0,0.149425287356322,"NNET"
"CSF2",0,0.14991789819376,"NNET"
"INS",0,0.151067323481117,"NNET"
"CCR7",0,0.151067323481117,"NNET"
"IL1B",0,0.151559934318555,"NNET"
"SLC6A4",0,0.152052545155993,"NNET"
"CYP3A4",0,0.152216748768473,"NNET"
"BCHE",0,0.152545155993432,"NNET"
"NQO1",0,0.152873563218391,"NNET"
"PTGS1",0,0.153366174055829,"NNET"
"HMGCR",0,0.153530377668309,"NNET"
"PTGS2",0,0.163546798029557,"NNET"
"FOS",0,0.175862068965517,"NNET"
"CXCR4",0,0.261904761904762,"NNET"
"_baseline_",0,0.56551724137931,"NNET"
"_full_model_",1,0.146141215106732,"NNET"
"IL1B",1,0.121510673234811,"NNET"
"BCHE",1,0.146141215106732,"NNET"
"PTGS2",1,0.164203612479474,"NNET"
"IL6",1,0.142857142857143,"NNET"
"INS",1,0.147783251231527,"NNET"
"XDH",1,0.146141215106732,"NNET"
"EPHX2",1,0.141215106732348,"NNET"
"SLC6A4",1,0.157635467980295,"NNET"
"GSR",1,0.144499178981938,"NNET"
"NQO1",1,0.144499178981938,"NNET"
"ADRB2",1,0.136288998357964,"NNET"
"AKT1",1,0.144499178981938,"NNET"
"AGT",1,0.142857142857143,"NNET"
"NR3C1",1,0.134646962233169,"NNET"
"CCR7",1,0.157635467980296,"NNET"
"HMGCR",1,0.147783251231527,"NNET"
"GHRL",1,0.147783251231527,"NNET"
"CXCR4",1,0.231527093596059,"NNET"
"ARRB2",1,0.146141215106732,"NNET"
"TGFB1",1,0.151067323481117,"NNET"
"C3",1,0.12807881773399,"NNET"
"APOE",1,0.142857142857143,"NNET"
"FOS",1,0.182266009852217,"NNET"
"ESR2",1,0.149425287356322,"NNET"
"CD36",1,0.142857142857143,"NNET"
"ESR1",1,0.146141215106732,"NNET"
"NOS1",1,0.146141215106732,"NNET"
"IGF1",1,0.147783251231527,"NNET"
"FURIN",1,0.144499178981938,"NNET"
"SOX9",1,0.151067323481117,"NNET"
"NOTCH2",1,0.142857142857143,"NNET"
"DNMT3A",1,0.146141215106732,"NNET"
"NRP1",1,0.144499178981938,"NNET"
"CSF2",1,0.146141215106732,"NNET"
"DNMT3B",1,0.151067323481117,"NNET"
"PTGS1",1,0.157635467980295,"NNET"
"CHUK",1,0.141215106732348,"NNET"
"CD40",1,0.149425287356322,"NNET"
"BRCA1",1,0.149425287356322,"NNET"
"CYP3A4",1,0.144499178981938,"NNET"
"CYP27A1",1,0.144499178981938,"NNET"
"Type",1,0.146141215106732,"NNET"
"_baseline_",1,0.715927750410509,"NNET"
"_full_model_",2,0.146141215106732,"NNET"
"IL1B",2,0.147783251231527,"NNET"
"BCHE",2,0.149425287356322,"NNET"
"PTGS2",2,0.175697865353038,"NNET"
"IL6",2,0.136288998357964,"NNET"
"INS",2,0.146141215106732,"NNET"
