"variable","permutation","dropout_loss","label"
"_full_model_",0,0.164203612479474,"RF"
"IL6",0,0.158702791461412,"RF"
"GHRL",0,0.159195402298851,"RF"
"PTGS2",0,0.15944170771757,"RF"
"FURIN",0,0.16256157635468,"RF"
"ESR1",0,0.162725779967159,"RF"
"NOS1",0,0.163054187192118,"RF"
"HMGCR",0,0.163546798029557,"RF"
"CD36",0,0.163711001642036,"RF"
"AKT1",0,0.163957307060755,"RF"
"IL1B",0,0.163957307060755,"RF"
"CYP27A1",0,0.164039408866995,"RF"
"Type",0,0.164203612479474,"RF"
"NRP1",0,0.164285714285714,"RF"
"ARRB2",0,0.164532019704433,"RF"
"NOTCH2",0,0.164532019704433,"RF"
"IGF1",0,0.164860426929392,"RF"
"ADRB2",0,0.165106732348112,"RF"
"CD40",0,0.165270935960591,"RF"
"BRCA1",0,0.165353037766831,"RF"
"DNMT3B",0,0.16559934318555,"RF"
"AGT",0,0.16568144499179,"RF"
"BCHE",0,0.165763546798029,"RF"
"CSF2",0,0.165927750410509,"RF"
"CHUK",0,0.166091954022988,"RF"
"GSR",0,0.166338259441708,"RF"
"SOX9",0,0.166666666666667,"RF"
"PTGS1",0,0.167077175697865,"RF"
"APOE",0,0.167241379310345,"RF"
"CYP3A4",0,0.168144499178982,"RF"
"INS",0,0.168472906403941,"RF"
"NQO1",0,0.168472906403941,"RF"
"TGFB1",0,0.168555008210181,"RF"
"CCR7",0,0.16871921182266,"RF"
"SLC6A4",0,0.169540229885057,"RF"
"DNMT3A",0,0.169786535303777,"RF"
"C3",0,0.169868637110016,"RF"
"FOS",0,0.170443349753695,"RF"
"NR3C1",0,0.171674876847291,"RF"
"XDH",0,0.17183908045977,"RF"
"ESR2",0,0.17200328407225,"RF"
"EPHX2",0,0.174712643678161,"RF"
"CXCR4",0,0.181691297208539,"RF"
"_baseline_",0,0.502709359605911,"RF"
"_full_model_",1,0.164203612479474,"RF"
"IL1B",1,0.161740558292282,"RF"
"BCHE",1,0.158456486042693,"RF"
"PTGS2",1,0.163382594417077,"RF"
"IL6",1,0.155172413793103,"RF"
"INS",1,0.165024630541872,"RF"
"XDH",1,0.186371100164204,"RF"
"EPHX2",1,0.169129720853859,"RF"
"SLC6A4",1,0.177339901477833,"RF"
"GSR",1,0.169950738916256,"RF"
"NQO1",1,0.168308702791461,"RF"
"ADRB2",1,0.169129720853859,"RF"
"AKT1",1,0.16256157635468,"RF"
"AGT",1,0.166666666666667,"RF"
"NR3C1",1,0.176518883415435,"RF"
"CCR7",1,0.169950738916256,"RF"
"HMGCR",1,0.167487684729064,"RF"
"GHRL",1,0.161740558292282,"RF"
"CXCR4",1,0.205254515599343,"RF"
"ARRB2",1,0.16256157635468,"RF"
"TGFB1",1,0.167487684729064,"RF"
"C3",1,0.17816091954023,"RF"
"APOE",1,0.165845648604269,"RF"
"FOS",1,0.169950738916256,"RF"
"ESR2",1,0.176518883415435,"RF"
"CD36",1,0.150246305418719,"RF"
"ESR1",1,0.160919540229885,"RF"
"NOS1",1,0.171592775041051,"RF"
"IGF1",1,0.161740558292282,"RF"
"FURIN",1,0.160098522167488,"RF"
"SOX9",1,0.167487684729064,"RF"
"NOTCH2",1,0.164203612479474,"RF"
"DNMT3A",1,0.169129720853859,"RF"
"NRP1",1,0.160919540229885,"RF"
"CSF2",1,0.160919540229885,"RF"
"DNMT3B",1,0.169129720853859,"RF"
"PTGS1",1,0.164203612479474,"RF"
"CHUK",1,0.165845648604269,"RF"
"CD40",1,0.169129720853859,"RF"
"BRCA1",1,0.169950738916256,"RF"
"CYP3A4",1,0.168308702791461,"RF"
"CYP27A1",1,0.163382594417077,"RF"
"Type",1,0.164203612479474,"RF"
"_baseline_",1,0.530377668308703,"RF"
