"variable","permutation","dropout_loss","label"
"_full_model_",0,0.134646962233169,"SVM"
"NOS1",0,0.132840722495895,"SVM"
"GHRL",0,0.133169129720854,"SVM"
"Type",0,0.134646962233169,"SVM"
"FURIN",0,0.134811165845649,"SVM"
"CCR7",0,0.135139573070608,"SVM"
"NQO1",0,0.135796387520525,"SVM"
"TGFB1",0,0.136288998357964,"SVM"
"INS",0,0.136781609195402,"SVM"
"PTGS1",0,0.137110016420361,"SVM"
"HMGCR",0,0.13743842364532,"SVM"
"APOE",0,0.137766830870279,"SVM"
"ESR1",0,0.137766830870279,"SVM"
"GSR",0,0.138095238095238,"SVM"
"CHUK",0,0.138095238095238,"SVM"
"BCHE",0,0.138259441707718,"SVM"
"NOTCH2",0,0.138259441707718,"SVM"
"NRP1",0,0.138259441707718,"SVM"
"PTGS2",0,0.138423645320197,"SVM"
"SOX9",0,0.138423645320197,"SVM"
"CYP27A1",0,0.138916256157635,"SVM"
"AKT1",0,0.139080459770115,"SVM"
"XDH",0,0.139901477832512,"SVM"
"CSF2",0,0.140065681444992,"SVM"
"DNMT3B",0,0.141050903119869,"SVM"
"IL6",0,0.141543513957307,"SVM"
"BRCA1",0,0.141707717569786,"SVM"
"CD36",0,0.142200328407225,"SVM"
"IGF1",0,0.142364532019704,"SVM"
"CYP3A4",0,0.142528735632184,"SVM"
"EPHX2",0,0.143185550082102,"SVM"
"ARRB2",0,0.143185550082102,"SVM"
"IL1B",0,0.143349753694581,"SVM"
"NR3C1",0,0.143349753694581,"SVM"
"SLC6A4",0,0.143513957307061,"SVM"
"ESR2",0,0.14367816091954,"SVM"
"DNMT3A",0,0.144006568144499,"SVM"
"AGT",0,0.144170771756979,"SVM"
"ADRB2",0,0.144334975369458,"SVM"
"CD40",0,0.145155993431855,"SVM"
"C3",0,0.148440065681445,"SVM"
"FOS",0,0.148440065681445,"SVM"
"CXCR4",0,0.153858784893268,"SVM"
"_baseline_",0,0.497372742200328,"SVM"
"_full_model_",1,0.134646962233169,"SVM"
"IL1B",1,0.149425287356322,"SVM"
"BCHE",1,0.139573070607553,"SVM"
"PTGS2",1,0.137931034482759,"SVM"
"IL6",1,0.142857142857143,"SVM"
"INS",1,0.134646962233169,"SVM"
"XDH",1,0.137931034482759,"SVM"
"EPHX2",1,0.141215106732348,"SVM"
"SLC6A4",1,0.147783251231527,"SVM"
"GSR",1,0.139573070607553,"SVM"
"NQO1",1,0.136288998357964,"SVM"
"ADRB2",1,0.155993431855501,"SVM"
"AKT1",1,0.144499178981938,"SVM"
"AGT",1,0.141215106732348,"SVM"
"NR3C1",1,0.144499178981938,"SVM"
"CCR7",1,0.134646962233169,"SVM"
"HMGCR",1,0.147783251231527,"SVM"
"GHRL",1,0.12807881773399,"SVM"
"CXCR4",1,0.149425287356322,"SVM"
"ARRB2",1,0.137931034482759,"SVM"
"TGFB1",1,0.136288998357964,"SVM"
"C3",1,0.144499178981938,"SVM"
"APOE",1,0.137931034482759,"SVM"
"FOS",1,0.155993431855501,"SVM"
"ESR2",1,0.139573070607553,"SVM"
"CD36",1,0.152709359605911,"SVM"
"ESR1",1,0.126436781609195,"SVM"
"NOS1",1,0.133004926108374,"SVM"
"IGF1",1,0.136288998357964,"SVM"
"FURIN",1,0.134646962233169,"SVM"
"SOX9",1,0.133004926108374,"SVM"
"NOTCH2",1,0.137931034482759,"SVM"
"DNMT3A",1,0.147783251231527,"SVM"
"NRP1",1,0.141215106732348,"SVM"
"CSF2",1,0.141215106732348,"SVM"
"DNMT3B",1,0.147783251231527,"SVM"
"PTGS1",1,0.139573070607553,"SVM"
"CHUK",1,0.136288998357964,"SVM"
"CD40",1,0.123152709359606,"SVM"
"BRCA1",1,0.133004926108374,"SVM"
"CYP3A4",1,0.141215106732348,"SVM"
"CYP27A1",1,0.137931034482759,"SVM"
"Type",1,0.134646962233169,"SVM"
"_baseline_",1,0.400656814449918,"SVM"
"_full_model_",2,0.134646962233169,"SVM"
"IL1B",2,0.133004926108374,"SVM"
"BCHE",2,0.137931034482759,"SVM"
"PTGS2",2,0.139573070607553,"SVM"
"IL6",2,0.155993431855501,"SVM"
"INS",2,0.144499178981938,"SVM"
"XDH",2,0.144499178981938,"SVM"
"EPHX2",2,0.147783251231527,"SVM"
"SLC6A4",2,0.134646962233169,"SVM"
"GSR",2,0.146141215106732,"SVM"
"NQO1",2,0.139573070607553,"SVM"
"ADRB2",2,0.151067323481117,"SVM"
"AKT1",2,0.139573070607553,"SVM"
"AGT",2,0.152709359605911,"SVM"
"NR3C1",2,0.144499178981938,"SVM"
"CCR7",2,0.129720853858785,"SVM"
"HMGCR",2,0.139573070607553,"SVM"
"GHRL",2,0.137931034482759,"SVM"
"CXCR4",2,0.142857142857143,"SVM"
"ARRB2",2,0.141215106732348,"SVM"
"TGFB1",2,0.136288998357964,"SVM"
"C3",2,0.147783251231527,"SVM"
"APOE",2,0.142857142857143,"SVM"
"FOS",2,0.15927750410509,"SVM"
"ESR2",2,0.142857142857143,"SVM"
"CD36",2,0.151067323481117,"SVM"
"ESR1",2,0.141215106732348,"SVM"
"NOS1",2,0.137931034482759,"SVM"
"IGF1",2,0.141215106732348,"SVM"
"FURIN",2,0.137931034482759,"SVM"
"SOX9",2,0.142857142857143,"SVM"
"NOTCH2",2,0.136288998357964,"SVM"
"DNMT3A",2,0.146141215106732,"SVM"
"NRP1",2,0.137931034482759,"SVM"
"CSF2",2,0.141215106732348,"SVM"
"DNMT3B",2,0.141215106732348,"SVM"
"PTGS1",2,0.137931034482759,"SVM"
"CHUK",2,0.141215106732348,"SVM"
"CD40",2,0.129720853858785,"SVM"
"BRCA1",2,0.144499178981938,"SVM"
"CYP3A4",2,0.139573070607553,"SVM"
"CYP27A1",2,0.139573070607553,"SVM"
"Type",2,0.134646962233169,"SVM"
"_baseline_",2,0.655172413793103,"SVM"
"_full_model_",3,0.134646962233169,"SVM"
"IL1B",3,0.157635467980296,"SVM"
"BCHE",3,0.133004926108374,"SVM"
"PTGS2",3,0.139573070607553,"SVM"
"IL6",3,0.141215106732348,"SVM"
"INS",3,0.139573070607553,"SVM"
"XDH",3,0.136288998357964,"SVM"
"EPHX2",3,0.144499178981938,"SVM"
"SLC6A4",3,0.149425287356322,"SVM"
