"Gene","Module","r"
"CXCR4","MEblue",0.872812702448804
"FOS","MEblue",0.392586074978002
"CXCR4","MEbrown",0.115216743788943
"FOS","MEbrown",-0.10398252737624
"CXCR4","MEgreen",0.217773410170118
"FOS","MEgreen",0.220571866516551
"CXCR4","MEgrey",0.00738110854483509
"FOS","MEgrey",0.161307035352388
"CXCR4","MEred",0.600550899973779
"FOS","MEred",0.414794253391018
"CXCR4","MEturquoise",-0.709127969724461
"FOS","MEturquoise",-0.41739598281049
"CXCR4","MEyellow",-0.148133787349568
"FOS","MEyellow",0.184797315333093
