"variable","dropout_loss","Rank","Model"
"CXCR4",0.181691297208539,1,"RF"
"EPHX2",0.174712643678161,2,"RF"
"ESR2",0.17200328407225,3,"RF"
"XDH",0.17183908045977,4,"RF"
"NR3C1",0.171674876847291,5,"RF"
"FOS",0.170443349753695,6,"RF"
"C3",0.169868637110016,7,"RF"
"DNMT3A",0.169786535303777,8,"RF"
"SLC6A4",0.169540229885057,9,"RF"
"CCR7",0.16871921182266,10,"RF"
"TGFB1",0.168555008210181,11,"RF"
"INS",0.168472906403941,12,"RF"
"NQO1",0.168472906403941,13,"RF"
"CYP3A4",0.168144499178982,14,"RF"
"APOE",0.167241379310345,15,"RF"
"PTGS1",0.167077175697865,16,"RF"
"SOX9",0.166666666666667,17,"RF"
"GSR",0.166338259441708,18,"RF"
"CHUK",0.166091954022988,19,"RF"
"CSF2",0.165927750410509,20,"RF"
"BCHE",0.165763546798029,21,"RF"
"AGT",0.16568144499179,22,"RF"
"DNMT3B",0.16559934318555,23,"RF"
"BRCA1",0.165353037766831,24,"RF"
"CD40",0.165270935960591,25,"RF"
"ADRB2",0.165106732348112,26,"RF"
"IGF1",0.164860426929392,27,"RF"
"ARRB2",0.164532019704433,28,"RF"
"NOTCH2",0.164532019704433,29,"RF"
"NRP1",0.164285714285714,30,"RF"
"CYP27A1",0.164039408866995,31,"RF"
"IL1B",0.163957307060755,32,"RF"
"AKT1",0.163957307060755,33,"RF"
"CD36",0.163711001642036,34,"RF"
"HMGCR",0.163546798029557,35,"RF"
"NOS1",0.163054187192118,36,"RF"
"ESR1",0.162725779967159,37,"RF"
"FURIN",0.16256157635468,38,"RF"
"PTGS2",0.15944170771757,39,"RF"
"GHRL",0.159195402298851,40,"RF"
"IL6",0.158702791461412,41,"RF"
"CXCR4",0.153858784893268,1,"SVM"
"C3",0.148440065681445,2,"SVM"
"FOS",0.148440065681445,3,"SVM"
"CD40",0.145155993431855,4,"SVM"
"ADRB2",0.144334975369458,5,"SVM"
"AGT",0.144170771756979,6,"SVM"
"DNMT3A",0.144006568144499,7,"SVM"
"ESR2",0.14367816091954,8,"SVM"
"SLC6A4",0.143513957307061,9,"SVM"
"IL1B",0.143349753694581,10,"SVM"
"NR3C1",0.143349753694581,11,"SVM"
"ARRB2",0.143185550082102,12,"SVM"
"EPHX2",0.143185550082102,13,"SVM"
"CYP3A4",0.142528735632184,14,"SVM"
"IGF1",0.142364532019704,15,"SVM"
"CD36",0.142200328407225,16,"SVM"
"BRCA1",0.141707717569786,17,"SVM"
"IL6",0.141543513957307,18,"SVM"
"DNMT3B",0.141050903119869,19,"SVM"
"CSF2",0.140065681444992,20,"SVM"
"XDH",0.139901477832512,21,"SVM"
"AKT1",0.139080459770115,22,"SVM"
"CYP27A1",0.138916256157635,23,"SVM"
"PTGS2",0.138423645320197,24,"SVM"
"SOX9",0.138423645320197,25,"SVM"
"BCHE",0.138259441707718,26,"SVM"
"NOTCH2",0.138259441707718,27,"SVM"
"NRP1",0.138259441707718,28,"SVM"
"GSR",0.138095238095238,29,"SVM"
"CHUK",0.138095238095238,30,"SVM"
"ESR1",0.137766830870279,31,"SVM"
"APOE",0.137766830870279,32,"SVM"
"HMGCR",0.13743842364532,33,"SVM"
"PTGS1",0.137110016420361,34,"SVM"
"INS",0.136781609195402,35,"SVM"
"TGFB1",0.136288998357964,36,"SVM"
"NQO1",0.135796387520525,37,"SVM"
"CCR7",0.135139573070608,38,"SVM"
"FURIN",0.134811165845649,39,"SVM"
"GHRL",0.133169129720854,40,"SVM"
"NOS1",0.132840722495895,41,"SVM"
"HMGCR",0.465845648604269,1,"GLM"
"FOS",0.413546798029557,2,"GLM"
"CXCR4",0.396387520525452,3,"GLM"
"CD40",0.396141215106732,4,"GLM"
"C3",0.383743842364532,5,"GLM"
"CCR7",0.349096880131363,6,"GLM"
"EPHX2",0.335550082101806,7,"GLM"
"SLC6A4",0.324384236453202,8,"GLM"
"CYP3A4",0.323399014778325,9,"GLM"
"INS",0.318390804597701,10,"GLM"
"ESR1",0.313218390804598,11,"GLM"
"AGT",0.309031198686371,12,"GLM"
"XDH",0.308210180623974,13,"GLM"
"SOX9",0.306650246305419,14,"GLM"
"FURIN",0.30632183908046,15,"GLM"
"ESR2",0.301806239737274,16,"GLM"
"CSF2",0.299671592775041,17,"GLM"
"GHRL",0.299507389162562,18,"GLM"
"AKT1",0.299178981937603,19,"GLM"
"GSR",0.298932676518883,20,"GLM"
"IL6",0.297290640394089,21,"GLM"
"DNMT3B",0.290229885057471,22,"GLM"
"NR3C1",0.289326765188834,23,"GLM"
"CHUK",0.288998357963875,24,"GLM"
"PTGS1",0.288423645320197,25,"GLM"
"BCHE",0.284564860426929,26,"GLM"
"TGFB1",0.283087027914614,27,"GLM"
"NOTCH2",0.283004926108374,28,"GLM"
"NOS1",0.2811986863711,29,"GLM"
"PTGS2",0.280870279146141,30,"GLM"
"CD36",0.280131362889984,31,"GLM"
"CYP27A1",0.279885057471264,32,"GLM"
"IL1B",0.278653530377668,33,"GLM"
"NQO1",0.276683087027915,34,"GLM"
"ARRB2",0.276272577996716,35,"GLM"
