"Model","Split","N","AUC","RMSE"
"DT","Screening holdout",50,0.77504105090312,0.399933792591742
"GBM","Screening holdout",50,0.819376026272578,0.400099521130325
"GLM","Screening holdout",50,0.711001642036125,0.544668276964495
"KNN","Screening holdout",50,0.82183908045977,0.400509879110748
"LASSO","Screening holdout",50,0.870279146141215,0.378316027454942
"NNET","Screening holdout",50,0.853858784893268,0.403789170906207
"RF","Screening holdout",50,0.835796387520525,0.395569968526429
"SVM","Screening holdout",50,0.865353037766831,0.395445630378811
"DT","Training",122,0.824725274725275,0.358559200359671
"GBM","Training",122,0.995879120879121,0.189909708351683
"GLM","Training",122,1,2.08379738151998e-09
"KNN","Training",122,0.933791208791209,0.313329027474335
"LASSO","Training",122,0.933791208791209,0.318585396098477
"NNET","Training",122,0.953296703296703,0.153579140477236
"RF","Training",122,1,0.137102450624389
"SVM","Training",122,0.923076923076923,0.30596606953462
