"Sample","Group","Split"
"GSM578529","Control","Training"
"GSM578530","Treat","Screening holdout"
"GSM578531","Control","Training"
"GSM578532","Treat","Screening holdout"
"GSM578533","Control","Screening holdout"
"GSM578534","Treat","Screening holdout"
"GSM4749834","Treat","Training"
"GSM4749835","Treat","Training"
"GSM4749836","Treat","Training"
"GSM4749837","Treat","Training"
"GSM4749838","Treat","Training"
"GSM4749839","Treat","Screening holdout"
"GSM4749840","Control","Screening holdout"
"GSM4749841","Control","Training"
"GSM4749842","Control","Training"
"GSM4749843","Control","Training"
"GSM4749844","Control","Training"
"GSM4749845","Control","Training"
"GSM261086","Treat","Training"
"GSM261088","Control","Training"
"GSM261089","Treat","Screening holdout"
"GSM261091","Control","Screening holdout"
"GSM261092","Treat","Training"
"GSM261094","Treat","Training"
"GSM261096","Control","Training"
"GSM261097","Treat","Training"
"GSM261099","Control","Training"
"GSM261100","Treat","Training"
"GSM261102","Control","Training"
"GSM261103","Treat","Training"
"GSM261105","Treat","Training"
"GSM261107","Treat","Screening holdout"
"GSM261109","Control","Training"
"GSM261110","Treat","Screening holdout"
"GSM261113","Control","Screening holdout"
"GSM261114","Treat","Training"
"GSM261116","Control","Training"
"GSM261117","Control","Training"
"GSM261118","Treat","Training"
"GSM261120","Treat","Training"
"GSM261122","Control","Training"
"GSM261123","Treat","Training"
"GSM261125","Treat","Training"
"GSM261127","Control","Screening holdout"
"GSM261128","Treat","Training"
"GSM261130","Treat","Training"
"GSM261132","Treat","Training"
"GSM261134","Control","Screening holdout"
"GSM261135","Treat","Screening holdout"
"GSM261137","Control","Screening holdout"
"GSM261138","Control","Training"
"GSM261139","Treat","Training"
"GSM261141","Treat","Training"
"GSM261143","Control","Screening holdout"
"GSM261144","Treat","Training"
"GSM261146","Control","Training"
"GSM261147","Treat","Training"
"GSM261149","Treat","Screening holdout"
"GSM261151","Control","Training"
"GSM261152","Treat","Training"
"GSM261154","Control","Training"
"GSM261155","Treat","Training"
"GSM261157","Treat","Screening holdout"
"GSM261159","Control","Training"
"GSM261160","Treat","Training"
"GSM261162","Control","Training"
"GSM261163","Treat","Screening holdout"
"GSM261165","Control","Screening holdout"
"GSM261166","Treat","Training"
"GSM261168","Control","Training"
"GSM261169","Treat","Training"
"GSM261171","Control","Training"
"GSM261172","Treat","Training"
"GSM261174","Control","Screening holdout"
"GSM261175","Treat","Training"
"GSM261177","Control","Screening holdout"
"GSM261178","Treat","Training"
"GSM261180","Treat","Training"
"GSM261182","Treat","Training"
"GSM261184","Control","Training"
"GSM261186","Treat","Training"
"GSM261188","Control","Training"
"GSM261189","Treat","Training"
"GSM261191","Treat","Training"
"GSM261193","Control","Screening holdout"
"GSM261194","Treat","Screening holdout"
"GSM261196","Control","Screening holdout"
"GSM261197","Treat","Training"
"GSM261199","Control","Training"
"GSM261200","Treat","Training"
"GSM261202","Control","Training"
"GSM261203","Treat","Training"
"GSM261205","Control","Screening holdout"
"GSM261206","Control","Training"
"GSM261207","Treat","Training"
"GSM261209","Treat","Screening holdout"
"GSM261211","Treat","Screening holdout"
"GSM261213","Treat","Screening holdout"
"GSM261215","Treat","Screening holdout"
"GSM261217","Control","Training"
"GSM261218","Treat","Screening holdout"
"GSM261220","Control","Training"
"GSM261221","Treat","Training"
"GSM261223","Control","Screening holdout"
"GSM261224","Treat","Training"
"GSM261226","Control","Screening holdout"
"GSM261227","Treat","Screening holdout"
"GSM261229","Control","Screening holdout"
"GSM261230","Treat","Training"
"GSM261232","Treat","Training"
"GSM261234","Control","Screening holdout"
"GSM261235","Treat","Training"
"GSM261237","Control","Training"
"GSM261238","Treat","Screening holdout"
"GSM261240","Control","Training"
"GSM261241","Treat","Training"
"GSM261243","Control","Training"
"GSM261244","Treat","Training"
"GSM261246","Control","Screening holdout"
"GSM261247","Treat","Screening holdout"
"GSM261249","Control","Training"
"GSM261250","Treat","Training"
"GSM261252","Treat","Training"
"GSM261254","Control","Training"
"GSM261255","Treat","Screening holdout"
"GSM261257","Control","Screening holdout"
"GSM261258","Treat","Training"
"GSM261261","Treat","Training"
"GSM261263","Treat","Training"
"GSM261265","Treat","Training"
"GSM261266","Control","Training"
"GSM261268","Treat","Screening holdout"
"GSM261270","Treat","Training"
"GSM261272","Control","Training"
"GSM261273","Treat","Training"
"GSM261275","Treat","Training"
"GSM261277","Control","Screening holdout"
"GSM261278","Treat","Training"
"GSM261280","Control","Training"
"GSM261281","Treat","Training"
"GSM261283","Control","Training"
"GSM261284","Treat","Screening holdout"
"GSM261286","Control","Training"
"GSM261287","Treat","Screening holdout"
"GSM261289","Treat","Training"
"GSM261291","Treat","Training"
"GSM261293","Control","Training"
"GSM261294","Treat","Training"
"GSM261296","Control","Training"
"GSM261297","Treat","Training"
"GSM261299","Treat","Screening holdout"
"GSM261301","Treat","Screening holdout"
"GSM261303","Control","Training"
"GSM261304","Treat","Training"
"GSM261306","Control","Training"
"GSM261307","Treat","Training"
"GSM261309","Control","Training"
"GSM261310","Treat","Training"
"GSM261312","Treat","Training"
"GSM261314","Control","Training"
"GSM261315","Treat","Training"
"GSM261317","Control","Training"
"GSM261318","Treat","Training"
"GSM261320","Control","Training"
"GSM261321","Treat","Screening holdout"
"GSM261323","Control","Training"
"GSM261324","Treat","Screening holdout"
"GSM261326","Control","Training"
"GSM261327","Treat","Screening holdout"
"GSM261329","Control","Training"
"GSM261330","Treat","Training"
"GSM261332","Control","Training"
