"model","cohort","AUC","CI_low","CI_high"
"Locked4_C3","Training",0.910485933503836,0.853329201101928,0.960334063325056
"Locked4_C3","Internal_test",0.898484848484848,0.80322091886608,0.972225422427035
"Locked4_C3","GSE16134",0.927295688255457,0.885380013831259,0.962474833062487
"Locked4_C3","GSE173078",0.576388888888889,0.328571428571429,0.807142857142857
"Three_gene","Training",0.907928388746803,0.852656939406786,0.956524511978704
"Three_gene","Internal_test",0.892424242424242,0.787297619047619,0.970962033838768
"Three_gene","GSE16134",0.922544951590595,0.879763503541913,0.9595588292216
"Three_gene","GSE173078",0.548611111111111,0.294721362229102,0.778571428571429
"Alt4_EPHX2","Training",0.909065075305485,0.854540816326531,0.955994861660079
"Alt4_EPHX2","Internal_test",0.895454545454546,0.790101540139021,0.971020380434782
"Alt4_EPHX2","GSE16134",0.926333513741055,0.884008998329043,0.962296273952524
"Alt4_EPHX2","GSE173078",0.555555555555556,0.311111111111111,0.797230710466004
