"model","genes","cohort","samples","patients","AUC","Brier"
"Locked4_C3","AGT;C3;CXCR4;FOS","Training",120,73,0.910485933503836,0.107290854456973
"Locked4_C3","AGT;C3;CXCR4;FOS","Internal_test",52,32,0.898484848484848,0.127008851135842
"Locked4_C3","AGT;C3;CXCR4;FOS","GSE16134",310,120,0.927295688255457,0.13757076715268
"Locked4_C3","AGT;C3;CXCR4;FOS","GSE173078",24,24,0.576388888888889,0.33401052242876
"Three_gene","AGT;CXCR4;FOS","Training",120,73,0.907928388746803,0.110591576671713
"Three_gene","AGT;CXCR4;FOS","Internal_test",52,32,0.892424242424242,0.133511412849214
"Three_gene","AGT;CXCR4;FOS","GSE16134",310,120,0.922544951590595,0.144367940936553
"Three_gene","AGT;CXCR4;FOS","GSE173078",24,24,0.548611111111111,0.345922131162828
"Alt4_EPHX2","AGT;EPHX2;CXCR4;FOS","Training",120,73,0.909065075305485,0.110298600331117
"Alt4_EPHX2","AGT;EPHX2;CXCR4;FOS","Internal_test",52,32,0.895454545454546,0.132180747654008
"Alt4_EPHX2","AGT;EPHX2;CXCR4;FOS","GSE16134",310,120,0.926333513741055,0.142279926703811
"Alt4_EPHX2","AGT;EPHX2;CXCR4;FOS","GSE173078",24,24,0.555555555555556,0.348191326452042
