"replicate","fold","model","n","auc"
1,1,"Locked4_C3",26,0.854545454545454
1,1,"Three_gene",26,0.854545454545454
1,1,"Alt4_EPHX2",26,0.854545454545454
1,2,"Locked4_C3",26,1
1,2,"Three_gene",26,0.993939393939394
1,2,"Alt4_EPHX2",26,0.993939393939394
1,3,"Locked4_C3",24,0.892857142857143
1,3,"Three_gene",24,0.892857142857143
1,3,"Alt4_EPHX2",24,0.892857142857143
1,4,"Locked4_C3",23,0.838461538461538
1,4,"Three_gene",23,0.853846153846154
1,4,"Alt4_EPHX2",23,0.846153846153846
1,5,"Locked4_C3",21,0.962962962962963
1,5,"Three_gene",21,0.981481481481482
1,5,"Alt4_EPHX2",21,0.962962962962963
2,1,"Locked4_C3",26,0.896969696969697
2,1,"Three_gene",26,0.903030303030303
2,1,"Alt4_EPHX2",26,0.903030303030303
2,2,"Locked4_C3",26,0.909090909090909
2,2,"Three_gene",26,0.903030303030303
2,2,"Alt4_EPHX2",26,0.915151515151515
2,3,"Locked4_C3",24,0.728571428571429
2,3,"Three_gene",24,0.721428571428571
2,3,"Alt4_EPHX2",24,0.721428571428571
2,4,"Locked4_C3",23,0.992307692307692
2,4,"Three_gene",23,0.992307692307692
2,4,"Alt4_EPHX2",23,0.992307692307692
2,5,"Locked4_C3",21,0.925925925925926
2,5,"Three_gene",21,0.925925925925926
2,5,"Alt4_EPHX2",21,0.925925925925926
3,1,"Locked4_C3",26,0.884848484848485
3,1,"Three_gene",26,0.884848484848485
3,1,"Alt4_EPHX2",26,0.878787878787879
3,2,"Locked4_C3",26,0.884848484848485
3,2,"Three_gene",26,0.878787878787879
3,2,"Alt4_EPHX2",26,0.872727272727273
3,3,"Locked4_C3",24,0.95
3,3,"Three_gene",24,0.942857142857143
3,3,"Alt4_EPHX2",24,0.928571428571429
3,4,"Locked4_C3",23,0.9
3,4,"Three_gene",23,0.892307692307692
3,4,"Alt4_EPHX2",23,0.9
3,5,"Locked4_C3",21,0.87962962962963
3,5,"Three_gene",21,0.898148148148148
3,5,"Alt4_EPHX2",21,0.898148148148148
4,1,"Locked4_C3",26,0.939393939393939
4,1,"Three_gene",26,0.939393939393939
4,1,"Alt4_EPHX2",26,0.939393939393939
4,2,"Locked4_C3",26,0.8
4,2,"Three_gene",26,0.824242424242424
4,2,"Alt4_EPHX2",26,0.824242424242424
4,3,"Locked4_C3",24,0.9
4,3,"Three_gene",24,0.9
4,3,"Alt4_EPHX2",24,0.9
4,4,"Locked4_C3",23,0.892307692307692
4,4,"Three_gene",23,0.9
4,4,"Alt4_EPHX2",23,0.907692307692308
4,5,"Locked4_C3",21,0.972222222222222
4,5,"Three_gene",21,0.953703703703704
4,5,"Alt4_EPHX2",21,0.962962962962963
5,1,"Locked4_C3",26,0.884848484848485
5,1,"Three_gene",26,0.896969696969697
5,1,"Alt4_EPHX2",26,0.896969696969697
5,2,"Locked4_C3",26,0.854545454545454
5,2,"Three_gene",26,0.848484848484849
5,2,"Alt4_EPHX2",26,0.83030303030303
5,3,"Locked4_C3",24,0.9
5,3,"Three_gene",24,0.914285714285714
5,3,"Alt4_EPHX2",24,0.914285714285714
5,4,"Locked4_C3",23,0.953846153846154
5,4,"Three_gene",23,0.953846153846154
5,4,"Alt4_EPHX2",23,0.953846153846154
5,5,"Locked4_C3",21,0.888888888888889
5,5,"Three_gene",21,0.898148148148148
5,5,"Alt4_EPHX2",21,0.898148148148148
6,1,"Locked4_C3",26,0.975757575757576
6,1,"Three_gene",26,0.963636363636364
6,1,"Alt4_EPHX2",26,0.96969696969697
6,2,"Locked4_C3",26,0.824242424242424
6,2,"Three_gene",26,0.824242424242424
6,2,"Alt4_EPHX2",26,0.836363636363636
6,3,"Locked4_C3",24,0.857142857142857
6,3,"Three_gene",24,0.864285714285714
6,3,"Alt4_EPHX2",24,0.864285714285714
6,4,"Locked4_C3",23,0.923076923076923
6,4,"Three_gene",23,0.9
6,4,"Alt4_EPHX2",23,0.9
6,5,"Locked4_C3",21,0.935185185185185
