"model","term","estimate","standard_error","z_value","Wald_P"
"Locked4_C3","(Intercept)",0.325702569541255,0.278003232586225,1.17157835364463,0.241366382965472
"Locked4_C3","AGT",0.65521866428107,0.318176530340292,2.05929288241439,0.0394661899120632
"Locked4_C3","C3",0.428055469634627,0.503358787746117,0.850398324327117,0.395103667451431
"Locked4_C3","CXCR4",1.67223349581179,0.646871383344645,2.58510971248336,0.00973480155243816
"Locked4_C3","FOS",0.619413886722171,0.370518914366575,1.67174700860035,0.0945742202087479
"Three_gene","(Intercept)",0.369731181759038,0.27263062994764,1.35616156493512,0.175047768047555
"Three_gene","AGT",0.707754542026031,0.313056796657741,2.26078637992264,0.0237724884087957
"Three_gene","CXCR4",2.07523151475395,0.467385747483176,4.44008300622956,8.99241867671052e-06
"Three_gene","FOS",0.535523855529197,0.350434189088317,1.52817239928103,0.126469739667906
"Alt4_EPHX2","(Intercept)",0.372555988184465,0.273831259685639,1.36053125787086,0.173661868289875
"Alt4_EPHX2","AGT",0.721181569981293,0.317731216869145,2.26978506263143,0.0232206273180245
"Alt4_EPHX2","EPHX2",-0.177520359430719,0.337461058665051,-0.526046946373501,0.598855588974629
"Alt4_EPHX2","CXCR4",1.94880509761833,0.516586681070555,3.77246485251942,0.000161642742422991
"Alt4_EPHX2","FOS",0.574505585057888,0.362059152144955,1.58677271836475,0.11256412982692
