"Celltype","Reticular stroma","Basal epithelium","Immune stroma","Suprabasal epithelial","Inflamed epithelium"
"Activated_Fib",0.0319342570801227,0.0111052868588293,0.0329275119178064,0.000233130334330727,0.00367567265223
"Adventitial_Fib",0.0198390232418202,0.00296373394054895,0.0205704983630323,0.000110992765231871,0.000547143893939705
"B cells",0.00948666137347951,0.00205871706045092,0.0228317869798992,0.00024408227631376,0.00164855776873361
"Cycling cells",0.0164506925653069,0.0185578666431922,0.0207586126028038,0.000256564261065258,0.00322224653482463
"ECM_Fib",0.247197811214867,0.0187003740757826,0.112690353391007,0.00312615354132317,0.00716636143846756
"Endothelial cells",0.0608784120671182,0.00630286930131452,0.042328112410926,0.000329711233984744,0.00141464238724089
"Epithelial cells",0.485538142394502,0.903419053163209,0.37250428716395,0.985501170770908,0.950767029225089
"Inflammatory_Fib",0.00511382525172888,0.00151008279664975,0.0296153864369657,0.000392948773608482,0.00488253085135987
"Macrophages",0.00711985262027847,0.00389017948175741,0.0230382510276923,0.000930143108664198,0.00544106532992652
"Mast cells",0.0143356684004561,0.00902032795350925,0.0177196222155221,0.000697262810294064,0.0019404419075743
"Neutrophils",0.000923421997794448,0.000100205995293821,0.000509143149587166,0.00112311295416281,0.000436948312415138
"PI16_Fib",0.0158786828302507,0.00732906429667405,0.00752225124887722,0.000288182049059494,0.000451083446564968
"Pericytes",0.0301469684749282,0.0043412054801312,0.0292261366467343,0.000440371479161488,0.00107094997553497
"Plasma cells",0.0414807774489569,0.00226364257008254,0.219599809090374,0.00352252442127387,0.0094787490968289
"T cells",0.00934938291351213,0.007158845865414,0.0442034959062662,0.000624221034180362,0.00670086261878038
"pDCs",0.00432642012487804,0.00127854451716067,0.0039547414485565,0.00217942818643756,0.00115571456048978
