"target","sample","view","value"
"Activated_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intercept",-0.00191682933901445
"Activated_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra",0.651279521552744
"Activated_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","juxta.50",-0.327694398236569
"Activated_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","para.100",0.722464582036916
"Activated_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intercept",NA
"Activated_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intra",3.26211202494875e-08
"Activated_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.juxta.50",0.0429435585576963
"Activated_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.para.100",4.07092171306189e-06
"Adventitial_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intercept",-0.0009630652511283
"Adventitial_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra",1.00486339670629
"Adventitial_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","juxta.50",0.759215908379886
"Adventitial_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","para.100",-0.659452330444468
"Adventitial_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intercept",NA
"Adventitial_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intra",1.09310338558544e-11
"Adventitial_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.juxta.50",2.3742089807488e-06
"Adventitial_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.para.100",0.00019581259745016
"B.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intercept",0.00050064185768007
"B.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra",0.554712703704504
"B.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","juxta.50",0.456366513434592
"B.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","para.100",-0.31103111448171
"B.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intercept",NA
"B.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intra",4.87773412534143e-05
"B.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.juxta.50",0.0107380763538589
"B.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.para.100",0.0837652772911595
"Cycling.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intercept",0.00081432434428689
"Cycling.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra",0.49081861467973
"Cycling.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","juxta.50",0.00759649496590059
"Cycling.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","para.100",-0.0529323260163454
"Cycling.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intercept",NA
"Cycling.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intra",2.7572672789411e-07
"Cycling.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.juxta.50",0.957020060832537
"Cycling.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.para.100",0.71372078524003
"ECM_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intercept",-0.00307719971705937
"ECM_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra",0.537875796956454
"ECM_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","juxta.50",0.642366949077275
"ECM_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","para.100",-0.0922342057518728
"ECM_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intercept",NA
"ECM_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intra",0.00012357029657406
"ECM_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.juxta.50",0.00078897360163909
"ECM_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.para.100",0.584905284824557
"Endothelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intercept",-0.00285948984866134
"Endothelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra",0.895653021839972
"Endothelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","juxta.50",0.147632850973724
"Endothelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","para.100",0.0084780268334471
"Endothelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intercept",NA
"Endothelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intra",7.66053886991358e-14
