"target","sample","measure","value"
"Activated_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.RMSE",0.0428329695116722
"Activated_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.R2",62.0725485686173
"Activated_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.RMSE",0.0410092940020779
"Activated_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.R2",64.6281751484506
"Activated_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.RMSE",0.39308377953211
"Activated_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.R2",0.384789376611785
"Activated_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","gain.RMSE",4.25764435757213
"Activated_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","gain.R2",2.55562657983329
"Adventitial_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.RMSE",0.0172897336295563
"Adventitial_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.R2",41.4197280163623
"Adventitial_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.RMSE",0.0164104998448939
"Adventitial_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.R2",44.9852791820966
"Adventitial_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.RMSE",0.388055685667167
"Adventitial_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.R2",0.401811761463388
"Adventitial_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","gain.RMSE",5.085293987175
"Adventitial_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","gain.R2",3.5655511657343
"B.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.RMSE",0.00483972021628824
"B.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.R2",10.3957354739063
"B.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.RMSE",0.00477203778368061
"B.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.R2",13.927586580651
"B.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.RMSE",0.473394476038652
"B.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.R2",0.321846712098861
"B.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","gain.RMSE",1.39847820912959
"B.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","gain.R2",3.5318511067447
"Cycling.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.RMSE",0.00565168066680205
"Cycling.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.R2",19.3542461870346
"Cycling.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.RMSE",0.00549602527242848
"Cycling.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.R2",17.0864786939233
"Cycling.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.RMSE",0.472504820993534
"Cycling.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.R2",0.564099960811729
"Cycling.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","gain.RMSE",2.75414347607942
"Cycling.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","gain.R2",-2.2677674931113
"ECM_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.RMSE",0.0489140938616164
"ECM_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.R2",62.7717942638255
"ECM_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.RMSE",0.0472874948075007
