"celltype","mean_proportion","sd_proportion","min_proportion","max_proportion"
"Activated_Fib",0.0167038884597172,0.0342044355724737,7.8599424331871e-06,0.225190149903213
"Adventitial_Fib",0.00637723089771431,0.0162444247539642,6.40903830756101e-06,0.141797159584852
"B.cells",0.0266631005266211,0.0420656514660295,6.40903830753324e-06,0.2189843064179
"Cycling.cells",0.029102539663617,0.0539489129974374,7.85994243317182e-06,0.294759880192663
"ECM_Fib",0.0871606814247887,0.135683293037281,7.85994243266164e-06,0.720737858720961
"Endothelial.cells",0.0340601618706765,0.05844741913297,1.06644932762637e-05,0.411206090380247
"Epithelial.cells",0.62163783542694,0.355831995179122,5.03354667190985e-05,0.999652814747699
"Inflammatory_Fib",0.00942606215841813,0.0232690767791605,6.50245289901662e-06,0.161524724380836
"Macrophages",0.0417978954526258,0.0594709515092845,9.77236031849614e-06,0.561444778453842
"Mast.cells",0.00382673808549542,0.00791046877197197,6.40903830754907e-06,0.0681001665385553
"Neutrophils",0.00299584565021838,0.00551992991751055,6.40903830754754e-06,0.042856327211824
"pDCs",0.00747741153300398,0.0123924680588194,6.40903836209963e-06,0.0820251943142234
"Pericytes",0.015087614462574,0.0286676500186584,6.5024528990197e-06,0.23762436106371
"PI16_Fib",0.00685085372138338,0.0159554241579611,6.5024528797977e-06,0.0974481376745108
"Plasma.cells",0.0509061780296207,0.0951250095935581,7.8599429427873e-06,0.691134800528709
"T.cells",0.0399259626365857,0.0601322813201583,6.50245289901683e-06,0.362842524515125
